Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_LambdaCDM,residual_LambdaCDM
2011fe,0.00122,28.9987,1.51645,28.48445,0.51425028,28.48445,0.51425028
2011fe,0.00122,29.0559,1.51747,28.48445,0.57145028,28.48445,0.57145028
2012cg,0.00256,30.7233,0.782372,30.096132,0.62716844,30.096132,0.62716844
2012cg,0.00256,30.7449,0.799068,30.096132,0.64876844,30.096132,0.64876844
2013dy,0.00293,31.5611,0.530838,30.389899,1.1712011,30.389899,1.1712011
2013dy,0.00293,31.499,0.514259,30.389899,1.1091011,30.389899,1.1091011
1994DRichmond,0.00299,30.7757,0.881212,30.434019,0.34168125,30.434019,0.34168125
1981B,0.0035,30.7946,0.614535,30.77687,0.017730481,30.77687,0.017730481
2001el,0.00357,31.5011,0.591006,30.819989,0.68111074,30.819989,0.68111074
2021pit,0.00366,30.9999,0.566505,30.874206,0.12569357,30.874206,0.12569357
2011by,0.00369,31.7933,0.55272,30.891984,0.90131623,30.891984,0.90131623
1998aq,0.00369,31.4967,0.545492,30.891984,0.60471623,30.891984,0.60471623
2005df_ANU,0.00435,31.3779,0.479276,31.250418,0.1274817,31.250418,0.1274817
2005df,0.00435,31.3933,0.476404,31.250418,0.1428817,31.250418,0.1428817
2011B,0.00458,31.6512,0.514401,31.362689,0.28851051,31.362689,0.28851051
1980N,0.0046,31.2476,0.558603,31.372185,-0.12458517,31.372185,-0.12458517
2012fr,0.0046,31.2234,0.410577,31.372185,-0.14878517,31.372185,-0.14878517
1992A,0.0046,31.34,0.562589,31.372185,-0.032185167,31.372185,-0.032185167
2007on,0.0046,31.7635,0.574442,31.372185,0.39131483,31.372185,0.39131483
2007on,0.0046,31.6525,0.564724,31.372185,0.28031483,31.372185,0.28031483
2012fr,0.0046,31.1331,0.446882,31.372185,-0.23908517,31.372185,-0.23908517
1990N,0.00462,31.6969,0.550993,31.38164,0.3152602,31.38164,0.3152602
2012ht,0.00465,32.033,0.420403,31.395746,0.63725445,31.395746,0.63725445
2012ht,0.00465,31.9309,0.442017,31.395746,0.53515445,31.395746,0.53515445
2017cbv,0.00478,30.4013,0.578445,31.455841,-1.0545407,31.455841,-1.0545407
2017cbv,0.00478,30.5107,0.578546,31.455841,-0.94514067,31.455841,-0.94514067
2013aa,0.00478,30.5528,0.580251,31.455841,-0.90304067,31.455841,-0.90304067
2013aa,0.00478,30.4604,0.594683,31.455841,-0.99544067,31.455841,-0.99544067
2016coj,0.00489,31.9117,0.469628,31.505432,0.40626806,31.505432,0.40626806
SN2016coj,0.00489,31.8985,0.483668,31.505432,0.39306806,31.505432,0.39306806
2007gi,0.00505,31.7403,0.491367,31.575616,0.16468431,31.575616,0.16468431
2015F,0.00515,31.539,0.407028,31.618364,-0.079364389,31.618364,-0.079364389
2015F,0.00515,31.4473,0.448264,31.618364,-0.17106439,31.618364,-0.17106439
1994ae,0.0054,32.1822,0.339643,31.721721,0.46047946,31.721721,0.46047946
2014bv,0.00548,32.4001,0.482567,31.75379,0.64630998,31.75379,0.64630998
2019np,0.0055,32.4608,0.318474,31.761735,0.69906546,31.761735,0.69906546
2019np,0.0055,32.4338,0.32229,31.761735,0.67206546,31.761735,0.67206546
2006dd,0.00551,31.1857,0.452235,31.765696,-0.57999602,31.765696,-0.57999602
1981D,0.00551,30.9079,0.524992,31.765696,-0.85779602,31.765696,-0.85779602
2007le,0.00552,32.0203,0.538159,31.76965,0.25064965,31.76965,0.25064965
2007le,0.00552,32.0754,0.533991,31.76965,0.30574965,31.76965,0.30574965
2007le,0.00552,32.0843,0.537335,31.76965,0.31464965,31.76965,0.31464965
1998dm,0.00567,32.8333,0.562902,31.828124,1.0051758,31.828124,1.0051758
1995al,0.00592,32.3593,0.359446,31.922241,0.43705935,31.922241,0.43705935
2011iv,0.00594,31.2217,0.420706,31.929598,-0.70789819,31.929598,-0.70789819
2018gv,0.00596,31.9404,0.344335,31.936931,0.0034688896,31.936931,0.0034688896
2018gv,0.00596,31.9102,0.350249,31.936931,-0.02673111,31.936931,-0.02673111
2018gv,0.00596,32.0666,0.343707,31.936931,0.12966889,31.936931,0.12966889
2015bp,0.00603,32.4685,0.487055,31.962405,0.50609517,31.962405,0.50609517
1992G,0.00611,32.4405,0.439634,31.99116,0.44934032,31.99116,0.44934032
2007af,0.00635,32.0999,0.322811,32.075228,0.024671754,32.075228,0.024671754
2007af,0.00635,32.0667,0.32593,32.075228,-0.008528246,32.075228,-0.008528246
2007af,0.00635,32.0023,0.36156,32.075228,-0.072928246,32.075228,-0.072928246
2007af,0.00635,32.0337,0.339166,32.075228,-0.041528246,32.075228,-0.041528246
2007sr,0.0066,31.6799,0.375913,32.159502,-0.47960205,32.159502,-0.47960205
2007sr,0.0066,31.6292,0.385756,32.159502,-0.53030205,32.159502,-0.53030205
2003du,0.00664,32.7685,0.292411,32.17269,0.5958096,32.17269,0.5958096
2003du,0.00664,32.7943,0.289134,32.17269,0.6216096,32.17269,0.6216096
2003du,0.00664,32.7423,0.294759,32.17269,0.5696096,32.17269,0.5696096
2002fk,0.00668,32.4423,0.300309,32.1858,0.25650006,32.1858,0.25650006
2002fk,0.00668,32.4642,0.300269,32.1858,0.27840006,32.1858,0.27840006
2018aoz,0.00701,31.7282,0.501431,32.291065,-0.56286545,32.291065,-0.56286545
2005cf,0.00703,32.3327,0.348317,32.297286,0.035414217,32.297286,0.035414217
2005cf,0.00703,32.3221,0.322655,32.297286,0.024814217,32.297286,0.024814217
2005cf,0.00703,32.3193,0.325586,32.297286,0.022014217,32.297286,0.022014217
