ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_USMFv2_tt,residual_USMFv2_tt,Dl_USMFv2_te,residual_USMFv2_te,Dl_USMFv2_ee,residual_USMFv2_ee
374,2038.68,46.4875,21.0827,1620.04,418.64,77.1391,-30.6516,8.1608,12.9219,3159.89,-1121.22,13.6057,32.8817,0.250907,20.8318
383,1891.76,31.557,21.4257,1397.79,493.971,65.9551,-34.3981,8.21058,13.2151,2980.27,-1088.51,14.5816,16.9754,0.278204,21.1475
392,1787.59,19.7448,22.3593,1215.26,572.328,54.304,-34.5593,8.10038,14.2589,2808.4,-1020.81,14.8444,4.90037,0.293691,22.0656
401,1734.58,-0.544681,21.1747,1071.41,663.17,42.6543,-43.199,7.84563,13.3291,2644.91,-910.328,14.4186,-14.9633,0.315118,20.8596
410,1738.05,-21.8916,21.0336,964.471,773.583,31.4387,-53.3302,7.46277,13.5708,2490.47,-752.417,13.3592,-35.2508,0.352497,20.6811
419,1731.61,-35.0666,19.2941,891.483,840.124,21.0267,-56.0933,6.96495,12.3291,2346.74,-615.139,11.8479,-46.9145,0.387387,18.9067
428,1770.01,-48.4463,19.1288,849.061,920.951,11.7219,-60.1682,6.37184,12.757,2215.35,-445.342,10.0345,-58.4808,0.403432,18.7254
437,1770.68,-61.9365,19.3346,832.845,937.833,3.74108,-65.6775,5.71936,13.6152,2096.95,-326.269,7.98202,-69.9185,0.400468,18.9341
446,1856.79,-62.1436,17.3252,838.342,1018.45,-2.7785,-59.3651,5.05215,12.273,1992.04,-135.251,5.67387,-67.8175,0.387096,16.9381
455,2045.9,-74.4981,15.4382,860.416,1185.49,-7.79439,-66.7037,4.42303,11.0152,1900.45,145.451,3.01101,-77.5091,0.380215,15.058
464,2224.7,-80.0589,14.5813,894.448,1330.25,-11.2832,-68.7757,3.87114,10.7102,1821.51,403.188,0.0950637,-80.1539,0.385811,14.1955
473,2178.24,-75.3658,11.5893,936.624,1241.62,-13.2969,-62.0689,3.42638,8.16288,1754.5,423.742,-2.85772,-72.5081,0.402986,11.1863
482,2323.36,-71.9894,11.4556,982.943,1340.41,-13.9676,-58.0219,3.11816,8.33742,1698.47,624.886,-5.7047,-66.2847,0.430413,11.0252
491,2418.7,-71.1199,10.3049,1030.14,1388.56,-13.5409,-57.5789,2.97594,7.32897,1653.22,765.476,-8.41705,-62.7028,0.466835,9.83808
500,2447.25,-59.624,8.30294,1075.43,1371.82,-12.3585,-47.2655,3.02451,5.27843,1619.03,828.225,-11.0618,-48.5622,0.50632,7.79662
509,2577.77,-47.175,8.22746,1116.44,1461.33,-10.796,-36.379,3.28284,4.94462,1595.88,981.888,-13.731,-33.4441,0.545149,7.68231
518,2558.51,-42.4169,7.35097,1151.98,1406.53,-9.11836,-33.2986,3.7604,3.59057,1582.24,976.274,-16.3704,-26.0466,0.602239,6.74873
527,2579.22,-23.0411,6.50428,1181.03,1398.19,-7.57758,-15.4635,4.45382,2.05046,1576.01,1003.2,-18.904,-4.13716,0.691711,5.81257
536,2523.98,-18.6287,6.71246,1203.67,1320.31,-6.44943,-12.1793,5.34585,1.36661,1576.23,947.746,-21.2794,2.65068,0.813782,5.89868
545,2519.15,-1.43395,8.58876,1220.88,1298.27,-6.03291,4.59896,6.40464,2.18412,1582.83,936.316,-23.4675,22.0336,0.954091,7.63467
554,2566.59,3.55431,8.51755,1234.33,1332.26,-6.59664,10.1509,7.58338,0.934164,1596.39,970.194,-25.414,28.9683,1.08378,7.43376
563,2545.99,11.5793,10.6431,1245.69,1300.31,-8.33534,19.9146,8.84304,1.80008,1616.75,929.245,-27.1448,38.7241,1.19559,9.44752
572,2409.8,18.6254,11.8913,1256.09,1153.72,-11.3384,29.9638,10.1577,1.73363,1642.33,767.47,-28.759,47.3843,1.31138,10.5799
581,2410.13,26.5374,15.4975,1267.1,1143.03,-15.6023,42.1397,11.4874,4.01002,1671.96,738.165,-30.2725,56.8099,1.44004,14.0574
590,2373.46,26.8724,15.2827,1281.13,1092.33,-21.0409,47.9133,12.7794,2.50327,1705.27,668.185,-31.6191,58.4915,1.57731,13.7054
