ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_LambdaCDM_tt,residual_LambdaCDM_tt,Dl_LambdaCDM_te,residual_LambdaCDM_te,Dl_LambdaCDM_ee,residual_LambdaCDM_ee
1563,503.657,-0.414165,16.8062,239.771,263.886,-24.155,23.7408,10.1738,6.63235,239.771,263.886,-24.155,23.7408,10.1738,6.63235
1580,468.039,-1.86885,6.00044,243.859,224.18,-25.3213,23.4524,9.22191,-3.22147,243.859,224.18,-25.3213,23.4524,9.22191,-3.22147
1597,429.111,-9.9112,23.6655,247.809,181.303,-24.9496,15.0384,7.97873,15.6868,247.809,181.303,-24.9496,15.0384,7.97873,15.6868
1614,407.925,-9.49197,28.6547,248.568,159.357,-22.8808,13.3888,6.67431,21.9804,248.568,159.357,-22.8808,13.3888,6.67431,21.9804
1631,399.577,-25.3687,25.01,245.358,154.219,-19.4031,-5.9656,5.44837,19.5617,245.358,154.219,-19.4031,-5.9656,5.44837,19.5617
1648,389.097,-22.7408,15.7028,237.747,151.35,-15.1034,-7.63736,4.44719,11.2556,237.747,151.35,-15.1034,-7.63736,4.44719,11.2556
1665,391.497,-25.4964,25.7318,224.872,166.624,-10.6731,-14.8234,3.8485,21.8833,224.872,166.624,-10.6731,-14.8234,3.8485,21.8833
1682,385.396,-29.9275,35.6797,207.762,177.634,-6.49844,-23.429,3.64276,32.0369,207.762,177.634,-6.49844,-23.429,3.64276,32.0369
1699,400.368,-26.1074,19.884,188.168,212.2,-3.05243,-23.0549,3.76862,16.1154,188.168,212.2,-3.05243,-23.0549,3.76862,16.1154
1716,393.039,-22.1731,-2.30435,167.812,225.227,-0.89593,-21.2772,4.15692,-6.46127,167.812,225.227,-0.89593,-21.2772,4.15692,-6.46127
1733,407.61,-28.2166,10.7442,147.895,259.716,0.0421311,-28.2587,4.70273,6.04144,147.895,259.716,0.0421311,-28.2587,4.70273,6.04144
1750,377.716,-22.2324,37.1788,130.012,247.704,-0.0762836,-22.1561,5.25061,31.9282,130.012,247.704,-0.0762836,-22.1561,5.25061,31.9282
1767,379.019,-13.1588,21.6818,115.885,263.135,-1.13096,-12.0278,5.63531,16.0465,115.885,263.135,-1.13096,-12.0278,5.63531,16.0465
1784,377.36,-11.8144,-18.8184,105.3,272.06,-2.78921,-9.02524,5.82838,-24.6468,105.3,272.06,-2.78921,-9.02524,5.82838,-24.6468
1801,358.796,-8.0874,23.4248,98.0849,260.711,-4.59553,-3.49187,5.78607,17.6387,98.0849,260.711,-4.59553,-3.49187,5.78607,17.6387
1818,342.446,-0.976027,18.7414,94.2135,248.233,-6.12052,5.14449,5.45767,13.2837,94.2135,248.233,-6.12052,5.14449,5.45767,13.2837
1835,313.006,-4.91613,16.6022,92.6568,220.349,-7.27918,2.36306,4.92411,11.6781,92.6568,220.349,-7.27918,2.36306,4.92411,11.6781
1852,305.378,1.81527,-6.23088,92.2256,213.153,-7.89496,9.71023,4.27713,-10.508,92.2256,213.153,-7.89496,9.71023,4.27713,-10.508
1869,276.147,-4.78882,36.2976,91.9013,184.246,-7.80173,3.01291,3.59204,32.7055,91.9013,184.246,-7.80173,3.01291,3.59204,32.7055
1886,265.911,1.66045,0.555329,91.3553,174.556,-7.22737,8.88783,2.93603,-2.3807,91.3553,174.556,-7.22737,8.88783,2.93603,-2.3807
1903,249.92,-11.107,-18.6965,89.9309,159.989,-6.36828,-4.73874,2.40002,-21.0965,89.9309,159.989,-6.36828,-4.73874,2.40002,-21.0965
1920,257.96,-8.76494,26.026,87.1118,170.848,-5.36854,-3.3964,2.05173,23.9742,87.1118,170.848,-5.36854,-3.3964,2.05173,23.9742
1937,245.342,-13.224,20.5827,83.4957,161.846,-4.40834,-8.81563,1.8601,18.7226,83.4957,161.846,-4.40834,-8.81563,1.8601,18.7226
1954,231.313,-5.86213,-42.7334,79.3985,151.914,-3.70961,-2.15252,1.81987,-44.5533,79.3985,151.914,-3.70961,-2.15252,1.81987,-44.5533
1971,229.279,-28.0519,51.929,75.0151,154.264,-3.40476,-24.6472,1.91811,50.0109,75.0151,154.264,-3.40476,-24.6472,1.91811,50.0109
1988,225.825,-27.8392,5.28485,70.8786,154.946,-3.3961,-24.4431,2.08081,3.20403,70.8786,154.946,-3.3961,-24.4431,2.08081,3.20403
2005,240.086,,,67.4861,172.6,-3.67915,,2.24478,,67.4861,172.6,-3.67915,,2.24478,
2030,233.983,,,64.1075,169.875,-4.48521,,2.40463,,64.1075,169.875,-4.48521,,2.40463,
2063,216.247,,,61.9836,154.263,-5.38966,,2.34219,,61.9836,154.263,-5.38966,,2.34219,
2096,204.908,,,60.9151,143.993,-5.51185,,1.96996,,60.9151,143.993,-5.51185,,1.96996,
2129,200.092,,,58.3686,141.724,-4.53677,,1.47593,,58.3686,141.724,-4.53677,,1.47593,
2162,168.762,,,53.0021,115.76,-2.98164,,1.09984,,53.0021,115.76,-2.98164,,1.09984,
2195,140.144,,,45.2709,94.8734,-1.47103,,0.94844,,45.2709,94.8734,-1.47103,,0.94844,
2228,129.223,,,36.8263,92.397,-0.598089,,1.00741,,36.8263,92.397,-0.598089,,1.00741,
2261,118.304,,,29.7702,88.5341,-0.468955,,1.12058,,29.7702,88.5341,-0.468955,,1.12058,
2294,118.51,,,25.0664,93.4432,-0.834125,,1.16437,,25.0664,93.4432,-0.834125,,1.16437,
2327,115.407,,,22.7411,92.6661,-1.28384,,1.06508,,22.7411,92.6661,-1.28384,,1.06508,
2360,114.999,,,21.7534,93.2452,-1.47855,,0.861586,,21.7534,93.2452,-1.47855,,0.861586,
2393,126.918,,,21.0719,105.846,-1.37258,,0.637298,,21.0719,105.846,-1.37258,,0.637298,
2426,90.007,,,20.0354,69.9716,-1.082,,0.473591,,20.0354,69.9716,-1.082,,0.473591,
2459,83.9457,,,18.5693,65.3764,-0.835593,,0.407034,,18.5693,65.3764,-0.835593,,0.407034,
2492,78.7067,,,17.0596,61.6471,-0.745013,,0.408819,,17.0596,61.6471,-0.745013,,0.408819,
