ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_USMFv2_tt,residual_USMFv2_tt,Dl_USMFv2_te,residual_USMFv2_te,Dl_USMFv2_ee,residual_USMFv2_ee
32,1097.01,1.51224,0.0643557,1070.08,26.9319,2.06693,-0.554691,0.029117,0.0352387,1683.51,-586.503,0.922728,0.589509,0.0119002,0.0524555
37,1180.26,3.11711,0.0649424,1151.35,28.91,2.06106,1.05605,0.0478956,0.0170468,1914.59,-734.327,0.746393,2.37071,0.0195648,0.0453776
42,1426.97,0.820244,0.0699042,1237.13,189.842,1.7895,-0.969258,0.073446,-0.00354181,2157.62,-730.651,0.391091,0.429153,0.0301653,0.0397389
47,1364.66,1.07013,0.141281,1326.42,38.2402,1.23107,-0.160941,0.106399,0.0348818,2409.23,-1044.58,-0.158888,1.22902,0.0441317,0.0971489
52,1329.06,1.08312,0.146964,1419.99,-90.9261,0.33057,0.752548,0.147251,-0.000286956,2667.75,-1338.69,-0.948141,2.03126,0.0617898,0.0851742
57,1607.2,-3.82399,0.193005,1517.55,89.6493,-0.9,-2.92399,0.196227,-0.00322292,2931.13,-1323.93,-1.9762,-1.84779,0.0835745,0.10943
62,1663.41,-4.29778,0.296409,1620.52,42.8924,-2.49547,-1.80231,0.253188,0.0432209,3199.48,-1536.07,-3.27459,-1.02319,0.109703,0.186706
67,1838.4,-2.04066,0.331388,1728.63,109.772,-4.43723,2.39657,0.317744,0.0136437,3471.97,-1633.57,-4.84082,2.80015,0.140364,0.191025
72,1974.24,-8.54866,0.356963,1842.06,132.185,-6.71113,-1.83754,0.389103,-0.0321395,3747.55,-1773.31,-6.67902,-1.86965,0.175632,0.181331
77,1765.67,-7.23417,0.448396,1962.28,-196.614,-9.31408,2.07991,0.466298,-0.0179023,4027.39,-2261.73,-8.7997,1.56553,0.215566,0.23283
82,2168.04,-9.89267,0.522364,2088.46,79.5826,-12.1968,2.30413,0.54798,-0.0256161,4308.09,-2140.05,-11.1758,1.2831,0.259987,0.262377
87,2330.99,-12.7208,0.489592,2221.49,109.506,-15.3222,2.60142,0.632623,-0.143031,4591.56,-2260.57,-13.8169,1.09613,0.308745,0.180847
92,2446.65,-19.2047,0.789127,2359.85,86.7972,-18.631,-0.573657,0.71852,0.0706071,4877.28,-2430.63,-16.7025,-2.50215,0.361562,0.427565
97,2484.46,-19.0476,0.57472,2503.99,-19.5369,-22.0754,3.02787,0.803781,-0.229061,5165.48,-2681.03,-19.816,0.768458,0.41806,0.15666
104,2951.15,-28.1287,0.830793,2715.38,235.772,-27.0149,-1.1138,0.918358,-0.0875644,5573.83,-2622.68,-24.5241,-3.6046,0.502266,0.328528
113,3221.96,-31.7919,0.924375,3000.52,221.438,-33.2889,1.49699,1.04966,-0.125282,6106.02,-2884.06,-31.0629,-0.729011,0.617041,0.307333
122,3382.73,-35.701,1.11192,3295.87,86.8572,-39.0879,3.38694,1.15313,-0.0412129,6644.4,-3261.68,-37.9619,2.26093,0.735255,0.376662
131,3592.1,-41.5613,1.10666,3596.35,-4.25469,-44.008,2.44673,1.21983,-0.113171,7187.7,-3595.6,-45.0091,3.44786,0.852115,0.254543
140,4229.84,-43.6625,1.09668,3895.88,333.958,-47.6666,4.00404,1.2437,-0.147013,7734.24,-3504.4,-51.9848,8.32227,0.963507,0.133176
149,4251.39,-45.0365,1.00578,4186.99,64.3984,-49.7193,4.68281,1.22271,-0.216931,8282.73,-4031.34,-58.6306,13.5941,1.06358,-0.057803
158,4778.71,-49.241,1.07943,4460.31,318.403,-49.8703,0.629341,1.15925,-0.0798235,8829.82,-4051.11,-64.6965,15.4555,1.1488,-0.0693748
167,4844.8,-45.9645,0.855441,4709.35,135.447,-47.9257,1.96118,1.06025,-0.204812,9372.7,-4527.9,-69.8881,23.9236,1.21429,-0.358845
176,5120.63,-43.3901,0.96559,4927.05,193.573,-43.7813,0.391182,0.937413,0.0281767,9907.13,-4786.5,-73.9497,30.5596,1.25786,-0.292267
