Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_LambdaCDM,residual_LambdaCDM
sn1999ac,0.01006,33.076313,0.174566,33.153883,-0.077570156,33.153883,-0.077570156
sn2004s,0.010291,33.121922,0.173593,33.203563,-0.081640765,33.203563,-0.081640765
sn1997do,0.01055,33.243687,0.17309,33.257965,-0.014278421,33.257965,-0.014278421
sn2002dp,0.010888,33.394833,0.169021,33.327002,0.067831247,33.327002,0.067831247
sn2006bh,0.011184,33.418357,0.166533,33.385736,0.032621169,33.385736,0.032621169
sn2005al,0.012317,34.043068,0.16145,33.597143,0.44592589,33.597143,0.44592589
sn2001ep,0.013324,33.655632,0.158624,33.769449,-0.11381712,33.769449,-0.11381712
sn1999dq,0.013533,33.4709,0.158393,33.80359,-0.33268955,33.80359,-0.33268955
sn2002ha,0.013652,33.839835,0.157774,33.822796,0.017038838,33.822796,0.017038838
sn2001bt,0.014151,33.705787,0.157186,33.901571,-0.1957839,33.901571,-0.1957839
sn1997e,0.014256,33.855479,0.1564,33.917796,-0.062317408,33.917796,-0.062317408
sn1992al,0.014411,33.837916,0.156643,33.941533,-0.1036165,33.941533,-0.1036165
sn1999dk,0.01444,33.737233,0.157099,33.945946,-0.20871263,33.945946,-0.20871263
sn2005bo,0.014467,33.887535,0.154784,33.950047,-0.062511689,33.950047,-0.062511689
sn2001fe,0.014575,34.021211,0.155333,33.966374,0.054836213,33.966374,0.054836213
sn2006n,0.0147,34.085762,0.155008,33.985123,0.10063872,33.985123,0.10063872
sn2005kc,0.01496,33.980505,0.153548,34.023622,-0.043116413,34.023622,-0.043116413
sn2005el,0.015154,34.106559,0.153758,34.051918,0.054640503,34.051918,0.054640503
sn2004eo,0.015469,33.821144,0.153515,34.09711,-0.27596613,34.09711,-0.27596613
sn2001en,0.015482,33.99586,0.154168,34.098955,-0.10309483,34.098955,-0.10309483
sn2001cn,0.015487,33.856674,0.153742,34.099665,-0.24299006,34.099665,-0.24299006
sn2001bf,0.015504,33.940834,0.153374,34.102075,-0.16124073,34.102075,-0.16124073
sn2001cz,0.015554,33.994274,0.153417,34.109148,-0.11487402,34.109148,-0.11487402
sn1999aa,0.015573,34.202002,0.153276,34.11183,0.090171825,34.11183,0.090171825
sn1994s,0.015664,34.062095,0.154751,34.124632,-0.06253659,34.124632,-0.06253659
sn2004ey,0.015678,34.159785,0.151905,34.126595,0.033190362,34.126595,0.033190362
sn2001v,0.015791,33.855547,0.152742,34.142375,-0.28682793,34.142375,-0.28682793
sn2006td,0.015999,34.303185,0.153171,34.171131,0.13205395,34.171131,0.13205395
sn1996bv,0.016966,34.007209,0.153258,34.300148,-0.29293881,34.300148,-0.29293881
sn2006ax,0.017387,34.395547,0.148936,34.354063,0.04148459,34.354063,0.04148459
sn1998v,0.01745,34.146628,0.150702,34.362019,-0.21539104,34.362019,-0.21539104
sn2000dk,0.017483,34.199729,0.150122,34.366176,-0.16644664,34.366176,-0.16644664
sn1998ef,0.017672,33.973923,0.150611,34.389834,-0.41591115,34.389834,-0.41591115
sn2007ci,0.018599,34.476068,0.149282,34.502367,-0.026299241,34.502367,-0.026299241
sn1992bo,0.018902,34.68293,0.149087,34.537953,0.14497783,34.537953,0.14497783
sn2002kf,0.019581,34.742169,0.147459,34.615695,0.12647416,34.615695,0.12647416
sn2006ej,0.02039,34.748902,0.147727,34.704925,0.043976748,34.704925,0.043976748
sn2005ki,0.020396,34.69654,0.145393,34.705574,-0.0090333681,34.705574,-0.0090333681
sn1992bc,0.020792,34.611741,0.14683,34.747974,-0.1362332,34.747974,-0.1362332
sn2003w,0.020997,34.619272,0.145587,34.769613,-0.15034079,34.769613,-0.15034079
sn2002jy,0.021541,35.043998,0.145405,34.82604,0.21795733,34.82604,0.21795733
sn2007bc,0.021706,34.823241,0.146331,34.842878,-0.019636799,34.842878,-0.019636799
sn2006bq,0.021956,34.890393,0.145024,34.868151,0.022241651,34.868151,0.022241651
sn2008bf,0.022068,34.948236,0.144685,34.879382,0.068854152,34.879382,0.068854152
sn1995ak,0.022399,34.68654,0.149213,34.912248,-0.2257079,34.912248,-0.2257079
