ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_LambdaCDM_tt,residual_LambdaCDM_tt,Dl_LambdaCDM_te,residual_LambdaCDM_te,Dl_LambdaCDM_ee,residual_LambdaCDM_ee
32,1097.01,1.51224,0.0643557,1064.81,32.2037,2.05226,-0.540025,0.0284704,0.0358854,1064.81,32.2037,2.05226,-0.540025,0.0284704,0.0358854
37,1180.26,3.11711,0.0649424,1144.94,35.3214,2.05534,1.06177,0.046869,0.0180734,1144.94,35.3214,2.05534,1.06177,0.046869,0.0180734
42,1426.97,0.820244,0.0699042,1229.44,197.527,1.7849,-0.964659,0.0718737,-0.00196956,1229.44,197.527,1.7849,-0.964659,0.0718737,-0.00196956
47,1364.66,1.07013,0.141281,1317.37,47.2899,1.24927,-0.17914,0.10411,0.0371703,1317.37,47.2899,1.24927,-0.17914,0.10411,0.0371703
52,1329.06,1.08312,0.146964,1409.39,-80.3275,0.372316,0.710802,0.144048,0.00291637,1409.39,-80.3275,0.372316,0.710802,0.144048,0.00291637
57,1607.2,-3.82399,0.193005,1505.34,101.861,-0.830873,-2.99312,0.19194,0.00106408,1505.34,101.861,-0.830873,-2.99312,0.19194,0.00106408
62,1663.41,-4.29778,0.296409,1606.54,56.8771,-2.38726,-1.91052,0.247625,0.0487836,1606.54,56.8771,-2.38726,-1.91052,0.247625,0.0487836
67,1838.4,-2.04066,0.331388,1712.7,125.709,-4.28879,2.24813,0.310718,0.0206703,1712.7,125.709,-4.28879,2.24813,0.310718,0.0206703
72,1974.24,-8.54866,0.356963,1824.06,150.184,-6.51052,-2.03815,0.38043,-0.0234669,1824.06,150.184,-6.51052,-2.03815,0.38043,-0.0234669
77,1765.67,-7.23417,0.448396,1942.08,-176.406,-9.05362,1.81945,0.455829,-0.00743373,1942.08,-176.406,-9.05362,1.81945,0.455829,-0.00743373
82,2168.04,-9.89267,0.522364,2065.95,102.091,-11.874,1.98135,0.535577,-0.0132136,2065.95,102.091,-11.874,1.98135,0.535577,-0.0132136
87,2330.99,-12.7208,0.489592,2196.47,134.522,-14.9296,2.20878,0.618164,-0.128573,2196.47,134.522,-14.9296,2.20878,0.618164,-0.128573
92,2446.65,-19.2047,0.789127,2332.23,114.423,-18.1623,-1.04243,0.701924,0.0872021,2332.23,114.423,-18.1623,-1.04243,0.701924,0.0872021
97,2484.46,-19.0476,0.57472,2473.63,10.8266,-21.5254,2.47785,0.785006,-0.210286,2473.63,10.8266,-21.5254,2.47785,0.785006,-0.210286
104,2951.15,-28.1287,0.830793,2681.07,270.085,-26.3452,-1.78354,0.896532,-0.0657389,2681.07,270.085,-26.3452,-1.78354,0.896532,-0.0657389
113,3221.96,-31.7919,0.924375,2961.16,260.805,-32.4607,0.668728,1.02407,-0.0996976,2961.16,260.805,-32.4607,0.668728,1.02407,-0.0996976
122,3382.73,-35.701,1.11192,3251.65,131.078,-38.1014,2.40042,1.12419,-0.0122731,3251.65,131.078,-38.1014,2.40042,1.12419,-0.0122731
131,3592.1,-41.5613,1.10666,3547.47,44.6278,-42.8663,1.30507,1.18819,-0.0815325,3547.47,44.6278,-42.8663,1.30507,1.18819,-0.0815325
140,4229.84,-43.6625,1.09668,3842.6,387.235,-46.3766,2.71406,1.21027,-0.113588,3842.6,387.235,-46.3766,2.71406,1.21027,-0.113588
149,4251.39,-45.0365,1.00578,4129.94,121.446,-48.2949,3.2584,1.18868,-0.182897,4129.94,121.446,-48.2949,3.2584,1.18868,-0.182897
158,4778.71,-49.241,1.07943,4400.47,378.234,-48.3321,-0.908878,1.12605,-0.0466198,4400.47,378.234,-48.3321,-0.908878,1.12605,-0.0466198
167,4844.8,-45.9645,0.855441,4647.82,196.971,-46.2959,0.331445,1.02959,-0.174147,4647.82,196.971,-46.2959,0.331445,1.02959,-0.174147
176,5120.63,-43.3901,0.96559,4864.94,255.687,-42.0823,-1.30783,0.911262,0.0543277,4864.94,255.687,-42.0823,-1.30783,0.911262,0.0543277
185,5373.97,-30.3906,0.835251,5045.75,328.22,-35.687,5.29639,0.787556,0.0476949,5045.75,328.22,-35.687,5.29639,0.787556,0.0476949
194,5542.7,-18.1436,0.793541,5184.9,357.805,-27.2095,9.06592,0.678555,0.114985,5184.9,357.805,-27.2095,9.06592,0.678555,0.114985
203,5446.22,-7.21464,0.694054,5278.04,168.18,-16.8502,9.63556,0.60723,0.0868242,5278.04,168.18,-16.8502,9.63556,0.60723,0.0868242
212,5636.34,2.53847,0.877642,5321.21,315.132,-4.89454,7.433,0.597468,0.280174,5321.21,315.132,-4.89454,7.433,0.597468,0.280174
221,5816.48,17.9047,0.874199,5314.12,502.358,8.29305,9.61163,0.672143,0.202056,5314.12,502.358,8.29305,9.61163,0.672143,0.202056
230,5684.66,26.6053,1.23818,5256.82,427.839,22.2808,4.32444,0.852712,0.38547,5256.82,427.839,22.2808,4.32444,0.852712,0.38547
239,5776.16,46.2991,1.78071,5150.69,625.462,36.5855,9.71356,1.15761,0.623101,5150.69,625.462,36.5855,9.71356,1.15761,0.623101
248,5435.47,50.6637,2.10983,4998.53,436.938,50.6867,-0.0229705,1.6008,0.509031,4998.53,436.938,50.6867,-0.0229705,1.6008,0.509031
257,5228,71.5358,3.13386,4804.43,423.561,64.0537,7.48204,2.19035,0.943516,4804.43,423.561,64.0537,7.48204,2.19035,0.943516
266,5090.29,86.4306,3.86066,4573.43,516.861,76.1922,10.2384,2.92803,0.932629,4573.43,516.861,76.1922,10.2384,2.92803,0.932629
275,5096.49,106.963,5.31265,4312.41,784.079,86.6674,20.2953,3.80825,1.50439,4312.41,784.079,86.6674,20.2953,3.80825,1.50439
284,4546.18,102.707,5.82483,4028.29,517.897,95.0859,7.62077,4.81668,1.00815,4028.29,517.897,95.0859,7.62077,4.81668,1.00815
293,4371.25,117.073,8.21385,3728.99,642.254,101.129,15.944,5.93029,2.28356,3728.99,642.254,101.129,15.944,5.93029,2.28356
302,3935.72,117.089,9.31107,3422.38,513.34,104.545,12.5445,7.11686,2.19421,3422.38,513.34,104.545,12.5445,7.11686,2.19421
311,3649.99,119.046,10.9594,3116.36,533.622,105.203,13.8432,8.34072,2.6187,3116.36,533.622,105.203,13.8432,8.34072,2.6187
320,3411.94,112.762,12.6384,2818.18,593.768,103.077,9.6851,9.56615,3.0723,2818.18,593.768,103.077,9.6851,9.56615,3.0723
329,3173.93,117.149,15.1816,2534.49,639.441,98.2462,18.9028,10.7527,4.42881,2534.49,639.441,98.2462,18.9028,10.7527,4.42881
338,2842.13,105.901,16.0657,2271.4,570.731,90.8997,15.0008,11.8569,4.20879,2271.4,570.731,90.8997,15.0008,11.8569,4.20879
347,2498.24,86.2064,16.2208,2034.21,464.022,81.3454,4.86101,12.8346,3.38623,2034.21,464.022,81.3454,4.86101,12.8346,3.38623
356,2358.31,79.8487,18.6902,1826.9,531.411,69.9477,9.90099,13.6414,5.04877,1826.9,531.411,69.9477,9.90099,13.6414,5.04877
365,2186.33,61.0311,18.5056,1652.79,533.543,57.155,3.87614,14.2474,4.25818,1652.79,533.543,57.155,3.87614,14.2474,4.25818
374,2038.68,46.4875,21.0827,1513.41,525.27,43.4087,3.07878,14.6268,6.45592,1513.41,525.27,43.4087,3.07878,14.6268,6.45592
383,1891.76,31.557,21.4257,1409.17,482.583,29.2179,2.33905,14.7643,6.66135,1409.17,482.583,29.2179,2.33905,14.7643,6.66135
392,1787.59,19.7448,22.3593,1339.38,448.211,15.1047,4.64008,14.6535,7.70573,1339.38,448.211,15.1047,4.64008,14.6535,7.70573
401,1734.58,-0.544681,21.1747,1301.97,432.61,1.61601,-2.16069,14.3036,6.87107,1301.97,432.61,1.61601,-2.16069,14.3036,6.87107
410,1738.05,-21.8916,21.0336,1294.31,443.741,-10.7496,-11.1419,13.7289,7.3047,1294.31,443.741,-10.7496,-11.1419,13.7289,7.3047
419,1731.61,-35.0666,19.2941,1312.94,418.668,-21.5951,-13.4716,12.9526,6.34147,1312.94,418.668,-21.5951,-13.4716,12.9526,6.34147
