ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_USMFv2_tt,residual_USMFv2_tt,Dl_USMFv2_te,residual_USMFv2_te,Dl_USMFv2_ee,residual_USMFv2_ee
1220,970.73,11.2854,18.0007,675.417,295.314,-11.1321,22.4174,26.9298,-8.92913,2486.87,-1516.14,44.4907,-33.2053,19.3911,-1.39045
1229,906.514,0.795071,24.1192,662.831,243.683,-18.2669,19.062,27.5276,-3.40841,2415.28,-1508.77,55.3271,-54.5321,21.2671,2.85211
1238,895.506,-1.70669,26.9876,656.084,239.423,-25.6032,23.8965,27.8072,-0.819666,2337.54,-1442.03,64.6096,-66.3163,23.3796,3.60795
1247,860.053,6.50815,28.9322,655.145,204.909,-32.8096,39.3177,27.7534,1.17877,2254.56,-1394.51,72.2132,-65.705,25.6929,3.23929
1256,805.618,-5.07351,28.2583,659.842,145.776,-39.5258,34.4523,27.3568,0.901479,2167.17,-1361.55,78.057,-83.1306,28.1733,0.0850321
1265,777.489,-10.6252,32.123,669.786,107.703,-45.5267,34.9015,26.6328,5.49019,2076.74,-1299.26,82.1019,-92.7271,30.7674,1.35558
1274,770.016,-6.18903,28.0386,684.31,85.7062,-50.6787,44.4897,25.6126,2.42602,1984.85,-1214.83,84.3305,-90.5195,33.4094,-5.37073
1283,736.545,-25.4341,25.1459,702.566,33.9794,-54.8288,29.3948,24.3383,0.807577,1892.88,-1156.33,84.747,-110.181,36.0435,-10.8976
1292,758.18,-27.8221,32.7948,723.476,34.7047,-57.8149,29.9927,22.8596,9.93526,1802.01,-1043.83,83.365,-111.187,38.6217,-5.82686
1301,733.856,-31.3034,32.8301,745.783,-11.9266,-59.469,28.1657,21.242,11.588,1713.22,-979.368,80.2033,-111.507,41.112,-8.28191
1310,712.532,-45.6622,32.308,768.243,-55.7108,-59.679,14.0168,19.549,12.7589,1627.43,-914.899,75.3232,-120.985,43.4808,-11.1728
1319,718.903,-45.3274,37.0351,790.086,-71.1829,-58.4757,13.1483,17.8215,19.2135,1545.72,-826.817,68.9237,-114.251,45.6742,-8.6391
1328,723.408,-52.8192,22.7581,810.502,-87.0944,-55.9368,3.11758,16.1094,6.64873,1469.09,-745.684,61.2069,-114.026,47.6478,-24.8897
1337,757.937,-50.5695,32.7284,828.539,-70.6024,-52.168,1.59845,14.4687,18.2597,1398.4,-640.467,52.3473,-102.917,49.3633,-16.6349
1346,737.666,-57.1386,25.6747,843.135,-105.468,-47.3093,-9.82933,12.9646,12.7101,1334.4,-596.738,42.4847,-99.6234,50.7915,-25.1168
1355,765.134,-65.5484,22.1336,853.165,-88.0308,-41.5338,-24.0146,11.6653,10.4683,1277.73,-512.598,31.7315,-97.2799,51.9086,-29.775
1364,776.923,-62.1891,20.8649,858.075,-81.1518,-35.02,-27.169,10.6125,10.2524,1228.71,-451.79,20.2917,-82.4808,52.705,-31.84
1373,777.362,-56.4015,13.9711,857.759,-80.3968,-27.9412,-28.4604,9.81557,4.1555,1187.36,-410.001,8.45862,-64.8602,53.174,-39.2029
1382,773.981,-47.5995,19.7096,852.142,-78.1607,-20.5138,-27.0857,9.28572,10.4239,1153.71,-379.725,-3.51492,-44.0846,53.3122,-33.6026
1391,806.044,-66.4348,18.9034,841.174,-35.1294,-12.9888,-53.446,9.03196,9.87141,1127.79,-321.743,-15.4106,-51.0243,53.1138,-34.2105
1400,830.177,-61.3485,26.3292,824.927,5.24973,-5.6668,-55.6817,9.06374,17.2655,1109.78,-279.6,-27.0595,-34.289,52.5735,-26.2444
1409,822.186,-54.6345,5.1988,803.577,18.609,1.17056,-55.8051,9.37995,-4.18115,1099.69,-277.506,-38.3033,-16.3312,51.6896,-46.4908
1418,818.106,-52.4991,20.0139,777.56,40.5459,7.39119,-59.8903,9.95931,10.0546,1096.79,-278.687,-48.9509,-3.54814,50.4965,-30.4826
1427,796.252,-38.2634,20.0412,747.533,48.7193,12.877,-51.1405,10.7713,9.26983,1100.31,-304.053,-58.8265,20.563,49.0338,-28.9926
1436,803.463,-40.2416,13.1922,714.247,89.2168,17.4999,-57.7415,11.7762,1.41599,1109.55,-306.086,-67.7641,27.5225,47.3316,-34.1393
1445,798.655,-37.8014,10.43,678.581,120.074,21.1209,-58.9222,12.9253,-2.49527,1123.97,-325.317,-75.6089,37.8076,45.411,-34.981
1454,773.833,-26.0106,2.1953,641.537,132.297,23.6011,-49.6117,14.1607,-11.9654,1143.14,-369.307,-82.211,56.2004,43.2847,-41.0894
1463,762.183,-21.7373,18.35,604.022,158.161,24.8808,-46.6181,15.4355,2.91447,1166.41,-404.225,-87.4985,65.7612,40.9855,-22.6355
1472,749.532,-9.44394,12.4154,566.63,182.902,25.0084,-34.4523,16.7158,-4.30045,1192.68,-443.144,-91.4731,82.0292,38.5704,-26.155
1481,738.185,2.7698,16.5295,530.055,208.13,24.0502,-21.2804,17.9605,-1.43108,1220.94,-482.753,-94.1286,96.8984,36.0899,-19.5604
1490,727.424,-4.9052,14.6158,495.132,232.292,22.0937,-26.9989,19.1202,-4.50445,1250.33,-522.906,-95.4376,90.5324,33.5862,-18.9704
1499,701.642,-1.96257,-1.3298,462.718,238.925,19.2514,-21.2139,20.1379,-21.4677,1280.01,-578.366,-95.348,93.3855,31.0939,-32.4237
1512,655.678,7.47919,21.9852,421.864,233.813,13.8496,-6.37043,21.2536,0.731606,1321.84,-666.159,-92.6977,100.177,27.5769,-5.59167
1529,588.39,9.37829,16.3364,380.13,208.259,5.0873,4.29099,22.0244,-5.68809,1371.59,-783.202,-85.3396,94.7179,23.2933,-6.95691
1546,547.01,10.0139,17.2441,352.299,194.711,-4.50797,14.5219,21.9712,-4.72717,1411.48,-864.473,-74.3302,84.3441,19.5901,-2.34605
1563,503.657,-0.414165,16.8062,338.438,165.219,-13.5053,13.0911,21.0602,-4.25406,1436.82,-933.16,-60.2357,59.8216,16.6892,0.116988
1580,468.039,-1.86885,6.00044,336.88,131.159,-21.0401,19.1712,19.3949,-13.3944,1445.92,-977.884,-44.0865,42.2176,14.6661,-8.66568
1597,429.111,-9.9112,23.6655,344.409,84.7026,-26.4514,16.5402,17.1949,6.47061,1437.93,-1008.82,-27.0661,17.1549,13.5728,10.0928
1614,407.925,-9.49197,28.6547,356.76,51.1657,-29.0744,19.5824,14.7349,13.9198,1411.26,-1003.33,-10.2317,0.739741,13.4946,15.1601
1631,399.577,-25.3687,25.01,370.698,28.8792,-28.8964,3.52775,12.2396,12.7705,1367.64,-968.062,5.54244,-30.9111,14.3289,10.6811
1648,389.097,-22.7408,15.7028,382.819,6.27776,-26.2898,3.54902,9.95705,5.74576,1309.56,-920.467,19.348,-42.0887,15.9387,-0.235887
1665,391.497,-25.4964,25.7318,389.379,2.1178,-21.8018,-3.6946,8.16786,17.5639,1239.03,-847.537,30.2349,-55.7313,18.2315,7.50029
1682,385.396,-29.9275,35.6797,389.077,-3.68148,-16.0774,-13.8501,6.96937,28.7103,1159.58,-774.182,37.9117,-67.8392,21.0043,14.6754
1699,400.368,-26.1074,19.884,381.534,18.834,-9.99042,-16.1169,6.4087,13.4753,1075.32,-674.948,42.126,-68.2334,24.0297,-4.14573
1716,393.039,-22.1731,-2.30435,366.734,26.3048,-4.53324,-17.6399,6.50761,-8.81196,990.276,-597.237,42.5435,-64.7166,27.0888,-29.3932
1733,407.61,-28.2166,10.7442,346.049,61.5611,-0.210854,-28.0057,7.16857,3.5756,907.686,-500.076,39.4929,-67.7094,30.0058,-19.2617
1750,377.716,-22.2324,37.1788,321.809,55.907,2.51951,-24.7519,8.21864,28.9601,831.078,-453.362,33.4026,-55.635,32.5779,4.60087
1767,379.019,-13.1588,21.6818,296.753,82.2665,3.24059,-16.3993,9.45239,12.2295,764.051,-385.032,24.6736,-37.8323,34.5941,-12.9123
1784,377.36,-11.8144,-18.8184,272.818,104.541,2.07448,-13.8889,10.7104,-29.5288,708.023,-330.663,13.9757,-25.7902,35.9868,-54.8052
1801,358.796,-8.0874,23.4248,252.266,106.53,-0.652188,-7.43521,11.7953,11.6294,664.39,-305.594,2.11576,-10.2032,36.6748,-13.25
1818,342.446,-0.976027,18.7414,237.254,105.192,-4.51288,3.53685,12.5082,6.23321,634.413,-291.967,-10.0812,9.10522,36.572,-17.8306
1835,313.006,-4.91613,16.6022,228.105,84.9007,-9.00275,4.08662,12.7995,3.8027,617.41,-304.404,-21.9861,17.07,35.7312,-19.1291
1852,305.378,1.81527,-6.23088,224.807,80.5718,-13.4368,15.2521,12.6343,-18.8652,612.338,-306.96,-32.8468,34.6621,34.2177,-40.4486
1869,276.147,-4.78882,36.2976,226.937,49.2098,-17.1332,12.3444,12.001,24.2966,617.835,-341.688,-41.9303,37.1415,32.1032,4.19431
1886,265.911,1.66045,0.555329,233.132,32.7789,-19.7833,21.4437,10.9915,-10.4361,631.84,-365.929,-48.9213,50.5817,29.5172,-28.9618
1903,249.92,-11.107,-18.6965,241.412,8.50845,-21.0438,9.9368,9.74101,-28.4375,651.72,-401.8,-53.4773,42.3703,26.624,-45.3205
1920,257.96,-8.76494,26.026,249.727,8.23352,-20.6763,11.9113,8.39293,17.633,674.711,-416.751,-55.3365,46.5716,23.593,2.43297
1937,245.342,-13.224,20.5827,256.64,-11.2975,-18.8522,5.62826,7.06623,13.5164,698.51,-453.168,-54.5894,41.3654,20.5616,0.0210146
1954,231.313,-5.86213,-42.7334,260.362,-29.049,-15.8408,9.97868,5.91634,-48.6497,720.439,-489.126,-51.4153,45.5532,17.7027,-60.4361
1971,229.279,-28.0519,51.929,259.479,-30.2006,-11.9759,-16.076,5.07059,46.8584,738.026,-508.747,-46.0836,18.0317,15.1751,36.7538
1988,225.825,-27.8392,5.28485,253.92,-28.0954,-7.67346,-20.1657,4.55373,0.731115,749.8,-523.975,-38.9958,11.1566,13.0641,-7.77923
2005,240.086,,,243.706,-3.61984,-3.47986,,4.39565,,754.343,-514.257,-30.6908,,11.4633,
2030,233.983,,,221.26,12.7228,1.57689,,4.78309,,746.085,-512.103,-17.426,,10.1552,
2063,216.247,,,184.549,31.6973,5.0094,,5.98744,,708.52,-492.273,-0.579879,,10.2907,
2096,204.908,,,149.023,55.8857,4.09664,,7.30434,,645.697,-440.788,12.2588,,12.2116,
2129,200.092,,,123.567,76.5254,0.0754346,,7.98813,,568.201,-368.108,18.8008,,15.1953,
2162,168.762,,,111.205,57.5568,-4.85615,,7.72484,,488.704,-319.941,18.3394,,18.3837,
2195,140.144,,,110.235,29.9093,-8.45711,,6.57042,,419.273,-279.129,11.733,,20.9306,
2228,129.223,,,114.411,14.8122,-9.38509,,5.00525,,368.683,-239.46,1.0923,,22.2227,
2261,118.304,,,117.476,0.828403,-7.75726,,3.57412,,340.828,-222.524,-10.8273,,21.9687,
2294,118.51,,,114.807,3.70274,-4.62906,,2.72542,,334.512,-216.002,-21.284,,20.2398,
2327,115.407,,,105.745,9.6619,-1.66943,,2.59648,,344.295,-228.887,-28.1186,,17.4134,
2360,114.999,,,92.8518,22.1468,-0.0560528,,3.00481,,361.981,-246.982,-30.1845,,14.0784,
2393,126.918,,,80.1778,46.7397,-0.329564,,3.59821,,379.014,-252.096,-27.4652,,10.8697,
2426,90.007,,,71.4485,18.5584,-2.00982,,3.9832,,387.909,-297.902,-20.9541,,8.34682,
2459,83.9457,,,67.9342,16.0115,-4.12389,,3.95477,,384.14,-300.194,-12.3996,,6.86618,
2492,78.7067,,,68.8318,9.87495,-5.59238,,3.48553,,366.427,-287.72,-3.73252,,6.53575,
