ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_USMFv2_tt,residual_USMFv2_tt,Dl_USMFv2_te,residual_USMFv2_te,Dl_USMFv2_ee,residual_USMFv2_ee
32,1097.01,1.51224,0.0643557,1077.61,19.4012,2.01967,-0.507431,0.028266,0.0360897,1798.03,-701.017,0.861021,0.651216,0.0137189,0.0506368
37,1180.26,3.11711,0.0649424,1160.89,19.3785,2.00958,1.10752,0.0465606,0.0183818,2049.47,-869.211,0.610939,2.50617,0.0225466,0.0423958
42,1426.97,0.820244,0.0699042,1249.01,177.961,1.72246,-0.902221,0.0713099,-0.00140569,2312.87,-885.9,0.162961,0.657283,0.034667,0.0352372
47,1364.66,1.07013,0.141281,1340.92,23.7361,1.16654,-0.0964116,0.103368,0.0379129,2583.96,-1219.3,-0.511095,1.58122,0.0505726,0.0907079
52,1329.06,1.08312,0.146964,1437.27,-108.204,0.269113,0.814005,0.143018,0.00394562,2861.38,-1532.31,-1.45368,2.5368,0.070639,0.076325
57,1607.2,-3.82399,0.193005,1537.83,69.3713,-0.956684,-2.86731,0.190602,0.00240219,3142.86,-1535.66,-2.66083,-1.16316,0.0952759,0.0977287
62,1663.41,-4.29778,0.296409,1643.9,19.516,-2.53946,-1.75832,0.245928,0.0504812,3428.65,-1765.23,-4.16393,-0.133851,0.124693,0.171716
67,1838.4,-2.04066,0.331388,1755.17,83.2375,-4.46875,2.42808,0.308645,0.0227431,3717.96,-1879.55,-5.96047,3.91981,0.15906,0.172328
72,1974.24,-8.54866,0.356963,1871.82,102.419,-6.72144,-1.82722,0.377985,-0.0210213,4009.73,-2035.49,-8.05044,-0.498225,0.1984,0.158563
77,1765.67,-7.23417,0.448396,1995.3,-229.627,-9.29525,2.06108,0.453024,-0.00462816,4305.36,-2539.69,-10.4419,3.2077,0.242692,0.205704
82,2168.04,-9.89267,0.522364,2124.84,43.1931,-12.1484,2.25577,0.532434,-0.0100704,4601.59,-2433.56,-13.1048,3.21218,0.291644,0.230719
87,2330.99,-12.7208,0.489592,2261.14,69.8556,-15.2398,2.51901,0.614725,-0.125134,4899.88,-2568.89,-16.0402,3.31936,0.345027,0.144565
92,2446.65,-19.2047,0.789127,2402.75,43.8989,-18.511,-0.69367,0.698264,0.0908625,5200.11,-2753.46,-19.223,0.0183044,0.40245,0.386677
97,2484.46,-19.0476,0.57472,2550.09,-65.637,-21.9136,2.86606,0.781214,-0.206494,5502.32,-3017.87,-22.6318,3.58418,0.463382,0.111338
104,2951.15,-28.1287,0.830793,2765.99,185.167,-26.7898,-1.33887,0.892733,-0.0619398,5929.57,-2978.42,-27.7367,-0.391957,0.553225,0.277568
113,3221.96,-31.7919,0.924375,3057.19,164.774,-32.9796,1.18766,1.02063,-0.0962525,6485.18,-3263.22,-34.7293,2.9374,0.673671,0.250704
122,3382.73,-35.701,1.11192,3359.01,23.7181,-38.6946,2.99368,1.12155,-0.00963105,7045.94,-3663.21,-41.9782,6.27726,0.795008,0.316909
131,3592.1,-41.5613,1.10666,3666.23,-74.1283,-43.53,1.96871,1.18679,-0.0801298,7609.77,-4017.67,-49.2247,7.66349,0.911656,0.195001
140,4229.84,-43.6625,1.09668,3972.7,257.137,-47.1022,3.4397,1.2105,-0.113819,8174.31,-3944.48,-56.204,12.5415,1.01884,0.0778467
149,4251.39,-45.0365,1.00578,4271.32,-19.9319,-49.069,4.03245,1.19083,-0.185044,8738.11,-4486.72,-62.6184,17.5819,1.11037,-0.104588
