Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_USMFv2,residual_USMFv2
sn1999ac,0.01006,33.326159,0.174566,33.537246,-0.21108727,33.757816,-0.43165699
sn2004s,0.010291,33.372062,0.173593,33.586934,-0.21487253,33.807362,-0.43529994
sn1997do,0.01055,33.493014,0.17309,33.641346,-0.1483322,33.861614,-0.36860011
sn2002dp,0.010888,33.645204,0.169021,33.710395,-0.06519136,33.930455,-0.28525125
sn2006bh,0.011184,33.669922,0.166533,33.769139,-0.099217136,33.989017,-0.31909497
sn2005al,0.012317,34.294158,0.16145,33.980588,0.31356976,34.19977,0.094387807
sn2001ep,0.013324,33.906604,0.158624,34.152931,-0.2463265,34.371495,-0.46489125
sn1999dq,0.013533,33.720058,0.158393,34.187079,-0.46702131,34.405516,-0.68545811
sn2002ha,0.013652,34.091038,0.157774,34.20629,-0.11525221,34.424654,-0.33361619
sn2001bt,0.014151,33.956815,0.157186,34.285083,-0.32826747,34.503142,-0.54632625
sn1997e,0.014256,34.107223,0.1564,34.301312,-0.19408937,34.519307,-0.41208397
sn1992al,0.014411,34.087975,0.156643,34.325054,-0.23707925,34.542954,-0.45497912
sn1999dk,0.01444,33.987297,0.157099,34.329468,-0.342171,34.547351,-0.56005316
sn2005bo,0.014467,34.138903,0.154784,34.33357,-0.19466703,34.551436,-0.41253269
sn2001fe,0.014575,34.270406,0.155333,34.349902,-0.079495517,34.567702,-0.2972952
sn2006n,0.0147,34.33758,0.155008,34.368655,-0.031075251,34.586379,-0.2487986
sn2005kc,0.01496,34.231351,0.153548,34.407163,-0.17581148,34.624728,-0.39337609
sn2005el,0.015154,34.357711,0.153758,34.435467,-0.077755765,34.652913,-0.29520199
sn2004eo,0.015469,34.072352,0.153515,34.48067,-0.40831769,34.697924,-0.62557179
sn2001en,0.015482,34.246778,0.154168,34.482516,-0.23573722,34.699762,-0.45298339
sn2001cn,0.015487,34.107353,0.153742,34.483225,-0.3758724,34.700468,-0.59311552
sn2001bf,0.015504,34.190252,0.153374,34.485636,-0.29538378,34.702869,-0.51261654
sn2001cz,0.015554,34.244148,0.153417,34.492711,-0.24856338,34.709914,-0.46576565
sn1999aa,0.015573,34.45074,0.153276,34.495394,-0.044654285,34.712585,-0.26184498
sn1994s,0.015664,34.311808,0.154751,34.508199,-0.19639062,34.725334,-0.41352584
sn2004ey,0.015678,34.409554,0.151905,34.510162,-0.10060771,34.727289,-0.3177344
sn2001v,0.015791,34.104592,0.152742,34.525946,-0.4213547,34.743004,-0.63841252
sn2006td,0.015999,34.554597,0.153171,34.554711,-0.00011383654,34.771642,-0.21704494
sn1996bv,0.016966,34.25655,0.153258,34.683762,-0.42721196,34.900105,-0.64355461
sn2006ax,0.017387,34.645289,0.148936,34.737692,-0.092403184,34.953779,-0.30848999
sn1998v,0.01745,34.396806,0.150702,34.745651,-0.34884591,34.9617,-0.56489445
sn2000dk,0.017483,34.451815,0.150122,34.749809,-0.297994,34.965838,-0.51402249
sn1998ef,0.017672,34.225012,0.150611,34.773474,-0.54846209,34.989388,-0.76437581
sn2007ci,0.018599,34.728819,0.149282,34.886041,-0.15722203,35.101393,-0.37257346
sn1992bo,0.018902,34.934901,0.149087,34.921637,0.01326368,35.136805,-0.20190418
sn2002kf,0.019581,34.993089,0.147459,34.999405,-0.0063162928,35.214162,-0.22107319
sn2006ej,0.02039,34.999875,0.147727,35.088664,-0.088788574,35.302932,-0.30305653
sn2005ki,0.020396,34.947831,0.145393,35.089313,-0.14148159,35.303577,-0.35574592
sn1992bc,0.020792,34.860895,0.14683,35.131728,-0.27083268,35.345753,-0.48485796
sn2003w,0.020997,34.869301,0.145587,35.153374,-0.28407277,35.367276,-0.49797438
sn2002jy,0.021541,35.292985,0.145405,35.209821,0.083163801,35.423395,-0.13040985
sn2007bc,0.021706,35.074451,0.146331,35.226665,-0.1522141,35.440139,-0.36568835
sn2006bq,0.021956,35.14196,0.145024,35.251947,-0.10998756,35.465271,-0.32331127
sn2008bf,0.022068,35.197767,0.144685,35.263182,-0.065415044,35.476438,-0.27867132
sn1995ak,0.022399,34.937705,0.149213,35.29606,-0.35835486,35.509117,-0.57141197
sn2006et,0.022466,35.024709,0.145994,35.302657,-0.27794807,35.515674,-0.49096488
sn2006mp,0.022629,35.41183,0.145184,35.318625,0.093204424,35.531544,-0.11971437
sn2006ar,0.02298,35.353004,0.145076,35.352631,0.00037319076,35.565339,-0.21233463
sn2006cp,0.023321,35.074581,0.144025,35.385182,-0.31060049,35.597685,-0.5231035
sn2000ca,0.02336,35.249377,0.144317,35.388875,-0.13949807,35.601354,-0.35197766
sn2006ac,0.023471,35.263038,0.143695,35.399352,-0.13631403,35.611765,-0.34872698
sn2000cn,0.023552,35.232154,0.144309,35.406968,-0.17481359,35.619332,-0.38717793
sn2007f,0.02381,35.453902,0.144315,35.431053,0.022849338,35.643263,-0.1893602
sn2007qe,0.023867,35.312976,0.14435,35.43634,-0.12336349,35.648515,-0.33553883
sn1993h,0.023909,35.350353,0.145547,35.440227,-0.089874176,35.652377,-0.30202433
sn2006sr,0.024159,35.27495,0.14338,35.463229,-0.18827888,35.675229,-0.40027913
sn2005bg,0.024586,35.322909,0.142334,35.50198,-0.17907084,35.713724,-0.39081523
sn2002he,0.024725,35.445406,0.145176,35.514452,-0.069045643,35.726113,-0.2807068
sn2002bf,0.024746,35.070075,0.147523,35.51633,-0.44625554,35.727979,-0.65790412
sn1994m,0.024951,35.222116,0.145319,35.534584,-0.31246839,35.74611,-0.52399425
sn1992ag,0.025198,35.242843,0.148276,35.556383,-0.31353958,35.767761,-0.52491764
sn2007cq,0.025468,35.194232,0.143429,35.579973,-0.38574116,35.79119,-0.59695774
sn2005ms,0.026567,35.627234,0.142099,35.673526,-0.046292143,35.884086,-0.25685232
sn1999gp,0.026677,35.602201,0.142999,35.682679,-0.080478475,35.893174,-0.29097303
sn2005na,0.026881,35.524407,0.141195,35.699558,-0.17515128,35.909931,-0.38552418
sn2007co,0.027064,35.45832,0.141685,35.714593,-0.25627225,35.924856,-0.46653605
sn2004gs,0.027499,35.806141,0.140928,35.749934,0.056206752,35.959939,-0.15379788
sn1992p,0.027637,35.761539,0.144083,35.761031,0.00050742022,35.970954,-0.20941504
sn1998ab,0.027688,35.240115,0.143171,35.765119,-0.525004,35.975011,-0.7348961
sn2002de,0.027748,35.731784,0.141846,35.769918,-0.038134231,35.979774,-0.24799061
sn2003u,0.028561,35.591369,0.14269,35.833965,-0.24259604,36.043338,-0.45196887
sn2005eq,0.029086,35.858819,0.141059,35.874381,-0.015561951,36.083442,-0.22462294
sn2006qo,0.029526,35.686443,0.142005,35.907707,-0.22126452,36.116507,-0.4300644
sn1990o,0.030325,35.747254,0.143169,35.967,-0.21974622,36.175326,-0.42807253
sn2001ba,0.030381,35.918942,0.142175,35.971098,-0.05215616,36.179391,-0.2604493
sn2003ch,0.030416,35.941299,0.140939,35.973656,-0.032356375,36.181928,-0.24062879
sn1997dg,0.030482,36.197901,0.1417,35.978471,0.21943054,36.186704,0.011197196
sn1996c,0.030721,35.839872,0.142617,35.995822,-0.15595028,36.203914,-0.36404215
sn2006bt,0.031484,36.053917,0.140272,36.050345,0.0035718054,36.257986,-0.20406888
sn2006az,0.031485,35.938196,0.140346,36.050416,-0.1122204,36.258056,-0.31986049
sn2007bd,0.031638,35.835702,0.14121,36.061193,-0.22549158,36.268743,-0.43304128
sn1999cc,0.031764,35.884859,0.140686,36.07003,-0.1851709,36.277506,-0.39264617
sn2004as,0.032538,36.129874,0.14043,36.123575,0.0062990857,36.330594,-0.20071944
sn2004l,0.033173,35.996675,0.143111,36.166583,-0.16990829,36.373227,-0.3765526
sn2006s,0.033255,36.21217,0.139885,36.172078,0.040092009,36.378674,-0.16650402
sn2006gr,0.033614,36.162256,0.139809,36.195981,-0.03372499,36.402365,-0.2401097
sn2005iq,0.034074,36.263162,0.138969,36.226246,0.036915611,36.43236,-0.16919855
sn2005eu,0.034781,36.150741,0.141596,36.271994,-0.12125275,36.477693,-0.32695155
sn1996bl,0.034854,35.992803,0.141007,36.276666,-0.28386259,36.482322,-0.48951854
sn2003iv,0.034971,36.260244,0.140126,36.284134,-0.023889326,36.489721,-0.22947661
sn1992bg,0.035218,36.134253,0.14465,36.299819,-0.16556643,36.505262,-0.37100879
sn2002hd,0.035755,35.942565,0.142258,36.333555,-0.39098989,36.538682,-0.59611742
SDSS17784,0.03652,36.331548,0.115396,36.380769,-0.049220852,36.585449,-0.25390047
sn2000cf,0.036934,36.375857,0.140956,36.40592,-0.030063238,36.610358,-0.23450074
sn2006nz,0.03695,36.320147,0.114021,36.406887,-0.086739992,36.611315,-0.29116814
sn2006mo,0.036969,36.387901,0.141722,36.408034,-0.020132955,36.612451,-0.22454999
sn2001eh,0.037075,36.277857,0.139296,36.414423,-0.13656612,36.618779,-0.3409212
sn2002hu,0.038086,36.296658,0.138952,36.474486,-0.17782845,36.678251,-0.38159326
sn1999aw,0.039083,36.509804,0.139901,36.532215,-0.022411878,36.735399,-0.22559573
sn2003fa,0.039219,36.406044,0.138984,36.539979,-0.13393458,36.743084,-0.33703928
sn2001az,0.040259,36.605765,0.142119,36.598495,0.0072697546,36.800995,-0.19523031
sn2005lz,0.040689,36.527676,0.139014,36.62226,-0.094584401,36.824511,-0.29683483
sn1992bh,0.041657,36.777361,0.141016,36.674879,0.10248202,36.876568,-0.099207227
sn1992bl,0.0424,36.547697,0.142756,36.714467,-0.16676993,36.915727,-0.36802915
SDSS10805,0.04413,36.522649,0.11486,36.804094,-0.281445,37.004355,-0.48170541
SDSS14279,0.04428,36.542955,0.113705,36.811704,-0.26874897,37.011878,-0.46892293
sn2005hc,0.04492,36.813793,0.111373,36.843893,-0.030100928,37.043699,-0.22990635
sn2004gu,0.046856,36.696633,0.137271,36.938628,-0.24199405,37.137321,-0.44068749
sn1995ac,0.048984,36.599681,0.139079,37.038478,-0.43879713,37.235954,-0.63627318
sn1993ag,0.049325,36.840252,0.140167,37.054087,-0.21383502,37.251368,-0.41111646
sn1990af,0.049519,36.896049,0.139446,37.06292,-0.16687167,37.260091,-0.36404246
sn1993o,0.053126,37.097132,0.139575,37.22134,-0.12420766,37.416461,-0.31932877
sn1998dx,0.05386,37.0011,0.140685,37.252302,-0.25120164,37.447007,-0.44590744
sn1999ao,0.054931,37.291241,0.143919,37.296755,-0.0055145333,37.490856,-0.19961542
SDSS19968,0.05499,37.155275,0.112893,37.29918,-0.14390511,37.493247,-0.33797271
SDSS6558,0.05634,37.255335,0.112867,37.353982,-0.098646611,37.547289,-0.29195362
SDSS14318,0.05654,37.11319,0.122398,37.361993,-0.24880267,37.555187,-0.44199718
SDSS17745,0.05874,37.467552,0.114585,37.448356,0.019196848,37.640315,-0.17276302
sn2006ob,0.059289,37.302212,0.111086,37.469421,-0.16720968,37.661074,-0.35886229
sn2006oa,0.060959,37.39072,0.11093,37.532366,-0.14164604,37.723086,-0.33236604
SDSS3901,0.062818,37.378504,0.112357,37.600514,-0.22200926,37.790199,-0.41169472
sn2007ae,0.062961,37.387267,0.140212,37.605675,-0.21840827,37.795281,-0.40801431
sn1992bs,0.063345,37.666991,0.141293,37.61948,0.047510996,37.808873,-0.14188188
SDSS10028,0.064229,37.448507,0.112975,37.650957,-0.20245025,37.83986,-0.39135302
sn2006an,0.065193,37.623736,0.139912,37.684813,-0.061077157,37.873182,-0.24944646
SDSS6057,0.06651,37.545335,0.112612,37.730297,-0.18496236,37.917939,-0.37260447
sn2006al,0.069122,37.86837,0.145157,37.818007,0.050362983,38.004213,-0.13584253
sn2006on,0.069751,37.544255,0.111409,37.838654,-0.29439881,38.024515,-0.48025948
sn1993b,0.070153,37.633652,0.146379,37.851757,-0.21810522,38.037397,-0.40374572
SDSS17240,0.07153,37.643365,0.157968,37.8961,-0.25273504,38.080987,-0.43762272
SDSS17880,0.07195,37.593299,0.112772,37.909462,-0.3161632,38.094121,-0.50082168
sn1992ae,0.074579,37.735149,0.141947,37.99145,-0.25630061,38.174678,-0.43952868
sn2005ir,0.07487,37.849941,0.110074,38.000354,-0.15041358,38.183425,-0.33348378
SDSS19155,0.07592,38.018827,0.112389,38.032212,-0.013384966,38.214714,-0.19588628
sn1999bp,0.078317,37.975452,0.138307,38.103392,-0.12793982,38.284599,-0.30914691
SDSS17186,0.07849,38.285205,0.113854,38.108449,0.17675662,38.289563,-0.0043573023
sn1992bp,0.07884,37.792706,0.138584,38.118646,-0.3259407,38.299572,-0.50686622
SDSS12779,0.07891,38.072741,0.117766,38.120681,-0.047939938,38.301569,-0.2288278
SDSS12898,0.07997,38.092961,0.112109,38.151278,-0.058317058,38.331596,-0.23863522
sn2005ag,0.080103,37.91689,0.136253,38.15509,-0.23820057,38.335337,-0.41844733
SDSS12950,0.08133,38.185733,0.111814,38.189975,-0.0042416917,38.369564,-0.18383068
SDSS12781,0.08304,38.317541,0.115125,38.237764,0.079776266,38.416439,-0.098898692
SDSS722,0.08522,38.220612,0.128423,38.29735,-0.076737733,38.474864,-0.25425194
SDSS3592,0.08528,38.178483,0.111932,38.298969,-0.12048651,38.476452,-0.29796884
SDSS21502,0.08784,38.239802,0.112907,38.367074,-0.12727217,38.5432,-0.30339801
SDSS1241,0.08889,38.186699,0.11251,38.394464,-0.20776509,38.570036,-0.38333654
SDSS19899,0.09007,38.270945,0.111899,38.424881,-0.15393657,38.599831,-0.3288864
SDSS17258,0.0901,38.078707,0.124187,38.42565,-0.34694291,38.600584,-0.52187695
SDSS774,0.09243,38.409607,0.122156,38.484598,-0.07499059,38.658309,-0.24870154
SDSS18241,0.09391,38.584293,0.11374,38.521315,0.062978407,38.694252,-0.10995859
SDSS2102,0.09401,38.461071,0.112725,38.523776,-0.062704529,38.69666,-0.23558931
SDSS16185,0.09582,38.533308,0.112716,38.567897,-0.034589231,38.739839,-0.20653079
SDSS13038,0.10264,38.777015,0.113322,38.727353,0.049662231,38.895771,-0.11875579
SDSS10434,0.10289,38.727198,0.114221,38.733006,-0.0058078453,38.901296,-0.17409762
SDSS13135,0.10337,38.651728,0.111598,38.743824,-0.092095815,38.911867,-0.26013953
SDSS20064,0.10391,38.506897,0.112416,38.755937,-0.24904002,38.923704,-0.4168072
SDSS14816,0.10589,38.51032,0.112285,38.79985,-0.28952902,38.966605,-0.4562848
SDSS18697,0.10602,38.638175,0.111682,38.802706,-0.16453061,38.969395,-0.33122012
SDSS20625,0.10667,38.779541,0.112607,38.816936,-0.037395001,38.983295,-0.20375344
SDSS18375,0.10725,38.455458,0.111743,38.829566,-0.37410793,38.995629,-0.54017132
SDSS21034,0.10751,38.794085,0.112402,38.835206,-0.041120789,39.001137,-0.20705203
SDSS7147,0.10924,38.800044,0.112096,38.872413,-0.072369734,39.037467,-0.2374234
SDSS18650,0.11271,38.964234,0.112009,38.9454,0.018833857,39.108703,-0.14446876
SDSS11067,0.11304,38.881139,0.112246,38.952231,-0.071091745,39.115367,-0.23422847
SDSS18612,0.11368,38.685221,0.111953,38.965425,-0.28020344,39.12824,-0.44301874
SDSS16641,0.11389,39.043562,0.113093,38.969739,0.073823613,39.132448,-0.088886319
SDSS16619,0.11402,38.712592,0.11346,38.972405,-0.25981392,39.13505,-0.42245865
SDSS5395,0.11635,38.978748,0.111949,39.019725,-0.040977818,39.181204,-0.20245666
SDSS8719,0.11651,38.922422,0.113022,39.022942,-0.10051984,39.184341,-0.26191882
SDSS2561,0.11741,38.950183,0.112518,39.040959,-0.090775517,39.201909,-0.25172577
SDSS19953,0.11767,38.990858,0.111671,39.04614,-0.055281571,39.20696,-0.21610234
SDSS16259,0.11771,38.891708,0.113079,39.046936,-0.15522811,39.207737,-0.31602896
SDSS1371,0.11771,38.777081,0.11196,39.046936,-0.26985517,39.207737,-0.43065602
SDSS14871,0.11845,39.061558,0.111824,39.061618,-5.9777106e-05,39.22205,-0.1604925
SDSS18298,0.11863,38.669532,0.127194,39.065176,-0.39564341,39.225519,-0.55598667
SDSS13894,0.11966,39.209273,0.113363,39.08544,0.12383264,39.245272,-0.035999317
SDSS13044,0.11967,39.087358,0.112171,39.085636,0.001721629,39.245463,-0.15810537
SDSS5549,0.11967,38.967698,0.111976,39.085636,-0.11793779,39.245463,-0.27776479
SDSS12860,0.12044,39.030567,0.113463,39.100677,-0.07011039,39.260122,-0.22955586
SDSS19543,0.12164,39.196958,0.112462,39.123939,0.073019483,39.282791,-0.085832564
SDSS18835,0.12262,38.956586,0.11183,39.142777,-0.18619139,39.301145,-0.34455988
SDSS16021,0.12276,38.987525,0.112478,39.145457,-0.15793136,39.303756,-0.31623084
SDSS21669,0.12281,38.913864,0.129766,39.146413,-0.23254905,39.304688,-0.39082389
SDSS2916,0.12303,38.972486,0.119632,39.150616,-0.17813078,39.308783,-0.33629724
SDSS6406,0.12376,38.936366,0.111795,39.164514,-0.22814787,39.322321,-0.38595503
SDSS20470,0.1244,39.208689,0.113068,39.176635,0.032054576,39.334128,-0.12543803
06D2fb,0.125298,39.06277,0.085713,39.193544,-0.13077462,39.350596,-0.28782655
SDSS13005,0.12593,39.181814,0.157613,39.205377,-0.023563163,39.362119,-0.18030542
SDSS2992,0.12608,38.877179,0.113495,39.208177,-0.33099752,39.364846,-0.48766634
SDSS744,0.12649,39.083386,0.118731,39.215815,-0.13242877,39.372283,-0.28889697
SDSS18855,0.12715,39.121925,0.111895,39.228062,-0.10613666,39.384207,-0.26228225
SDSS16069,0.12739,39.041874,0.113191,39.2325,-0.19062641,39.388529,-0.3466548
SDSS18809,0.12837,39.121917,0.112485,39.250544,-0.12862663,39.406094,-0.28417703
SDSS22075,0.12893,39.091935,0.113756,39.260797,-0.16886177,39.416074,-0.32413946
SDSS1032,0.12903,39.12637,0.115931,39.262623,-0.136253,39.417852,-0.29148202
SDSS5751,0.12953,39.057113,0.112137,39.271736,-0.21462267,39.426721,-0.3696085
SDSS20084,0.12961,39.391752,0.113865,39.27319,0.11856201,39.428137,-0.03638494
SDSS18415,0.12961,39.207549,0.113841,39.27319,-0.065641372,39.428137,-0.22058832
SDSS17280,0.13045,39.449672,0.147057,39.288417,0.16125499,39.442956,0.0067159811
SDSS14108,0.13243,39.484723,0.112393,39.323948,0.16077485,39.477528,0.0071946593
SDSS18602,0.13362,39.326815,0.113865,39.345065,-0.018249399,39.49807,-0.17125517
SDSS15508,0.13392,39.215092,0.111798,39.35036,-0.13526862,39.503222,-0.28812979
SDSS15234,0.13508,39.491549,0.113196,39.370733,0.12081573,39.523036,-0.031487167
SDSS17629,0.13588,39.123799,0.113673,39.384689,-0.26088991,39.536608,-0.41280856
SDSS19775,0.13668,39.246318,0.113428,39.398568,-0.15225031,39.550103,-0.30378532
SDSS17366,0.13811,39.230733,0.112284,39.423189,-0.19245591,39.574039,-0.34330672
SDSS15171,0.13818,39.297665,0.11186,39.424388,-0.126723,39.575205,-0.27754038
SDSS17208,0.13864,39.611275,0.119461,39.432253,0.17902119,39.582851,0.028423456
SDSS12928,0.13868,39.317355,0.116765,39.432936,-0.11558139,39.583515,-0.26616004
SDSS1794,0.14139,39.449513,0.113002,39.478775,-0.029262066,39.628064,-0.17855099
SDSS14437,0.14265,39.385841,0.112226,39.499809,-0.11396777,39.648501,-0.26265945
SDSS2635,0.1431,39.388173,0.112072,39.507279,-0.11910638,39.655758,-0.26758513
SDSS13796,0.1436,39.307355,0.111766,39.515554,-0.20819896,39.663796,-0.35644135
SDSS17497,0.14382,39.356151,0.111949,39.519186,-0.1630348,39.667324,-0.31117327
SDSS8921,0.14401,39.387021,0.114616,39.522319,-0.13529798,39.670368,-0.28334674
SDSS16073,0.14468,39.679811,0.112388,39.533336,0.14647571,39.681068,-0.0012569483
SDSS14024,0.14478,39.380007,0.114439,39.534976,-0.15496924,39.682661,-0.30265476
SDSS17605,0.14533,39.41477,0.119235,39.543978,-0.12920816,39.691405,-0.27663458
SDSS11300,0.14547,39.125438,0.113737,39.546265,-0.42082684,39.693625,-0.56818736
SDSS21062,0.14564,39.731821,0.114307,39.549038,0.18278314,39.696319,0.035502632
SDSS19940,0.14582,39.261311,0.112189,39.551972,-0.29066059,39.699168,-0.43785641
SDSS12930,0.14607,39.559066,0.117074,39.55604,0.0030259274,39.703119,-0.14405234
SDSS2308,0.148,39.554178,0.111944,39.587235,-0.033056294,39.733407,-0.17922899
SDSS21510,0.14839,39.404046,0.11378,39.593492,-0.18944626,39.739482,-0.33543641
