name,redshift,observable_type,value,error,rs_fiducial_Mpc,pred_lcdm,chi2_contrib_lcdm,pred_LambdaCDM,chi2_contrib_LambdaCDM
BOSS DR12 Consensus z=0.38,0.38,DV_over_rs,9.1758,0.1453,,5.52542,631.168,5.52542,631.168
BOSS DR12 Consensus z=0.51,0.51,DV_over_rs,12.3631,0.1341,,7.0865,1548.29,7.0865,1548.29
BOSS DR12 Consensus z=0.61,0.61,DV_over_rs,14.3097,0.1345,,8.17883,2077.78,8.17883,2077.78
eBOSS DR16 Quasar z=1.48 (DM/rs),1.48,DM_over_rs,30.35,0.84,,16.8891,256.797,16.8891,256.797
eBOSS DR16 Quasar z=1.48 (DH/rs),1.48,DH_over_rs,13.26,0.53,,7.40127,122.195,7.40127,122.195
eBOSS DR16 Lyman-alpha Combined z=2.334 (DM/rs),2.334,DM_over_rs,37.5,1.1,,22.0676,196.825,22.0676,196.825
eBOSS DR16 Lyman-alpha Combined z=2.334 (DH/rs),2.334,DH_over_rs,8.88,0.19,,4.97018,423.455,4.97018,423.455
