ell,Dl_obs,Dl_te_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_LambdaCDM_tt,residual_LambdaCDM_tt,Dl_LambdaCDM_te,residual_LambdaCDM_te
32,1097.01,116.488,1139.75,-42.7429,1.77296,114.716,1139.75,-42.7429,1.77296,114.716
37,1180.26,116.077,1240.11,-59.8416,1.71351,114.364,1240.11,-59.8416,1.71351,114.364
42,1426.97,117.361,1347.3,79.6711,1.40368,115.957,1347.3,79.6711,1.40368,115.957
47,1364.66,119.261,1459.69,-95.0349,0.834278,118.426,1459.69,-95.0349,0.834278,118.426
52,1329.06,121.332,1577.73,-248.671,-0.0480535,121.38,1577.73,-248.671,-0.0480535,121.38
57,1607.2,123.908,1700.71,-93.5098,-1.24263,125.151,1700.71,-93.5098,-1.24263,125.151
62,1663.41,126.648,1829.58,-166.171,-2.77158,129.419,1829.58,-166.171,-2.77158,129.419
67,1838.4,129.805,1964.09,-125.691,-4.62161,134.426,1964.09,-125.691,-4.62161,134.426
72,1974.24,133.711,2103.81,-129.565,-6.78598,140.497,2103.81,-129.565,-6.78598,140.497
77,1765.67,137.551,2250.53,-484.859,-9.25455,146.805,2250.53,-484.859,-9.25455,146.805
82,2168.04,142.193,2403.19,-235.154,-11.9884,154.181,2403.19,-235.154,-11.9884,154.181
87,2330.99,146.965,2561.7,-230.709,-14.951,161.916,2561.7,-230.709,-14.951,161.916
92,2446.65,151.665,2725.41,-278.759,-18.0971,169.762,2725.41,-278.759,-18.0971,169.762
97,2484.46,156.448,2894.27,-409.808,-21.3773,177.825,2894.27,-409.808,-21.3773,177.825
104,2951.15,118.869,3139.82,-188.662,-26.1011,144.97,3139.82,-188.662,-26.1011,144.97
113,3221.96,125.807,3469.64,-247.68,-32.1595,157.966,3469.64,-247.68,-32.1595,157.966
122,3382.73,132.931,3811.44,-428.715,-37.8432,170.774,3811.44,-428.715,-37.8432,170.774
131,3592.1,140.035,4159.49,-567.395,-42.7536,182.789,4159.49,-567.395,-42.7536,182.789
140,4229.84,146.431,4507.75,-277.909,-46.5117,192.942,4507.75,-277.909,-46.5117,192.942
149,4251.39,152.574,4851.24,-599.853,-48.7801,201.354,4851.24,-599.853,-48.7801,201.354
158,4778.71,158.191,5183.12,-404.413,-49.2619,207.453,5183.12,-404.413,-49.2619,207.453
167,4844.8,162.857,5497.1,-652.301,-47.716,210.573,5497.1,-652.301,-47.716,210.573
176,5120.63,166.536,5785.49,-664.863,-43.9747,210.511,5785.49,-664.863,-43.9747,210.511
185,5373.97,168.598,6041.66,-667.69,-37.9628,206.561,6041.66,-667.69,-37.9628,206.561
194,5542.7,169.826,6259.81,-717.107,-29.6849,199.51,6259.81,-717.107,-29.6849,199.51
203,5446.22,169.012,6435.17,-988.953,-19.2431,188.255,6435.17,-988.953,-19.2431,188.255
212,5636.34,167.953,6562.73,-926.389,-6.83821,174.791,6562.73,-926.389,-6.83821,174.791
221,5816.48,165.418,6640.17,-823.689,7.2284,158.19,6640.17,-823.689,7.2284,158.19
230,5684.66,160.755,6665.42,-980.762,22.5867,138.168,6665.42,-980.762,22.5867,138.168
239,5776.16,155.688,6637.77,-861.617,38.8156,116.872,6637.77,-861.617,38.8156,116.872
248,5435.47,149.464,6557.91,-1122.45,55.4581,94.0062,6557.91,-1122.45,55.4581,94.0062
257,5228,142.788,6427.89,-1199.89,72.0326,70.7549,6427.89,-1199.89,72.0326,70.7549
266,5090.29,134.576,6250.92,-1160.63,87.9779,46.5983,6250.92,-1160.63,87.9779,46.5983
275,5096.49,126.49,6032.2,-935.711,102.737,23.7521,6032.2,-935.711,102.737,23.7521
284,4546.18,117.806,5776.94,-1230.76,115.796,2.01008,5776.94,-1230.76,115.796,2.01008
293,4371.25,108.654,5491.35,-1120.11,126.714,-18.0597,5491.35,-1120.11,126.714,-18.0597
302,3935.72,100.144,5181.54,-1245.83,135.12,-34.9765,5181.54,-1245.83,135.12,-34.9765
311,3649.99,91.4018,4854.61,-1204.63,140.727,-49.3248,4854.61,-1204.63,140.727,-49.3248
320,3411.94,82.9697,4518.84,-1106.9,143.275,-60.3054,4518.84,-1106.9,143.275,-60.3054
329,3173.93,75.1715,4182.2,-1008.26,142.603,-67.4318,4182.2,-1008.26,142.603,-67.4318
338,2842.13,67.9998,3852.05,-1009.92,138.658,-70.6585,3852.05,-1009.92,138.658,-70.6585
347,2498.24,61.2915,3534.96,-1036.73,131.505,-70.2135,3534.96,-1036.73,131.505,-70.2135
356,2358.31,55.5922,3236.26,-877.952,121.274,-65.6818,3236.26,-877.952,121.274,-65.6818
365,2186.33,50.5043,2961.86,-775.53,108.289,-57.7846,2961.86,-775.53,108.289,-57.7846
374,2038.68,46.4264,2716.67,-677.997,92.9368,-46.5105,2716.67,-677.997,92.9368,-46.5105
383,1891.76,43.1684,2504.53,-612.772,75.6722,-32.5038,2504.53,-612.772,75.6722,-32.5038
392,1787.59,40.6809,2328.13,-540.545,56.9605,-16.2796,2328.13,-540.545,56.9605,-16.2796
401,1734.58,39.0986,2188.87,-454.286,37.2909,1.80773,2188.87,-454.286,37.2909,1.80773
410,1738.05,38.1472,2087.2,-349.15,17.1865,20.9607,2087.2,-349.15,17.1865,20.9607
419,1731.61,37.992,2021.88,-290.277,-2.69048,40.6825,2021.88,-290.277,-2.69048,40.6825
428,1770.01,38.2387,1991.13,-221.118,-21.7084,59.9471,1991.13,-221.118,-21.7084,59.9471
437,1770.68,38.942,1992.21,-221.528,-39.3238,78.2658,1992.21,-221.528,-39.3238,78.2658
446,1856.79,40.1097,2022.26,-165.476,-55.0734,95.1832,2022.26,-165.476,-55.0734,95.1832
455,2045.9,41.3193,2077.75,-31.8458,-68.5894,109.909,2077.75,-31.8458,-68.5894,109.909
464,2224.7,42.6811,2153.91,70.786,-79.5261,122.207,2153.91,70.786,-79.5261,122.207
473,2178.24,44.2083,2245.36,-67.1133,-87.6153,131.824,2245.36,-67.1133,-87.6153,131.824
482,2323.36,45.5664,2346.44,-23.0789,-92.6681,138.235,2346.44,-23.0789,-92.6681,138.235
491,2418.7,46.6662,2452.27,-33.5672,-94.6084,141.275,2452.27,-33.5672,-94.6084,141.275
500,2447.25,47.6298,2558.44,-111.184,-93.4539,141.084,2558.44,-111.184,-93.4539,141.084
509,2577.77,48.3824,2660.68,-82.9112,-89.3313,137.714,2660.68,-82.9112,-89.3313,137.714
518,2558.51,48.8517,2754.84,-196.324,-82.5613,131.413,2754.84,-196.324,-82.5613,131.413
527,2579.22,49.0304,2836.62,-257.399,-73.5261,122.556,2836.62,-257.399,-73.5261,122.556
536,2523.98,48.6775,2902.84,-378.864,-62.6285,111.306,2902.84,-378.864,-62.6285,111.306
545,2519.15,48.2047,2951.24,-432.093,-50.2923,98.497,2951.24,-432.093,-50.2923,98.497
554,2566.59,47.3184,2980.22,-413.633,-36.915,84.2334,2980.22,-413.633,-36.915,84.2334
563,2545.99,46.2542,2989.28,-443.281,-23.0267,69.2809,2989.28,-443.281,-23.0267,69.2809
572,2409.8,44.8554,2978.62,-568.812,-9.29182,54.1472,2978.62,-568.812,-9.29182,54.1472
581,2410.13,43.4209,2948.94,-538.814,3.70677,39.7141,2948.94,-538.814,3.70677,39.7141
590,2373.46,41.8475,2901.76,-528.301,15.4697,26.3778,2901.76,-528.301,15.4697,26.3778
599,2206.46,40.2004,2838.54,-632.08,25.5801,14.6204,2838.54,-632.08,25.5801,14.6204
608,2119.7,38.5251,2761.01,-641.31,33.709,4.81605,2761.01,-641.31,33.709,4.81605
617,2135.45,36.9238,2672.55,-537.095,39.5208,-2.59693,2672.55,-537.095,39.5208,-2.59693
626,1951.2,35.384,2577.09,-625.895,42.7553,-7.37132,2577.09,-625.895,42.7553,-7.37132
