Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_LambdaCDM,residual_LambdaCDM
sn1999ac,0.01006,33.326159,0.174566,33.037364,0.28879495,33.037364,0.28879495
sn2004s,0.010291,33.372062,0.173593,33.087017,0.28504508,33.087017,0.28504508
sn1997do,0.01055,33.493014,0.17309,33.141389,0.3516251,33.141389,0.3516251
sn2002dp,0.010888,33.645204,0.169021,33.210386,0.43481771,33.210386,0.43481771
sn2006bh,0.011184,33.669922,0.166533,33.269085,0.40083728,33.269085,0.40083728
sn2005al,0.012317,34.294158,0.16145,33.48036,0.81379771,33.48036,0.81379771
sn2001ep,0.013324,33.906604,0.158624,33.652548,0.25405565,33.652548,0.25405565
sn1999dq,0.013533,33.720058,0.158393,33.686665,0.033392847,33.686665,0.033392847
sn2002ha,0.013652,34.091038,0.157774,33.705858,0.38518017,33.705858,0.38518017
sn2001bt,0.014151,33.956815,0.157186,33.784574,0.17224131,33.784574,0.17224131
sn1997e,0.014256,34.107223,0.1564,33.800787,0.30643548,33.800787,0.30643548
sn1992al,0.014411,34.087975,0.156643,33.824506,0.26346934,33.824506,0.26346934
sn1999dk,0.01444,33.987297,0.157099,33.828915,0.15838202,33.828915,0.15838202
sn2005bo,0.014467,34.138903,0.154784,33.833013,0.30589013,33.833013,0.30589013
sn2001fe,0.014575,34.270406,0.155333,33.849328,0.42107817,33.849328,0.42107817
sn2006n,0.0147,34.33758,0.155008,33.868063,0.46951758,33.868063,0.46951758
sn2005kc,0.01496,34.231351,0.153548,33.90653,0.32482115,33.90653,0.32482115
sn2005el,0.015154,34.357711,0.153758,33.934804,0.42290656,33.934804,0.42290656
sn2004eo,0.015469,34.072352,0.153515,33.979959,0.092392849,33.979959,0.092392849
sn2001en,0.015482,34.246778,0.154168,33.981803,0.26497531,33.981803,0.26497531
sn2001cn,0.015487,34.107353,0.153742,33.982512,0.1248409,33.982512,0.1248409
sn2001bf,0.015504,34.190252,0.153374,33.98492,0.20533212,33.98492,0.20533212
sn2001cz,0.015554,34.244148,0.153417,33.991988,0.25216018,33.991988,0.25216018
sn1999aa,0.015573,34.45074,0.153276,33.994668,0.45607217,33.994668,0.45607217
sn1994s,0.015664,34.311808,0.154751,34.007458,0.30434977,34.007458,0.30434977
sn2004ey,0.015678,34.409554,0.151905,34.00942,0.40013482,34.00942,0.40013482
sn2001v,0.015791,34.104592,0.152742,34.025186,0.079405132,34.025186,0.079405132
sn2006td,0.015999,34.554597,0.153171,34.053919,0.50067783,34.053919,0.50067783
sn1996bv,0.016966,34.25655,0.153258,34.182823,0.073727689,34.182823,0.073727689
sn2006ax,0.017387,34.645289,0.148936,34.236688,0.40860089,34.236688,0.40860089
sn1998v,0.01745,34.396806,0.150702,34.244638,0.1521678,34.244638,0.1521678
sn2000dk,0.017483,34.451815,0.150122,34.248791,0.20302476,34.248791,0.20302476
sn1998ef,0.017672,34.225012,0.150611,34.272426,-0.047414411,34.272426,-0.047414411
sn2007ci,0.018599,34.728819,0.149282,34.384852,0.34396748,34.384852,0.34396748
sn1992bo,0.018902,34.934901,0.149087,34.420402,0.51449953,34.420402,0.51449953
sn2002kf,0.019581,34.993089,0.147459,34.498065,0.49502342,34.498065,0.49502342
sn2006ej,0.02039,34.999875,0.147727,34.587201,0.41267487,34.587201,0.41267487
sn2005ki,0.020396,34.947831,0.145393,34.587849,0.35998277,34.587849,0.35998277
sn1992bc,0.020792,34.860895,0.14683,34.630203,0.23069224,34.630203,0.23069224
sn2003w,0.020997,34.869301,0.145587,34.651818,0.21748349,34.651818,0.21748349
sn2002jy,0.021541,35.292985,0.145405,34.708182,0.58480324,34.708182,0.58480324
sn2007bc,0.021706,35.074451,0.146331,34.725,0.34945057,34.725,0.34945057
sn2006bq,0.021956,35.14196,0.145024,34.750245,0.39171533,34.750245,0.39171533
sn2008bf,0.022068,35.197767,0.144685,34.761462,0.43630497,34.761462,0.43630497
sn1995ak,0.022399,34.937705,0.149213,34.794289,0.14341576,34.794289,0.14341576
sn2006et,0.022466,35.024709,0.145994,34.800876,0.22383279,34.800876,0.22383279
sn2006mp,0.022629,35.41183,0.145184,34.816819,0.5950102,34.816819,0.5950102
sn2006ar,0.02298,35.353004,0.145076,34.850771,0.50223262,34.850771,0.50223262
sn2006cp,0.023321,35.074581,0.144025,34.88327,0.19131106,34.88327,0.19131106
sn2000ca,0.02336,35.249377,0.144317,34.886957,0.36241944,34.886957,0.36241944
sn2006ac,0.023471,35.263038,0.143695,34.897418,0.36562045,34.897418,0.36562045
sn2000cn,0.023552,35.232154,0.144309,34.905021,0.32713326,34.905021,0.32713326
sn2007f,0.02381,35.453902,0.144315,34.929067,0.52483562,34.929067,0.52483562
sn2007qe,0.023867,35.312976,0.14435,34.934345,0.37863151,34.934345,0.37863151
sn1993h,0.023909,35.350353,0.145547,34.938226,0.41212724,34.938226,0.41212724
sn2006sr,0.024159,35.27495,0.14338,34.961189,0.31376074,34.961189,0.31376074
sn2005bg,0.024586,35.322909,0.142334,34.999875,0.32303404,34.999875,0.32303404
sn2002he,0.024725,35.445406,0.145176,35.012326,0.43308047,35.012326,0.43308047
sn2002bf,0.024746,35.070075,0.147523,35.014201,0.055873783,35.014201,0.055873783
sn1994m,0.024951,35.222116,0.145319,35.032423,0.18969226,35.032423,0.18969226
sn1992ag,0.025198,35.242843,0.148276,35.054184,0.1886588,35.054184,0.1886588
sn2007cq,0.025468,35.194232,0.143429,35.077733,0.11649847,35.077733,0.11649847
sn2005ms,0.026567,35.627234,0.142099,35.171118,0.45611538,35.171118,0.45611538
sn1999gp,0.026677,35.602201,0.142999,35.180255,0.42194585,35.180255,0.42194585
sn2005na,0.026881,35.524407,0.141195,35.197103,0.3273042,35.197103,0.3273042
sn2007co,0.027064,35.45832,0.141685,35.212109,0.24621118,35.212109,0.24621118
sn2004gs,0.027499,35.806141,0.140928,35.247384,0.55875662,35.247384,0.55875662
sn1992p,0.027637,35.761539,0.144083,35.25846,0.50307836,35.25846,0.50307836
sn1998ab,0.027688,35.240115,0.143171,35.26254,-0.02242527,35.26254,-0.02242527
