Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_USMFv2,residual_USMFv2
05D2ab,0.324532,41.145546,0.086121,41.24428,-0.098733956,40.247891,0.89765498
SDSS6924,0.3264,41.049397,0.11903,41.258763,-0.20936643,40.261812,0.78758421
SDSS14456,0.32837,40.95845,0.124052,41.273955,-0.3155049,40.276415,0.6820355
SDSS13830,0.32837,40.91823,0.134054,41.273955,-0.3557245,40.276415,0.64181589
SDSS13934,0.32838,41.451418,0.136536,41.274032,0.17738575,40.276488,1.1749291
SDSS4241,0.33051,41.221878,0.12568,41.290363,-0.06848497,40.292185,0.92969309
03D1fc,0.330932,41.057624,0.086437,41.293587,-0.2359634,40.295284,0.76234003
SDSS4679,0.33103,40.994302,0.136212,41.294335,-0.30003319,40.296003,0.69829933
SDSS20106,0.33136,41.312067,0.135299,41.296853,0.015213824,40.298423,1.0136443
SDSS16093,0.33436,41.254482,0.132618,41.319638,-0.065156815,40.320321,0.93416061
04D3kr,0.337534,41.247685,0.086047,41.343541,-0.095856729,40.343292,0.90439245
SDSS2533,0.3388,41.30944,0.129777,41.353018,-0.043577586,40.352399,0.95704135
04D3nh,0.34052,41.285303,0.0859,41.365841,-0.080537358,40.364721,0.92058222
03D1bp,0.345928,41.411108,0.087263,41.405774,0.005334006,40.403093,1.0080148
05D2ie,0.349557,41.497971,0.086821,41.432251,0.065720664,40.428533,1.0694383
04D2mc,0.34956,41.044308,0.089792,41.432272,-0.38796421,40.428554,0.61575424
05D2hc,0.35156,41.523688,0.086351,41.446756,0.076932205,40.44247,1.0812183
SDSS19067,0.35346,41.102633,0.125157,41.460446,-0.35781305,40.455623,0.64700995
05D2mp,0.355261,41.574652,0.088265,41.47336,0.10129213,40.46803,1.1066219
03D3bl,0.35582,41.349554,0.087008,41.477356,-0.12780146,40.471869,0.87768513
04D3fk,0.358336,41.265612,0.086303,41.49527,-0.22965789,40.48908,0.77653213
04D2fs,0.35857,41.300602,0.086485,41.49693,-0.19632821,40.490675,0.80992703
SDSS4577,0.36193,41.385403,0.13291,41.520661,-0.13525747,40.513473,0.8719303
SDSS15704,0.36397,41.634053,0.127982,41.53497,0.099083321,40.527219,1.1068337
SDSS13136,0.36441,41.757434,0.131873,41.538046,0.21938711,40.530175,1.2272585
SDSS16232,0.36554,41.511378,0.137024,41.545932,-0.03455442,40.53775,0.97362718
04D1hd,0.367904,41.603385,0.086082,41.562357,0.041028163,40.553529,1.049856
SDSS14397,0.36941,41.776703,0.131466,41.572769,0.20393309,40.563532,1.2131709
SDSS18091,0.37013,41.457867,0.138604,41.577734,-0.11986741,40.568301,0.88956579
05D4bm,0.370511,41.502519,0.086476,41.580357,-0.077838784,40.570821,0.9316977
05D3jr,0.370531,41.401449,0.086626,41.580495,-0.17904613,40.570953,0.83049577
04D2cf,0.370586,41.434925,0.095747,41.580874,-0.14594857,40.571317,0.86360824
03D3ay,0.371443,41.572252,0.091326,41.586764,-0.014512025,40.576976,0.99527674
05D4fo,0.371508,41.548853,0.086225,41.587211,-0.038357809,40.577404,0.97144854
05D4cw,0.373513,41.478103,0.086768,41.600942,-0.12283864,40.590595,0.88750849
SDSS15756,0.37835,42.112175,0.135103,41.63379,0.47838466,40.622149,1.490026
SDSS7779,0.37986,41.476242,0.118539,41.643966,-0.16772365,40.631923,0.84431876
SDSS11206,0.38026,41.674685,0.138121,41.646655,0.028030282,40.634506,1.0401787
SDSS15456,0.38047,41.140725,0.12548,41.648066,-0.50734065,40.635862,0.50486337
SDSS18721,0.39135,41.584881,0.148848,41.720195,-0.13531392,40.705147,0.8797339
05D4ff,0.400485,41.549539,0.087548,41.779342,-0.2298037,40.761962,0.78757606
SDSS19757,0.40128,41.390726,0.134806,41.784431,-0.39370442,40.76685,0.6238759
06D3ed,0.404549,41.81249,0.086483,41.805257,0.0072334271,40.786856,1.0256345
05D4dt,0.405478,41.859724,0.086962,41.811147,0.048576897,40.792514,1.0672101
06D4cq,0.40947,41.784188,0.086547,41.836317,-0.05212868,40.816692,0.96749596
04D2fp,0.416632,41.805162,0.087194,41.880912,-0.075749063,40.859532,0.94563086
05D2dw,0.418633,41.721512,0.087692,41.893244,-0.17173182,40.871379,0.85013318
05D3cf,0.419569,41.926438,0.087595,41.898995,0.027443356,40.876903,1.0495345
04D4gg,0.422452,41.692885,0.08807,41.916632,-0.22374658,40.893847,0.79903775
05D2cb,0.428646,42.081888,0.089103,41.954151,0.12773695,40.929894,1.1519945
04D1rh,0.434861,41.900171,0.087188,41.991298,-0.091126731,40.965584,0.93458715
06D4co,0.435446,41.663732,0.086944,41.994769,-0.3310366,40.968919,0.69481322
06D3df,0.442548,41.957619,0.08709,42.036569,-0.078949884,41.009084,0.94853518
06D2gb,0.443668,41.858169,0.091594,42.043104,-0.18493481,41.015363,0.84280558
03D3aw,0.449562,42.09792,0.091912,42.077246,0.020674451,41.048173,1.049747
04D3gt,0.451556,41.668287,0.087828,42.088702,-0.42041516,41.059183,0.60910382
04D2gb,0.451681,41.642176,0.088233,42.089419,-0.44724312,41.059872,0.58230377
03D3cd,0.461274,42.021038,0.095948,42.143875,-0.12283696,41.112212,0.90882663
