name,redshift,observable_type,value,error,pred_lcdm,chi2_contrib_lcdm,pred_LambdaCDM,chi2_contrib_LambdaCDM
BOSS DR12 z=0.38 (DM/rs),0.38,DM_over_rs,7.41271,0.122504,8.88335,144.116,8.88335,144.116
BOSS DR12 z=0.38 (DH/rs),0.38,DH_over_rs,18.0938,0.527667,21.1329,33.1712,21.1329,33.1712
BOSS DR12 z=0.38 (DV/rs),0.38,DV_over_rs,9.98071,0.113804,8.58945,149.452,8.58945,149.452
BOSS DR12 z=0.51 (DM/rs),0.51,DM_over_rs,10.6788,0.162712,11.5324,27.5235,11.5324,27.5235
BOSS DR12 z=0.51 (DH/rs),0.51,DH_over_rs,17.83,0.456776,19.6325,15.5715,19.6325,15.5715
BOSS DR12 z=0.51 (DV/rs),0.51,DV_over_rs,12.6687,0.128874,11.0018,167.304,11.0018,167.304
BOSS DR12 z=0.61 (DM/rs),0.61,DM_over_rs,13.2378,0.212813,13.44,0.903407,13.44,0.903407
BOSS DR12 z=0.61 (DH/rs),0.61,DH_over_rs,17.3848,0.439494,18.5282,6.7691,18.5282,6.7691
BOSS DR12 z=0.61 (DV/rs),0.61,DV_over_rs,14.4966,0.150063,12.6859,145.593,12.6859,145.593
