ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_USMFv2_tt,residual_USMFv2_tt,Dl_USMFv2_te,residual_USMFv2_te,Dl_USMFv2_ee,residual_USMFv2_ee
32,1097.01,1.51224,0.0643557,1252.42,-155.411,2.27148,-0.759242,0.0320472,0.0323085,643.233,453.778,1.56531,-0.0530702,0.0177022,0.0466535
37,1180.26,3.11711,0.0649424,1352.19,-171.925,2.23663,0.880477,0.0528393,0.0121031,686.07,494.194,1.70288,1.41422,0.0294877,0.0354547
42,1426.97,0.820244,0.0699042,1458.15,-31.1765,1.89392,-1.07368,0.0808308,-0.0109266,729.627,697.345,1.69907,-0.878828,0.0456542,0.02425
47,1364.66,1.07013,0.141281,1568.88,-204.218,1.22618,-0.156048,0.117187,0.024094,773.968,590.691,1.56546,-0.495329,0.0669361,0.0743445
52,1329.06,1.08312,0.146964,1685.15,-356.084,0.172663,0.910455,0.16219,-0.0152262,819.032,510.029,1.24246,-0.159347,0.0935684,0.0533956
57,1607.2,-3.82399,0.193005,1806.66,-199.467,-1.26126,-2.56273,0.216198,-0.0231935,864.873,742.324,0.730649,-4.55464,0.125921,0.0670832
62,1663.41,-4.29778,0.296409,1934.77,-271.361,-3.10677,-1.19101,0.278985,0.0174234,912.521,750.892,0.00398904,-4.30177,0.164361,0.132048
67,1838.4,-2.04066,0.331388,2069.19,-230.789,-5.34725,3.30659,0.350246,-0.0188574,961.815,876.589,-0.933062,-1.1076,0.208734,0.122654
72,1974.24,-8.54866,0.356963,2210.04,-235.793,-7.96672,-0.581941,0.42909,-0.072127,1012.75,961.491,-2.08915,-6.45951,0.258816,0.0981472
77,1765.67,-7.23417,0.448396,2358.8,-593.135,-10.9503,3.71618,0.514432,-0.0660366,1066.67,698.998,-3.46484,-3.76933,0.314349,0.134046
82,2168.04,-9.89267,0.522364,2514.9,-346.86,-14.2577,4.36502,0.604811,-0.0824474,1122.43,1045.61,-5.0415,-4.85116,0.374692,0.147672
87,2330.99,-12.7208,0.489592,2678.7,-347.709,-17.8428,5.122,0.698586,-0.208994,1181.49,1149.5,-6.81957,-5.90125,0.439166,0.0504258
92,2446.65,-19.2047,0.789127,2848.8,-402.15,-21.6369,2.43224,0.79389,-0.00476298,1242.84,1203.81,-8.76908,-10.4356,0.506935,0.282192
97,2484.46,-19.0476,0.57472,3025.59,-541.13,-25.5824,6.53482,0.888646,-0.313926,1306.94,1177.52,-10.8731,-8.17446,0.576999,-0.00227936
104,2951.15,-28.1287,0.830793,3284.19,-333.031,-31.2351,3.10638,1.01628,-0.185488,1401.83,1549.33,-14.0388,-14.0899,0.676784,0.154009
113,3221.96,-31.7919,0.924375,3632.53,-410.573,-38.4156,6.62367,1.16316,-0.238786,1531.05,1690.91,-18.3606,-13.4314,0.80345,0.120925
122,3382.73,-35.701,1.11192,3993.41,-610.686,-45.059,9.35801,1.27983,-0.167916,1666.17,1716.56,-22.7771,-12.9239,0.92173,0.190188
131,3592.1,-41.5613,1.10666,4360.61,-768.514,-50.6934,9.13219,1.35634,-0.249686,1805.8,1786.3,-27.0971,-14.4641,1.02453,0.0821283
140,4229.84,-43.6625,1.09668,4726.95,-497.113,-54.8712,11.2087,1.38585,-0.289171,1947.8,2282.04,-31.1325,-12.53,1.1061,-0.00941734
149,4251.39,-45.0365,1.00578,5084.2,-832.816,-57.1939,12.1574,1.36617,-0.360393,2089.18,2162.21,-34.6827,-10.3538,1.16072,-0.154934
158,4778.71,-49.241,1.07943,5422.22,-643.507,-57.3157,8.07472,1.29982,-0.220391,2225.01,2553.7,-37.5702,-11.6708,1.18556,-0.106134
167,4844.8,-45.9645,0.855441,5733.33,-888.538,-55.0051,9.04057,1.19501,-0.339568,2352.56,2492.24,-39.6293,-6.33518,1.17815,-0.322713
