name,redshift,observable_type,value,error,rs_fiducial_Mpc,pred_lcdm,chi2_contrib_lcdm,pred_LambdaCDM,chi2_contrib_LambdaCDM
6dFGS z=0.106,0.106,DV_over_rs,2.976,0.133,,1.13418,191.775,1.13418,191.775
SDSS MGS z=0.15,0.15,DV_over_rs,4.48,0.168,,1.60073,293.729,1.60073,293.729
BOSS DR12 Consensus z=0.38,0.38,DV_over_rs,9.1758,0.1453,,3.98901,1274.28,3.98901,1274.28
BOSS DR12 Consensus z=0.51,0.51,DV_over_rs,12.3631,0.1341,,5.29362,2779.19,5.29362,2779.19
BOSS DR12 Consensus z=0.61,0.61,DV_over_rs,14.3097,0.1345,,6.27078,3572.33,6.27078,3572.33
WiggleZ z=0.44,0.44,DV_over_rs,11.54,0.56,,4.59569,153.774,4.59569,153.774
WiggleZ z=0.60,0.6,DV_over_rs,14.94,0.68,,6.17416,166.176,6.17416,166.176
WiggleZ z=0.73,0.73,DV_over_rs,16.92,0.58,,7.40989,268.853,7.40989,268.853
eBOSS DR14 Quasar z=1.52,1.52,DV_over_rs,25.94,1.14,,13.842,112.621,13.842,112.621
eBOSS DR16 Quasar z=1.48 (DM/rs),1.48,DM_over_rs,30.35,0.84,,14.3185,364.24,14.3185,364.24
eBOSS DR16 Quasar z=1.48 (DH/rs),1.48,DH_over_rs,13.26,0.53,,8.22305,90.3199,8.22305,90.3199
eBOSS DR16 Lyman-alpha Combined z=2.334 (DM/rs),2.334,DM_over_rs,37.5,1.1,,20.5552,237.293,20.5552,237.293
eBOSS DR16 Lyman-alpha Combined z=2.334 (DH/rs),2.334,DH_over_rs,8.88,0.19,,6.42774,166.581,6.42774,166.581
SDSS DR7 LRG z=0.35,0.35,DV_over_rs,8.88,0.17,,3.68291,934.592,3.68291,934.592
SDSS DR7 LRG z=0.2,0.2,DV_over_rs,5.249,0.168,,2.12748,345.233,2.12748,345.233
BOSS DR11 LOWZ z=0.32,0.32,DV_over_rs,0.0567591,0.0011187,149.28,3.37506,8.79838e+06,3.37506,8.79838e+06
BOSS DR11 CMASS z=0.57,0.57,DV_over_rs,0.0922964,0.000897642,149.28,5.88283,4.16132e+07,5.88283,4.16132e+07
BOSS DR11 Quasar-Lyα Cross z=2.36 (DM/rs),2.36,DM_over_rs,10.8,0.4,,20.7217,615.253,20.7217,615.253
BOSS DR11 Quasar-Lyα Cross z=2.36 (DH/rs),2.36,DH_over_rs,9,0.3,,6.37823,76.3744,6.37823,76.3744
eBOSS DR14 Quasar-Lyα Cross z=2.35 (DM/rs),2.35,DM_over_rs,36.3,1.8,,20.6578,75.5176,20.6578,75.5176
eBOSS DR14 Quasar-Lyα Cross z=2.35 (DH/rs),2.35,DH_over_rs,9.2,0.36,,6.39723,60.6138,6.39723,60.6138
eBOSS DR14 Lyα Auto z=2.34 (DM/rs),2.34,DM_over_rs,37.41,1.86,,20.5938,81.7393,20.5938,81.7393
eBOSS DR14 Lyα Auto z=2.34 (DH/rs),2.34,DH_over_rs,8.86,0.29,,6.41628,71.0078,6.41628,71.0078
eBOSS DR16 ELG z=0.845,0.845,DV_over_rs,18.23,0.58,,8.46457,283.483,8.46457,283.483
DES Y1 Angular BAO z=0.81,0.81,DM_over_rs,10.65,0.49,,8.32313,22.5502,8.32313,22.5502
