Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_LambdaCDM,residual_LambdaCDM
SDSS13757,0.28742,40.98442,0.118845,40.752544,0.23187675,40.77165,0.21277071
SDSS16402,0.28845,40.365663,0.116661,40.761621,-0.39595859,40.780708,-0.41504558
SDSS2789,0.28872,40.849092,0.124095,40.763996,0.085096159,40.783078,0.066014165
SDSS21006,0.29021,40.763225,0.116557,40.777065,-0.01383976,40.796119,-0.032894209
SDSS19596,0.29135,40.819653,0.12122,40.787023,0.032630247,40.806056,0.013596874
03D3ba,0.291718,40.758243,0.093479,40.79023,-0.031986898,40.809257,-0.051013469
SDSS19818,0.29192,40.740149,0.124168,40.791989,-0.05183991,40.811012,-0.07086275
SDSS6249,0.29287,40.817174,0.119196,40.800246,0.016927751,40.819251,-0.002077533
SDSS19027,0.2935,40.492773,0.120303,40.805708,-0.31293505,40.824702,-0.3319287
SDSS19604,0.29448,41.079777,0.140875,40.814184,0.26559314,40.833159,0.2466176
SDSS19794,0.29542,40.808155,0.134209,40.82229,-0.014134683,40.841248,-0.033092856
SDSS13610,0.29678,40.739246,0.117785,40.833976,-0.094730528,40.852909,-0.11366358
SDSS15057,0.29762,40.728258,0.131068,40.84117,-0.1129121,40.860088,-0.13182965
SDSS6137,0.29888,41.091218,0.124118,40.851927,0.23929137,40.870821,0.22039709
SDSS14735,0.30001,40.642617,0.119386,40.861539,-0.21892143,40.880412,-0.23779485
SDSS5391,0.30021,40.885371,0.128841,40.863236,0.022134609,40.882106,0.0032648793
SDSS20245,0.30041,40.492716,0.125866,40.864933,-0.37221665,40.883799,-0.39108269
06D4dh,0.30159,41.067761,0.086081,40.874923,0.19283787,40.893768,0.17399361
SDSS7143,0.3024,41.002212,0.118973,40.881761,0.12045129,40.90059,0.10162198
SDSS12883,0.30569,40.541317,0.1459,40.909363,-0.36804571,40.928131,-0.38681435
SDSS15213,0.30632,41.040319,0.127264,40.914617,0.12570141,40.933374,0.10694439
SDSS19632,0.30702,41.04173,0.126631,40.920444,0.12128542,40.939189,0.10254131
SDSS6699,0.30915,41.183872,0.122358,40.938102,0.24576938,40.956807,0.22706452
SDSS5844,0.30929,41.122357,0.120483,40.939259,0.18309836,40.957961,0.16439609
SDSS16211,0.30933,40.890216,0.137464,40.939589,-0.049373466,40.958291,-0.068075003
SDSS21042,0.31065,40.901058,0.124489,40.950471,-0.049412874,40.969148,-0.06809009
SDSS15383,0.31088,41.04566,0.12279,40.952363,0.09329725,40.971036,0.07462427
SDSS6649,0.31288,41.020099,0.118305,40.96876,0.051338806,40.987396,0.032702665
SDSS20142,0.31468,40.743123,0.118861,40.983437,-0.24031417,41.00204,-0.25891717
SDSS15776,0.31646,41.028737,0.121555,40.997876,0.030860846,41.016446,0.012290609
SDSS18617,0.32038,41.090022,0.12816,41.029417,0.060604969,41.047915,0.042106844
SDSS7475,0.32045,41.20966,0.117246,41.029977,0.1796826,41.048474,0.16118576
05D2ab,0.324532,41.145546,0.086121,41.062447,0.083099212,41.080869,0.064677406
SDSS6924,0.3264,41.049397,0.11903,41.077182,-0.027785602,41.09557,-0.046173092
