Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_USMFv2,residual_USMFv2
sn1999ac,0.01006,33.326159,0.174566,32.414074,0.91208498,32.407952,0.91820674
sn2004s,0.010291,33.372062,0.173593,32.463759,0.9083029,32.457498,0.91456379
sn1997do,0.01055,33.493014,0.17309,32.518167,0.97484681,32.51175,0.98126362
sn2002dp,0.010888,33.645204,0.169021,32.587211,1.0579923,32.580591,1.0646125
sn2006bh,0.011184,33.669922,0.166533,32.645952,1.0239706,32.639154,1.0307688
sn2005al,0.012317,34.294158,0.16145,32.857384,1.4367732,32.849906,1.4442515
sn2001ep,0.013324,33.906604,0.158624,33.029713,0.8768908,33.021632,0.88497247
sn1999dq,0.013533,33.720058,0.158393,33.063859,0.65619887,33.055652,0.66440561
sn2002ha,0.013652,34.091038,0.157774,33.083068,1.0079696,33.07479,1.0162475
sn2001bt,0.014151,33.956815,0.157186,33.161854,0.79496125,33.153278,0.80353748
sn1997e,0.014256,34.107223,0.1564,33.178082,0.92914079,33.169443,0.93777976
sn1992al,0.014411,34.087975,0.156643,33.201822,0.88615306,33.19309,0.8948846
sn1999dk,0.01444,33.987297,0.157099,33.206236,0.7810617,33.197487,0.78981056
sn2005bo,0.014467,34.138903,0.154784,33.210337,0.92856605,33.201572,0.93733103
sn2001fe,0.014575,34.270406,0.155333,33.226667,1.043739,33.217838,1.0525685
sn2006n,0.0147,34.33758,0.155008,33.245419,1.092161,33.236515,1.1010651
sn2005kc,0.01496,34.231351,0.153548,33.283923,0.9474284,33.274864,0.95648763
sn2005el,0.015154,34.357711,0.153758,33.312224,1.0454868,33.303049,1.0546617
sn2004eo,0.015469,34.072352,0.153515,33.357423,0.71492921,33.34806,0.72429193
sn2001en,0.015482,34.246778,0.154168,33.359269,0.88750986,33.349898,0.89688033
sn2001cn,0.015487,34.107353,0.153742,33.359978,0.74737476,33.350605,0.7567482
sn2001bf,0.015504,34.190252,0.153374,33.362389,0.82786361,33.353005,0.83724719
sn2001cz,0.015554,34.244148,0.153417,33.369463,0.8746847,33.36005,0.88409807
sn1999aa,0.015573,34.45074,0.153276,33.372146,1.0785941,33.362721,1.0880187
sn1994s,0.015664,34.311808,0.154751,33.384949,0.92685898,33.37547,0.93633788
sn2004ey,0.015678,34.409554,0.151905,33.386912,1.0226421,33.377425,1.0321293
sn2001v,0.015791,34.104592,0.152742,33.402695,0.70189666,33.39314,0.71145121
sn2006td,0.015999,34.554597,0.153171,33.431457,1.1231404,33.421778,1.1328188
sn1996bv,0.016966,34.25655,0.153258,33.560495,0.69605561,33.550241,0.70630912
sn2006ax,0.017387,34.645289,0.148936,33.614419,1.0308702,33.603915,1.0413737
sn1998v,0.01745,34.396806,0.150702,33.622377,0.77442834,33.611836,0.78496928
sn2000dk,0.017483,34.451815,0.150122,33.626535,0.8252807,33.615974,0.83584123
sn1998ef,0.017672,34.225012,0.150611,33.650197,0.57481523,33.639524,0.58548791
sn2007ci,0.018599,34.728819,0.149282,33.762751,0.96606809,33.751529,0.97729027
sn1992bo,0.018902,34.934901,0.149087,33.798343,1.136558,33.786942,1.1479595
sn2002kf,0.019581,34.993089,0.147459,33.876101,1.1169874,33.864298,1.1287905
sn2006ej,0.02039,34.999875,0.147727,33.965349,1.0345263,33.953068,1.0468072
sn2005ki,0.020396,34.947831,0.145393,33.965998,0.98183333,33.953714,0.99411781
sn1992bc,0.020792,34.860895,0.14683,34.008408,0.85248771,33.99589,0.86500576
sn2003w,0.020997,34.869301,0.145587,34.030051,0.83925044,34.017412,0.85188935
sn2002jy,0.021541,35.292985,0.145405,34.086491,1.2064945,34.073531,1.2194539
sn2007bc,0.021706,35.074451,0.146331,34.103332,0.9711189,34.090276,0.98417537
sn2006bq,0.021956,35.14196,0.145024,34.128611,1.0133489,34.115407,1.0265525
sn2008bf,0.022068,35.197767,0.144685,34.139844,1.057923,34.126575,1.0711924
sn1995ak,0.022399,34.937705,0.149213,34.172717,0.76498771,34.159253,0.77845175
sn2006et,0.022466,35.024709,0.145994,34.179313,0.84539542,34.16581,0.85889884
sn2006mp,0.022629,35.41183,0.145184,34.195279,1.2165502,34.18168,1.2301494
sn2006ar,0.02298,35.353004,0.145076,34.22928,1.1237238,34.215475,1.1375291
sn2006cp,0.023321,35.074581,0.144025,34.261826,0.81275481,34.247821,0.82676023
sn2000ca,0.02336,35.249377,0.144317,34.265519,0.98385776,34.251491,0.99788606
sn2006ac,0.023471,35.263038,0.143695,34.275995,0.98704334,34.261902,1.0011367
sn2000cn,0.023552,35.232154,0.144309,34.283609,0.94854489,34.269468,0.96268579
sn2007f,0.02381,35.453902,0.144315,34.307691,1.1462114,34.293399,1.1605035
sn2007qe,0.023867,35.312976,0.14435,34.312977,0.99999934,34.298651,1.0143249
sn1993h,0.023909,35.350353,0.145547,34.316864,1.0334892,34.302513,1.0478394
sn2006sr,0.024159,35.27495,0.14338,34.339862,0.93508798,34.325365,0.94958459
sn2005bg,0.024586,35.322909,0.142334,34.378607,0.94430192,34.363861,0.95904849
sn2002he,0.024725,35.445406,0.145176,34.391077,1.054329,34.376249,1.0691569
sn2002bf,0.024746,35.070075,0.147523,34.392955,0.67711943,34.378115,0.69195961
sn1994m,0.024951,35.222116,0.145319,34.411206,0.81090941,34.396246,0.82586948
sn1992ag,0.025198,35.242843,0.148276,34.433002,0.80984162,34.417897,0.82494608
sn2007cq,0.025468,35.194232,0.143429,34.456588,0.73764377,34.441326,0.75290598
sn2005ms,0.026567,35.627234,0.142099,34.550126,1.077108,34.534222,1.0930114
sn1999gp,0.026677,35.602201,0.142999,34.559278,1.0429231,34.54331,1.0588907
sn2005na,0.026881,35.524407,0.141195,34.576154,0.94825316,34.560067,0.96433955
sn2007co,0.027064,35.45832,0.141685,34.591186,0.86713471,34.574993,0.88332768
sn2004gs,0.027499,35.806141,0.140928,34.626521,1.1796197,34.610075,1.1960658
sn1992p,0.027637,35.761539,0.144083,34.637616,1.1239223,34.62109,1.1404487
sn1998ab,0.027688,35.240115,0.143171,34.641703,0.59841158,34.625147,0.61496763
sn2002de,0.027748,35.731784,0.141846,34.646502,1.0852822,34.629911,1.1018731
sn2003u,0.028561,35.591369,0.14269,34.710537,0.88083159,34.693474,0.89789486
sn2005eq,0.029086,35.858819,0.141059,34.750946,1.1078729,34.733578,1.1252408
sn2006qo,0.029526,35.686443,0.142005,34.784266,0.90217642,34.766643,0.91979932
sn1990o,0.030325,35.747254,0.143169,34.843548,0.90370575,34.825462,0.92179119
sn2001ba,0.030381,35.918942,0.142175,34.847645,1.0712966,34.829527,1.0894144
sn2003ch,0.030416,35.941299,0.140939,34.850202,1.0910969,34.832064,1.1092349
sn1997dg,0.030482,36.197901,0.1417,34.855017,1.3428847,34.83684,1.3610609
sn1996c,0.030721,35.839872,0.142617,34.872365,0.96750716,34.85405,0.98582157
sn2006bt,0.031484,36.053917,0.140272,34.926877,1.1270398,34.908122,1.1457948
sn2006az,0.031485,35.938196,0.140346,34.926948,1.0112476,34.908192,1.0300032
sn2007bd,0.031638,35.835702,0.14121,34.937723,0.89797852,34.918879,0.91682245
sn1999cc,0.031764,35.884859,0.140686,34.946559,0.93830094,34.927642,0.95721755
sn2004as,0.032538,36.129874,0.14043,35.000093,1.1297816,34.98073,1.1491443
sn2004l,0.033173,35.996675,0.143111,35.043092,0.953583,35.023364,0.97331112
sn2006s,0.033255,36.21217,0.139885,35.048586,1.1635844,35.02881,1.1833597
sn2006gr,0.033614,36.162256,0.139809,35.072483,1.0897724,35.052502,1.109754
sn2005iq,0.034074,36.263162,0.138969,35.102742,1.1604193,35.082497,1.1806652
sn2005eu,0.034781,36.150741,0.141596,35.148481,1.0022607,35.127829,1.0229122
sn1996bl,0.034854,35.992803,0.141007,35.153151,0.8396519,35.132458,0.86034518
sn2003iv,0.034971,36.260244,0.140126,35.160618,1.0996268,35.139857,1.1203871
sn1992bg,0.035218,36.134253,0.14465,35.1763,0.95795308,35.155398,0.97885493
sn2002hd,0.035755,35.942565,0.142258,35.210028,0.73253704,35.188818,0.7537463
SDSS17784,0.03652,36.331548,0.115396,35.257232,1.0743166,35.235585,1.0959633
sn2000cf,0.036934,36.375857,0.140956,35.282377,1.09348,35.260494,1.115363
sn2006nz,0.03695,36.320147,0.114021,35.283343,1.0368034,35.261451,1.0586956
sn2006mo,0.036969,36.387901,0.141722,35.28449,1.1034107,35.262587,1.1253137
sn2001eh,0.037075,36.277857,0.139296,35.290878,0.98697902,35.268915,1.0089425
sn2002hu,0.038086,36.296658,0.138952,35.350927,0.94573064,35.328387,0.96827047
sn1999aw,0.039083,36.509804,0.139901,35.408643,1.101161,35.385536,1.124268
sn2003fa,0.039219,36.406044,0.138984,35.416404,0.98964015,35.39322,1.0128244
sn2001az,0.040259,36.605765,0.142119,35.474906,1.1308588,35.451131,1.1546334
sn2005lz,0.040689,36.527676,0.139014,35.498665,1.0290106,35.474647,1.0530289
