Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_USMFv2,residual_USMFv2
1998dh,0.00769,32.7164,0.317031,32.524656,0.19174404,32.589348,0.12705236
ASASSN-15so,0.00773,32.7527,0.26758,32.535985,0.21671535,32.600656,0.15204355
2013gh,0.00775,32.6922,0.484865,32.541627,0.15057285,32.606289,0.085910988
2013gh,0.00775,32.521,0.465611,32.541627,-0.020627151,32.606289,-0.085289012
1995D,0.0078,32.484,0.342662,32.55567,-0.071670289,32.620307,-0.13630731
2012hr,0.00788,32.7092,0.367554,32.577954,0.13124583,32.642551,0.066648543
2001bg,0.00796,32.6928,0.359218,32.600014,0.092785788,32.664572,0.028228229
2009ig,0.00801,32.6707,0.286975,32.61369,0.057009934,32.678223,-0.0075227982
1997br,0.00801,31.7321,0.531169,32.61369,-0.88159007,32.678223,-0.9461228
2009ig,0.00801,32.7434,0.280148,32.61369,0.12970993,32.678223,0.065177202
2009ig,0.00801,32.3711,0.371926,32.61369,-0.24259007,32.678223,-0.3071228
1996X,0.00812,31.9733,0.415464,32.643481,-0.67018056,32.707959,-0.73465868
PSNJ0717457,0.00812,32.7223,0.383433,32.643481,0.078819444,32.707959,0.014341319
2019ein,0.00837,32.8616,0.327035,32.709721,0.1518794,32.774075,0.087525329
2005am,0.00841,32.335,0.337879,32.720136,-0.38513614,32.78447,-0.44947037
2005am,0.00841,32.3945,0.331296,32.720136,-0.32563614,32.78447,-0.38997037
2005am,0.00841,32.3744,0.338325,32.720136,-0.34573614,32.78447,-0.41007037
2002er,0.00853,32.799,0.368859,32.75109,0.047910159,32.815365,-0.016364557
2002er,0.00853,32.7498,0.409525,32.75109,-0.0012898409,32.815365,-0.065564557
2005W,0.00861,32.852,0.318032,32.771486,0.080513893,32.835721,0.016278843
1996Z,0.00867,32.4455,0.490787,32.78666,-0.34116008,32.850865,-0.40536538
PTF10icb,0.009,33.4753,0.372879,32.868295,0.60700471,32.932337,0.54296293
2009an,0.00921,33.2253,0.299086,32.91871,0.30658951,32.982648,0.24265172
2009an,0.00921,33.3378,0.306294,32.91871,0.41908951,32.982648,0.35515172
1997bp,0.00931,32.4198,0.425219,32.942318,-0.52251765,33.006206,-0.58640595
1998es,0.00957,32.9165,0.372831,33.002537,-0.086036797,33.066296,-0.14979645
1998es,0.00957,32.8029,0.35789,33.002537,-0.1996368,33.066296,-0.26339645
2021hpr,0.00958,33.0869,0.343916,33.00482,0.082079663,33.068575,0.018324958
2006D,0.00966,32.8914,0.286425,33.023004,-0.13160388,33.086719,-0.19531902
2006D,0.00966,32.9159,0.285505,33.023004,-0.10710388,33.086719,-0.17081902
2006D,0.00966,32.8973,0.282867,33.023004,-0.12570388,33.086719,-0.18941902
1999ac,0.00979,32.9674,0.341878,33.052236,-0.08483555,33.115886,-0.14848641
1999ac,0.00979,32.9182,0.365223,33.052236,-0.13403555,33.115886,-0.19768641
2004S,0.0098,33.1236,0.317227,33.054468,0.069131852,33.118114,0.0054859354
1997bq,0.00993,33.0683,0.324016,33.083288,-0.014987807,33.146869,-0.078569467
2008fv_comb,0.00993,33.1809,0.377969,33.083288,0.097612193,33.146869,0.034030533
2002cr,0.00998,33.2469,0.254885,33.094273,0.15262736,33.15783,0.089070406
1999cp,0.00998,33.0399,0.268981,33.094273,-0.054372643,33.15783,-0.11792959
1999cp,0.00998,33.2135,0.253629,33.094273,0.11922736,33.15783,0.055670406
2002cr,0.00998,33.2309,0.251906,33.094273,0.13662736,33.15783,0.073070406
2013cs,0.01029,32.3353,0.401367,33.161183,-0.82588258,33.224586,-0.8892864
ASASSN-16jf,0.0104,33.5709,0.314858,33.184445,0.38645528,33.247794,0.32310577
2006bh,0.01042,33.2788,0.247952,33.188648,0.090152059,33.251988,0.026812417
2013E,0.01042,32.7794,0.348547,33.188648,-0.40924794,33.251988,-0.47258758
1997do,0.01048,33.1081,0.364668,33.20121,-0.093109734,33.26452,-0.15641976
2002dp,0.01049,33.2931,0.27457,33.203296,0.089803577,33.266602,0.026498486
2002dp,0.01049,33.3806,0.309009,33.203296,0.17730358,33.266602,0.11399849
2009Y,0.0105,32.7458,0.360296,33.205381,-0.45958114,33.268681,-0.52288129
2009Y,0.0105,32.9015,0.334006,33.205381,-0.30388114,33.268681,-0.36718129
2009Y,0.0105,32.6457,0.409088,33.205381,-0.55968114,33.268681,-0.62298129
2002dj,0.01051,32.901,0.309548,33.207464,-0.30646388,33.270759,-0.3697591
2002dj,0.01051,32.8654,0.334488,33.207464,-0.34206388,33.270759,-0.4053591
2010ko,0.01096,33.8347,0.353909,33.299208,0.53549243,33.362281,0.47241917
2013ex,0.01096,33.4947,0.325172,33.299208,0.19549243,33.362281,0.13241917
2013ex,0.01096,33.4336,0.283424,33.299208,0.13439243,33.362281,0.071319173
2010Y,0.01142,33.7403,0.254135,33.389205,0.35109504,33.452052,0.28824843
2011ao,0.01168,33.4974,0.301502,33.438495,0.058904819,33.501214,-0.0038137998
2009ab,0.01189,33.5833,0.281169,33.477518,0.10578153,33.540134,0.043166232
2002ha,0.0122,33.708,0.24076,33.533893,0.17410732,33.596356,0.11164444
2002ha,0.0122,33.7246,0.250097,33.533893,0.19070732,33.596356,0.12824444
AT2017cfd,0.01222,33.5752,0.292564,33.537481,0.0377192,33.599934,-0.024733842
2017cfd,0.01222,33.5673,0.284786,33.537481,0.0298192,33.599934,-0.032633842
iPTF13ebh,0.01238,33.7337,0.342487,33.565978,0.16772213,33.628352,0.10534771
iPTF13ebh,0.01238,33.6369,0.29522,33.565978,0.070922126,33.628352,0.0085477063
2009kk,0.01244,33.7023,0.266666,33.57657,0.12572976,33.638915,0.063384815
2009kq,0.01247,33.5178,0.26619,33.581847,-0.064047449,33.644178,-0.12637766
2009kq,0.01247,33.5874,0.26006,33.581847,0.0055525512,33.644178,-0.056777656
2008R,0.0126,33.8286,0.265115,33.604571,0.22402914,33.666837,0.16176278
2001cz,0.01275,33.8783,0.346381,33.630503,0.24779681,33.692696,0.18560409
2007hj,0.01288,33.9846,0.299399,33.652734,0.33186556,33.714863,0.26973664
2007hj,0.01288,33.9682,0.303693,33.652734,0.31546556,33.714863,0.25333664
2007hj,0.01288,33.9247,0.304606,33.652734,0.27196556,33.714863,0.20983664
2001ep,0.01306,33.6365,0.287379,33.683152,-0.046651836,33.745192,-0.10869245
2001ep,0.01306,33.5028,0.331124,33.683152,-0.18035184,33.745192,-0.24239245
2013gy,0.01309,33.7355,0.239783,33.688181,0.047319019,33.750207,-0.014706877
2013gy,0.01309,33.7607,0.28722,33.688181,0.072519019,33.750207,0.010493123
1997E,0.01314,33.7649,0.288791,33.696538,0.068362437,33.758539,0.0063610622
1999dq,0.01334,33.52,0.273536,33.729652,-0.20965178,33.791555,-0.2715551
1999dq,0.01334,33.4717,0.261601,33.729652,-0.25795178,33.791555,-0.3198551
2008hv,0.0136,33.797,0.277855,33.771972,0.025027504,33.833748,-0.036748412
2008hv,0.0136,33.772,0.235755,33.771972,2.7504326e-05,33.833748,-0.061748412
2008hv,0.0136,33.7683,0.232778,33.771972,-0.0036724957,33.833748,-0.065448412
2007cv,0.01361,33.6741,0.345367,33.773584,-0.099484166,33.835355,-0.16125518
2005kc,0.01386,34.0249,0.352338,33.813499,0.21140074,33.875148,0.14975214
2005kc,0.01386,34.0187,0.307194,33.813499,0.20520074,33.875148,0.14355214
1999dk,0.014,33.8053,0.288803,33.835541,-0.030241384,33.897121,-0.091821453
1999dk,0.014,33.6651,0.296207,33.835541,-0.17044138,33.897121,-0.23202145
2011df,0.01402,33.8524,0.277558,33.838672,0.013727574,33.900243,-0.047842707
ASASSN-16dn,0.01406,33.8206,0.250873,33.844921,-0.024321264,33.906472,-0.085871971
2001bt,0.01407,33.7492,0.416658,33.846481,-0.097280722,33.908027,-0.15882654
2006N,0.01416,33.9078,0.240515,33.860467,0.047333335,33.921968,-0.014168448
2004eo,0.0142,33.8826,0.249316,33.866654,0.015945591,33.928137,-0.045536625
2003gt,0.01422,33.9253,0.243928,33.869742,0.055558188,33.931214,-0.0059142447
ASASSN-16la,0.01424,33.8444,0.265489,33.872825,-0.028424918,33.934288,-0.089887569
2013fa,0.01429,33.7894,0.397352,33.880514,-0.091113966,33.941952,-0.15255216
1992al,0.01434,33.6968,0.233531,33.888176,-0.19137642,33.94959,-0.25279017
2001fe,0.01448,33.8916,0.240694,33.909491,-0.017891408,33.970837,-0.079236709
PSNJ2043531,0.01449,34.1902,0.372674,33.911006,0.27919391,33.972347,0.2178535
2013gq,0.01457,33.7526,0.2163,33.923086,-0.17048643,33.984388,-0.23178774
2000dm,0.01472,34.0109,0.270222,33.945561,0.065338863,34.006789,0.0041108437
2005el,0.01483,33.974,0.229564,33.961899,0.012101021,34.023073,-0.049073266
2005el,0.01483,33.9261,0.231708,33.961899,-0.035798979,34.023073,-0.096973266
2011im,0.01493,34.2732,0.34036,33.976648,0.29655219,34.037773,0.23542673
2005de,0.01495,34.1793,0.26677,33.979586,0.19971415,34.040702,0.13859847
2005bo,0.01503,33.7553,0.390506,33.991299,-0.23599921,34.052376,-0.29707584
2005bo,0.01503,33.7189,0.39282,33.991299,-0.27239921,34.052376,-0.33347584
2006td,0.01504,34.1727,0.365029,33.992759,0.17994096,34.053831,0.11886921
2008ec,0.01506,34.1302,0.33431,33.995676,0.13452418,34.056738,0.073462196
2008ec,0.01506,34.1732,0.264363,33.995676,0.17752418,34.056738,0.1164622
2007ca,0.01509,34.3366,0.370715,34.000044,0.33655619,34.061091,0.27550885
2007ca,0.01509,34.1781,0.396908,34.000044,0.17805619,34.061091,0.11700885
2001cn,0.01509,33.8877,0.294985,34.000044,-0.11234381,34.061091,-0.17339115
2007ca,0.01509,34.252,0.397235,34.000044,0.25195619,34.061091,0.19090885
ATLAS16cxr,0.01518,34.3426,0.372888,34.013096,0.32950359,34.0741,0.26850017
ASASSN-16ad,0.01522,34.0334,0.344305,34.018873,0.014526994,34.079857,-0.046456905
2009nq,0.01527,34.1657,0.28688,34.026073,0.13962734,34.087032,0.078667835
SN2017jl,0.01529,33.7706,0.30219,34.028946,-0.25834599,34.089896,-0.31929574
1999ej,0.01534,34.2581,0.272528,34.036113,0.22198691,34.097038,0.16106156
1999ej,0.01534,34.2112,0.258071,34.036113,0.17508691,34.097038,0.11416156
2001en,0.01534,33.9994,0.28632,34.036113,-0.03671309,34.097038,-0.097638444
2001en,0.01534,33.8852,0.313932,34.036113,-0.15091309,34.097038,-0.21183844
2002cs,0.01538,34.0329,0.272511,34.04183,-0.0089301439,34.102736,-0.069835987
2008eo,0.01539,34.3317,0.278713,34.043257,0.28844289,34.104158,0.22754193
2001bf,0.01556,33.9004,0.218994,34.067376,-0.16697617,34.128194,-0.22779424
2001bf,0.01556,33.9926,0.239289,34.067376,-0.07477617,34.128194,-0.13559424
iPTF16auf,0.01566,34.0744,0.314862,34.081442,-0.0070423723,34.142212,-0.06781169
2013fw,0.0157,34.1608,0.218117,34.087044,0.07375601,34.147794,0.013006188
2008bc,0.01572,34.0331,0.226465,34.08984,-0.056739507,34.15058,-0.11747958
1999aa,0.01579,34.1323,0.209471,34.099596,0.032703812,34.160302,-0.028002151
