ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_USMFv2_tt,residual_USMFv2_tt,Dl_USMFv2_te,residual_USMFv2_te,Dl_USMFv2_ee,residual_USMFv2_ee
32,1097.01,1.51224,0.0643557,732.709,364.302,1.11448,0.39776,0.0145884,0.0497673,1269.16,-172.145,4.21865,-2.70642,0.0454369,0.0189189
37,1180.26,3.11711,0.0649424,797.718,382.546,1.08276,2.03434,0.0239889,0.0409535,1301.39,-121.128,4.69725,-1.58015,0.0740342,-0.00909185
42,1426.97,0.820244,0.0699042,867.033,559.939,0.898261,-0.0780169,0.0368202,0.0330839,1330.39,96.5803,4.91579,-4.09555,0.114113,-0.0442085
47,1364.66,1.07013,0.141281,939.7,424.959,0.552728,0.517401,0.0533819,0.0878986,1356.42,8.23473,4.88697,-3.81684,0.166796,-0.0255159
52,1329.06,1.08312,0.146964,1015.89,313.175,0.0115629,1.07155,0.0740454,0.0729186,1379.82,-50.7604,4.53681,-3.45369,0.232136,-0.0851717
57,1607.2,-3.82399,0.193005,1094.96,512.238,-0.71515,-3.10884,0.0989294,0.0940751,1401.14,206.06,3.81388,-7.63787,0.310602,-0.117597
62,1663.41,-4.29778,0.296409,1177.77,485.642,-1.65572,-2.64206,0.128039,0.168369,1422.4,241.017,2.67039,-6.96817,0.401466,-0.105057
67,1838.4,-2.04066,0.331388,1263.91,574.494,-2.79435,0.753684,0.16122,0.170168,1443.94,394.466,1.13431,-3.17497,0.504388,-0.173
72,1974.24,-8.54866,0.356963,1353.1,621.145,-4.12433,-4.42433,0.19816,0.158803,1466.3,507.942,-0.767534,-7.78113,0.618262,-0.261299
77,1765.67,-7.23417,0.448396,1446.85,318.814,-5.65176,-1.58241,0.238477,0.209918,1491.75,273.916,-3.03297,-4.20119,0.74095,-0.292554
82,2168.04,-9.89267,0.522364,1543.83,624.21,-7.34175,-2.55092,0.281506,0.240857,1519.73,648.307,-5.65688,-4.23579,0.870895,-0.348531
87,2330.99,-12.7208,0.489592,1644.42,686.575,-9.1767,-3.54412,0.326573,0.163019,1552.1,778.897,-8.59817,-4.12265,1.00558,-0.51599
92,2446.65,-19.2047,0.789127,1748.04,698.61,-11.1278,-8.07693,0.372886,0.416241,1588.1,858.546,-11.7783,-7.4264,1.14163,-0.352503
97,2484.46,-19.0476,0.57472,1854.71,629.743,-13.1656,-5.88198,0.419528,0.155192,1628.58,855.874,-15.1502,-3.8974,1.2764,-0.701681
104,2951.15,-28.1287,0.830793,2009.92,941.23,-16.1132,-12.0155,0.483519,0.347274,1693.49,1257.67,-20.0792,-8.04948,1.45691,-0.626113
113,3221.96,-31.7919,0.924375,2218.49,1003.47,-19.9164,-11.8755,0.559691,0.364683,1789.74,1432.22,-26.4884,-5.30359,1.66216,-0.737787
122,3382.73,-35.701,1.11192,2434.62,948.106,-23.5074,-12.1935,0.623758,0.488159,1897.9,1484.82,-32.5808,-3.12015,1.82165,-0.709733
131,3592.1,-41.5613,1.10666,2654.92,937.181,-26.6402,-14.9211,0.670659,0.435998,2015.3,1576.8,-37.946,-3.61528,1.92155,-0.814891
140,4229.84,-43.6625,1.09668,2875.79,1354.05,-29.0821,-14.5805,0.697113,0.39957,2138.11,2091.73,-42.1975,-1.46504,1.95209,-0.855407
149,4251.39,-45.0365,1.00578,3094.83,1156.56,-30.622,-14.4146,0.700947,0.304834,2260.83,1990.56,-44.9954,-0.0410919,1.91052,-0.904743
