name,redshift,observable_type,value,error,pred_lcdm,chi2_contrib_lcdm,pred_LambdaCDM,chi2_contrib_LambdaCDM
BOSS DR12 z=0.38 (DM/rs),0.38,DM_over_rs,10.2341,0.169131,9.97176,2.40534,9.97176,2.40534
BOSS DR12 z=0.38 (DH/rs),0.38,DH_over_rs,24.9806,0.728504,23.1299,6.45334,23.1299,6.45334
BOSS DR12 z=0.38 (DV/rs),0.38,DV_over_rs,9.98071,0.113804,9.56094,13.6056,9.56094,13.6056
BOSS DR12 z=0.51 (DM/rs),0.51,DM_over_rs,13.3659,0.203655,12.8507,6.39994,12.8507,6.39994
BOSS DR12 z=0.51 (DH/rs),0.51,DH_over_rs,22.3166,0.571716,21.189,3.88993,21.189,3.88993
BOSS DR12 z=0.51 (DV/rs),0.51,DV_over_rs,12.6687,0.128874,12.1296,17.5005,12.1296,17.5005
BOSS DR12 z=0.61 (DM/rs),0.61,DM_over_rs,15.6089,0.250931,14.8998,7.98451,14.8998,7.98451
BOSS DR12 z=0.61 (DH/rs),0.61,DH_over_rs,20.4986,0.518214,19.8096,1.76762,19.8096,1.76762
BOSS DR12 z=0.61 (DV/rs),0.61,DV_over_rs,14.4966,0.150063,13.8949,16.0758,13.8949,16.0758
