Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_USMFv2,residual_USMFv2
05D4av,0.507371,42.462488,0.089015,42.396074,0.066413808,42.460252,0.0022354381
05D2dy,0.511746,42.744054,0.088554,42.417655,0.32639982,42.481828,0.26222664
04D1pg,0.513793,42.691363,0.090087,42.427692,0.26367153,42.491865,0.1994988
04D4in,0.514353,42.612349,0.088897,42.430431,0.18191802,42.494604,0.1177452
04D2mj,0.514746,42.809579,0.090306,42.432352,0.37722704,42.496525,0.31305409
05D3ci,0.515587,42.70065,0.106833,42.436457,0.26419226,42.500631,0.20001889
06D3el,0.519611,42.720224,0.088502,42.456014,0.2642107,42.520192,0.20003242
04D2gc,0.522762,42.731549,0.089115,42.471227,0.26032175,42.535412,0.19613628
06D2ca,0.532765,42.641076,0.08987,42.518952,0.12212424,42.583179,0.057896826
06D2cc,0.533766,42.42434,0.09473,42.52368,-0.099340853,42.587914,-0.16357404
05D4ek,0.534335,42.415314,0.090128,42.526365,-0.11105052,42.590601,-0.17528712
05D4be,0.535327,42.74951,0.08873,42.531038,0.21847171,42.595281,0.15422894
05D2eb,0.535771,42.587186,0.091256,42.533127,0.054058624,42.597373,-0.010186996
04D4bq,0.548325,42.413991,0.09145,42.591521,-0.1775296,42.65587,-0.24187862
06D4bo,0.550315,42.759037,0.089299,42.60066,0.15837688,42.66503,0.094007482
04D3hn,0.552605,42.479884,0.089654,42.611138,-0.13125385,42.675532,-0.19564804
06D2ck,0.553797,42.811558,0.091857,42.616576,0.19498145,42.680984,0.1305738
05D1ee,0.557743,42.737495,0.090291,42.634498,0.10299721,42.698953,0.038542263
05D1kl,0.558743,43.128545,0.092898,42.639021,0.48952419,42.703488,0.4250566
04D1hx,0.558746,42.693684,0.089573,42.639034,0.054649673,42.703502,-0.0098179537
05D1cc,0.562751,42.813991,0.090329,42.65707,0.15692075,42.721591,0.092399812
05D1dn,0.564741,42.823122,0.089709,42.665986,0.15713595,42.730535,0.092586959
05D2dt,0.575823,42.872458,0.091807,42.715098,0.15736042,42.779822,0.092636372
06D3et,0.576612,42.799922,0.090075,42.71856,0.081361755,42.783298,0.016624042
03D4gf,0.578292,42.807454,0.090072,42.725917,0.081537497,42.790684,0.016770164
05D1dx,0.578745,42.810439,0.089343,42.727897,0.082542409,42.792672,0.017766968
05D3jq,0.5796,42.797521,0.08931,42.73163,0.065890278,42.796421,0.0010993906
05D3gp,0.580604,42.943721,0.09835,42.736008,0.20771378,42.800817,0.14290452
03D1aw,0.580724,43.088081,0.090132,42.73653,0.35155069,42.801342,0.28673922
04D1jg,0.582932,42.934684,0.09012,42.74613,0.18855394,42.810983,0.12370111
05D4ej,0.58329,43.123741,0.090793,42.747683,0.37605862,42.812542,0.31119897
04D1sa,0.583743,43.008154,0.091595,42.749647,0.25850753,42.814515,0.19363921
04D1kj,0.583743,42.860907,0.089495,42.749647,0.11125987,42.814515,0.046391547
05D1hm,0.585743,43.082844,0.092677,42.7583,0.32454394,42.823208,0.2596367
05D4bf,0.587285,42.943391,0.091452,42.764953,0.17843741,42.829891,0.11349949
04D1oh,0.588721,42.900723,0.091211,42.771134,0.12958913,42.836101,0.064622114
03D4gg,0.59028,42.835173,0.092935,42.777827,0.057345443,42.842826,-0.0076537371
04D2mh,0.591835,42.837698,0.090444,42.784487,0.053211159,42.849518,-0.011820692
05D3lr,0.600603,42.842236,0.094433,42.821726,0.020509722,42.886953,-0.044717298
05D4ef,0.603272,43.116099,0.092267,42.832959,0.28313999,42.898249,0.21784992
03D4dy,0.608261,43.009642,0.090819,42.853829,0.15581306,42.919241,0.090400611
05D2he,0.60986,43.048769,0.091831,42.860483,0.18828611,42.925936,0.12283321
04D3do,0.610643,43.111763,0.090588,42.863735,0.24802736,42.929208,0.18255443
03D1dt,0.610712,42.716945,0.092877,42.864022,-0.14707629,42.929496,-0.21255099
04D4an,0.611252,43.201955,0.095195,42.866262,0.33569289,42.931751,0.27020428
05D1ck,0.615698,43.019718,0.092238,42.884637,0.13508143,42.950242,0.069475817
04D3co,0.620632,43.076127,0.093091,42.90488,0.17124763,42.97062,0.10550687
04D2an,0.621874,42.974793,0.092366,42.909951,0.064842346,42.975727,-0.00093329614
03D4dh,0.625233,42.977855,0.091453,42.923618,0.054237449,42.98949,-0.011634273
04D4fx,0.627239,43.051558,0.092195,42.931746,0.11981164,42.997677,0.053881335
05D1cb,0.630699,42.961949,0.091576,42.945708,0.016241358,43.011741,-0.049792073
05D2ci,0.631882,42.532295,0.097524,42.950465,-0.41816929,43.016534,-0.48423859
03D4at,0.632234,43.225022,0.093125,42.951878,0.27314362,43.017958,0.20706359
04D1pu,0.637701,42.755686,0.100758,42.973739,-0.21805262,43.039989,-0.28430277
05D4ag,0.638234,42.957682,0.097915,42.97586,-0.018178184,43.042127,-0.084445263
05D2ec,0.641893,43.269082,0.093291,42.990379,0.27870303,43.056764,0.21231807
05D3ax,0.643642,43.193279,0.098759,42.997291,0.19598766,43.063734,0.12954534
04D3cy,0.643646,43.143119,0.094148,42.997307,0.14581213,43.06375,0.079369686
05D3lb,0.647639,43.140557,0.09193,43.01302,0.12753672,43.079596,0.060960907
05D3kt,0.64864,43.03661,0.092708,43.016944,0.019665199,43.083554,-0.046944578
04D1sk,0.662058,43.174229,0.093186,43.068995,0.10523315,43.13608,0.038148139
05D3hs,0.664638,43.433737,0.094448,43.078887,0.35484947,43.146068,0.28766888
05D3mh,0.670654,43.276258,0.095777,43.10181,0.17444742,43.169219,0.10703879
03D1co,0.677662,43.586828,0.098356,43.128265,0.45856261,43.195948,0.39087936
05D2bt,0.681942,43.342325,0.094158,43.144293,0.198032,43.212148,0.13017633
06D3cc,0.683659,43.452756,0.115261,43.150695,0.30206139,43.218621,0.23413557
04D4ic,0.685179,43.331213,0.0983,43.15635,0.17486262,43.224338,0.10687424
05D1ke,0.688656,43.269693,0.092298,43.16924,0.10045245,43.237374,0.032319292
06D3em,0.690652,43.108129,0.095502,43.176612,-0.068483135,43.244829,-0.13670043
03D4cz,0.693165,43.3232,0.100242,43.185864,0.13733673,43.254188,0.069012448
04D4ib,0.697164,43.452946,0.093324,43.20052,0.25242588,43.269017,0.18392893
06D4ba,0.698167,43.428885,0.101565,43.204183,0.22470178,43.272724,0.15616107
05D4bj,0.699166,43.245392,0.094894,43.207826,0.037565875,43.276411,-0.031018615
05D4cq,0.699169,43.507746,0.094016,43.207837,0.29990824,43.276422,0.23132362
05D2ck,0.69996,43.368489,0.097048,43.210719,0.15777048,43.279338,0.089151071
04D1si,0.700631,43.212814,0.094362,43.213161,-0.00034610954,43.28181,-0.068995125
04D4hu,0.701158,43.557341,0.094504,43.215077,0.34226412,43.283749,0.27359179
04D2iu,0.701965,43.13382,0.100028,43.218008,-0.08418821,43.286716,-0.15289632
05D2le,0.701969,43.370141,0.095463,43.218023,0.15211845,43.286731,0.083410159
05D3gv,0.715652,43.378809,0.096706,43.267239,0.11156952,43.336572,0.042236671
05D3jh,0.71868,43.364753,0.094949,43.278008,0.08674498,43.347483,0.017269456
04D1aj,0.719626,43.35756,0.095665,43.281363,0.076196587,43.350884,0.0066761637
05D4ev,0.72014,43.466283,0.098164,43.283184,0.18309889,43.352729,0.113554
06D3gh,0.72068,43.466467,0.098773,43.285096,0.18137065,43.354667,0.11180002
06D3do,0.726679,43.506687,0.094974,43.306245,0.2004417,43.376105,0.13058168
06D3bz,0.727675,43.466346,0.099419,43.30974,0.15660587,43.379649,0.086697212
06D4bw,0.730128,43.261738,0.096543,43.318328,-0.056589886,43.388357,-0.12661905
04D1pp,0.733609,43.4594,0.094433,43.330467,0.12893262,43.400669,0.058730714
04D2gp,0.733996,43.759451,0.1029,43.331813,0.42763747,43.402034,0.35741623
05D2fq,0.734996,43.652232,0.095665,43.335288,0.3169439,43.40556,0.2466726
05D1eo,0.735608,43.555448,0.096764,43.337413,0.2180356,43.407715,0.14773359
05D2ct,0.736007,43.422327,0.104933,43.338797,0.083530166,43.409119,0.013208091
05D3jk,0.73669,43.509013,0.093659,43.341165,0.16784864,43.411521,0.097492161
04D2ja,0.742008,44.069947,0.103483,43.359528,0.71041881,43.430155,0.63979186
04D3fq,0.742697,43.462284,0.097111,43.361898,0.10038596,43.432561,0.029723631
05D3jb,0.745665,43.546632,0.094967,43.372082,0.17454923,43.442898,0.10373361
04D2kr,0.746118,43.342278,0.095641,43.373633,-0.031355488,43.444473,-0.10219462
04D4im,0.7491,43.159259,0.096075,43.38382,-0.22456134,43.454815,-0.29555613
04D3ks,0.750681,43.289826,0.099406,43.389205,-0.099379411,43.460283,-0.1704573
04D3oe,0.756687,43.978003,0.095935,43.409562,0.56844107,43.48096,0.49704389
05D2nt,0.75903,43.659557,0.09556,43.417461,0.24209522,43.488985,0.17057196
06D3gx,0.760691,43.684445,0.101218,43.423047,0.26139852,43.49466,0.18978536
05D3mn,0.760698,43.443254,0.094664,43.42307,0.020183971,43.494684,-0.051429573
05D4cn,0.761089,43.581369,0.09585,43.424384,0.15698559,43.496018,0.085350824
05D1if,0.76158,43.541373,0.096723,43.426032,0.11534153,43.497693,0.043680075
04D1qd,0.765588,43.532152,0.09633,43.439446,0.092706254,43.511326,0.020825565
04D1de,0.76659,43.927025,0.096641,43.442789,0.48423629,43.514724,0.41230041
05D3hh,0.766684,43.677363,0.103932,43.443102,0.23426062,43.515043,0.16231955
04D4id,0.767075,44.131678,0.101187,43.444405,0.68727339,43.516368,0.61531074
