Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_LambdaCDM,residual_LambdaCDM
2011fe,0.00122,28.9987,1.51645,28.52125,0.47745042,28.52125,0.47745042
2011fe,0.00122,29.0559,1.51747,28.52125,0.53465042,28.52125,0.53465042
2012cg,0.00256,30.7233,0.782372,30.132722,0.59057754,30.132722,0.59057754
2012cg,0.00256,30.7449,0.799068,30.132722,0.61217754,30.132722,0.61217754
2013dy,0.00293,31.5611,0.530838,30.426432,1.1346679,30.426432,1.1346679
2013dy,0.00293,31.499,0.514259,30.426432,1.0725679,30.426432,1.0725679
1994DRichmond,0.00299,30.7757,0.881212,30.470543,0.30515739,30.470543,0.30515739
1981B,0.0035,30.7946,0.614535,30.813314,-0.01871387,30.813314,-0.01871387
2001el,0.00357,31.5011,0.591006,30.856423,0.6446773,30.856423,0.6446773
2021pit,0.00366,30.9999,0.566505,30.910626,0.08927416,30.910626,0.08927416
2011by,0.00369,31.7933,0.55272,30.928399,0.86490149,30.928399,0.86490149
1998aq,0.00369,31.4967,0.545492,30.928399,0.56830149,30.928399,0.56830149
2005df_ANU,0.00435,31.3779,0.479276,31.28673,0.091169846,31.28673,0.091169846
2005df,0.00435,31.3933,0.476404,31.28673,0.10656985,31.28673,0.10656985
2011B,0.00458,31.6512,0.514401,31.398965,0.25223451,31.398965,0.25223451
1980N,0.0046,31.2476,0.558603,31.408458,-0.16085805,31.408458,-0.16085805
2012fr,0.0046,31.2234,0.410577,31.408458,-0.18505805,31.408458,-0.18505805
1992A,0.0046,31.34,0.562589,31.408458,-0.06845805,31.408458,-0.06845805
2007on,0.0046,31.7635,0.574442,31.408458,0.35504195,31.408458,0.35504195
2007on,0.0046,31.6525,0.564724,31.408458,0.24404195,31.408458,0.24404195
2012fr,0.0046,31.1331,0.446882,31.408458,-0.27535805,31.408458,-0.27535805
1990N,0.00462,31.6969,0.550993,31.41791,0.27899044,31.41791,0.27899044
2012ht,0.00465,32.033,0.420403,31.432011,0.60098936,31.432011,0.60098936
2012ht,0.00465,31.9309,0.442017,31.432011,0.49888936,31.432011,0.49888936
2017cbv,0.00478,30.4013,0.578445,31.492085,-1.0907855,31.492085,-1.0907855
2017cbv,0.00478,30.5107,0.578546,31.492085,-0.9813855,31.492085,-0.9813855
2013aa,0.00478,30.5528,0.580251,31.492085,-0.9392855,31.492085,-0.9392855
2013aa,0.00478,30.4604,0.594683,31.492085,-1.0316855,31.492085,-1.0316855
2016coj,0.00489,31.9117,0.469628,31.54166,0.37004038,31.54166,0.37004038
SN2016coj,0.00489,31.8985,0.483668,31.54166,0.35684038,31.54166,0.35684038
2007gi,0.00505,31.7403,0.491367,31.611818,0.12848156,31.611818,0.12848156
2015F,0.00515,31.539,0.407028,31.654552,-0.11555155,31.654552,-0.11555155
2015F,0.00515,31.4473,0.448264,31.654552,-0.20725155,31.654552,-0.20725155
1994ae,0.0054,32.1822,0.339643,31.757869,0.42433126,31.757869,0.42433126
2014bv,0.00548,32.4001,0.482567,31.789926,0.61017425,31.789926,0.61017425
2019np,0.0055,32.4608,0.318474,31.797867,0.66293284,31.797867,0.66293284
2019np,0.0055,32.4338,0.32229,31.797867,0.63593284,31.797867,0.63593284
2006dd,0.00551,31.1857,0.452235,31.801827,-0.61612708,31.801827,-0.61612708
1981D,0.00551,30.9079,0.524992,31.801827,-0.89392708,31.801827,-0.89392708
2007le,0.00552,32.0203,0.538159,31.80578,0.21452015,31.80578,0.21452015
2007le,0.00552,32.0754,0.533991,31.80578,0.26962015,31.80578,0.26962015
2007le,0.00552,32.0843,0.537335,31.80578,0.27852015,31.80578,0.27852015
1998dm,0.00567,32.8333,0.562902,31.86423,0.96906964,31.86423,0.96906964
1995al,0.00592,32.3593,0.359446,31.958308,0.40099218,31.958308,0.40099218
2011iv,0.00594,31.2217,0.420706,31.965662,-0.74396224,31.965662,-0.74396224
2018gv,0.00596,31.9404,0.344335,31.972992,-0.032592042,31.972992,-0.032592042
