ell,Dl_obs,Dl_lcdm,residual_lcdm,Dl_LambdaCDM,residual_LambdaCDM
32,6.5272,2.58031e-08,6.5272,2.58031e-08,6.5272
37,5.27441,3.73925e-08,5.27441,3.73925e-08,5.27441
42,4.96452,5.21979e-08,4.96452,5.21979e-08,4.96452
47,3.80071,7.06588e-08,3.80071,7.06588e-08,3.80071
52,3.03002,9.33158e-08,3.03002,9.33158e-08,3.03002
57,3.05454,1.20686e-07,3.05454,1.20686e-07,3.05454
62,2.67576,1.53419e-07,2.67576,1.53419e-07,2.67576
67,2.53535,1.92133e-07,2.53535,1.92133e-07,2.53535
72,2.36007,2.37451e-07,2.36007,2.37451e-07,2.36007
77,1.84716,2.90284e-07,1.84716,2.90284e-07,1.84716
82,2.0015,3.51293e-07,2.0015,3.51293e-07,2.0015
87,1.91302,4.21259e-07,1.91302,4.21259e-07,1.91302
92,1.79672,5.00894e-07,1.79672,5.00894e-07,1.79672
97,1.64215,5.91017e-07,1.64215,5.91017e-07,1.64215
104,1.69804,7.36567e-07,1.69804,7.36567e-07,1.69804
113,1.57151,9.6021e-07,1.57151,9.6021e-07,1.57151
122,1.41639,1.22871e-06,1.41639,1.22871e-06,1.41639
131,1.30522,1.54513e-06,1.30522,1.54513e-06,1.30522
140,1.34635,1.91142e-06,1.34634,1.91142e-06,1.34634
149,1.19518,2.32883e-06,1.19518,2.32883e-06,1.19518
158,1.19519,2.79637e-06,1.19519,2.79637e-06,1.19519
167,1.085,3.31158e-06,1.085,3.31158e-06,1.085
176,1.0328,3.86915e-06,1.0328,3.86915e-06,1.0328
185,0.981275,4.46203e-06,0.98127,4.46203e-06,0.98127
194,0.920587,5.08133e-06,0.920582,5.08133e-06,0.920582
203,0.826321,5.71665e-06,0.826315,5.71665e-06,0.826315
212,0.784263,6.35502e-06,0.784256,6.35502e-06,0.784256
221,0.744895,6.98379e-06,0.744888,6.98379e-06,0.744888
230,0.672271,7.58878e-06,0.672263,7.58878e-06,0.672263
239,0.632717,8.15574e-06,0.632709,8.15574e-06,0.632709
248,0.553052,8.67089e-06,0.553043,8.67089e-06,0.553043
257,0.495407,9.12159e-06,0.495398,9.12159e-06,0.495398
266,0.450329,9.49679e-06,0.450319,9.49679e-06,0.450319
275,0.421899,9.78896e-06,0.42189,9.78896e-06,0.42189
284,0.35291,9.99194e-06,0.3529,9.99194e-06,0.3529
293,0.318838,1.01029e-05,0.318828,1.01029e-05,0.318828
302,0.270243,1.01209e-05,0.270233,1.01209e-05,0.270233
311,0.23635,1.00493e-05,0.23634,1.00493e-05,0.23634
320,0.208702,9.8972e-06,0.208692,9.8972e-06,0.208692
329,0.183683,9.67649e-06,0.183673,9.67649e-06,0.183673
338,0.15585,9.40169e-06,0.155841,9.40169e-06,0.155841
347,0.129988,9.08908e-06,0.129979,9.08908e-06,0.129979
356,0.11659,8.75528e-06,0.116582,8.75528e-06,0.116582
365,0.10283,8.42173e-06,0.102822,8.42173e-06,0.102822
374,0.0913325,8.11053e-06,0.0913244,8.11053e-06,0.0913244
383,0.0808193,7.84364e-06,0.0808115,7.84364e-06,0.0808115
392,0.0729069,7.64225e-06,0.0728993,7.64225e-06,0.0728993
401,0.0676089,7.52523e-06,0.0676014,7.52523e-06,0.0676014
410,0.0648063,7.50978e-06,0.0647988,7.50978e-06,0.0647988
419,0.0618252,7.6075e-06,0.0618176,7.6075e-06,0.0618176
428,0.0605697,7.82786e-06,0.0605618,7.82786e-06,0.0605618
437,0.0581251,8.1759e-06,0.0581169,8.1759e-06,0.0581169
446,0.0585194,8.65497e-06,0.0585108,8.65497e-06,0.0585108
455,0.0619567,9.26389e-06,0.0619474,9.26389e-06,0.0619474
464,0.0647859,9.99417e-06,0.0647759,9.99417e-06,0.0647759
473,0.0610445,1.08313e-05,0.0610337,1.08313e-05,0.0610337
482,0.062705,1.17561e-05,0.0626932,1.17561e-05,0.0626932
491,0.0629093,1.27492e-05,0.0628966,1.27492e-05,0.0628966
500,0.0613834,1.37904e-05,0.0613696,1.37904e-05,0.0613696
509,0.0623931,1.48568e-05,0.0623783,1.48568e-05,0.0623783
518,0.0597958,1.59233e-05,0.0597799,1.59233e-05,0.0597799
527,0.0582402,1.69604e-05,0.0582233,1.69604e-05,0.0582233
536,0.0550968,1.79422e-05,0.0550789,1.79422e-05,0.0550789
545,0.0531918,1.88453e-05,0.0531729,1.88453e-05,0.0531729
554,0.0524485,1.96489e-05,0.0524288,1.96489e-05,0.0524288
563,0.050379,2.03379e-05,0.0503587,2.03379e-05,0.0503587
572,0.0461967,2.09014e-05,0.0461758,2.09014e-05,0.0461758
581,0.0447837,2.1332e-05,0.0447624,2.1332e-05,0.0447624
590,0.0427683,2.16287e-05,0.0427467,2.16287e-05,0.0427467
599,0.0385744,2.17911e-05,0.0385526,2.17911e-05,0.0385526
608,0.0359694,2.1822e-05,0.0359476,2.1822e-05,0.0359476
617,0.0351881,2.17388e-05,0.0351664,2.17388e-05,0.0351664
626,0.0312348,2.15664e-05,0.0312133,2.15664e-05,0.0312133
635,0.030154,2.13301e-05,0.0301326,2.13301e-05,0.0301326
644,0.0281335,2.10546e-05,0.0281124,2.10546e-05,0.0281124
653,0.0271754,2.07631e-05,0.0271546,2.07631e-05,0.0271546
662,0.0264578,2.04832e-05,0.0264373,2.04832e-05,0.0264373
671,0.0252903,2.02501e-05,0.0252701,2.02501e-05,0.0252701
680,0.0238878,2.0097e-05,0.0238677,2.0097e-05,0.0238677
689,0.0240856,2.00532e-05,0.0240655,2.00532e-05,0.0240655
698,0.0242739,2.01453e-05,0.0242537,2.01453e-05,0.0242537
707,0.0237366,2.03942e-05,0.0237162,2.03942e-05,0.0237162
716,0.0233615,2.0813e-05,0.0233407,2.0813e-05,0.0233407
725,0.0238064,2.14087e-05,0.023785,2.14087e-05,0.023785
734,0.023876,2.21881e-05,0.0238539,2.21881e-05,0.0238539
743,0.0248325,2.31523e-05,0.0248093,2.31523e-05,0.0248093
752,0.025077,2.42975e-05,0.0250527,2.42975e-05,0.0250527
761,0.0254045,2.5613e-05,0.0253788,2.5613e-05,0.0253788
770,0.0248544,2.70726e-05,0.0248273,2.70726e-05,0.0248273
779,0.0243101,2.86376e-05,0.0242815,2.86376e-05,0.0242815
788,0.025073,3.0282e-05,0.0250427,3.0282e-05,0.0250427
797,0.0243711,3.19691e-05,0.0243392,3.19691e-05,0.0243392
806,0.0240898,3.36754e-05,0.0240562,3.36754e-05,0.0240562
815,0.0241177,3.53552e-05,0.0240824,3.53552e-05,0.0240824
824,0.0233083,3.69685e-05,0.0232713,3.69685e-05,0.0232713
833,0.0225654,3.8467e-05,0.0225269,3.8467e-05,0.0225269
842,0.0221783,3.98152e-05,0.0221385,3.98152e-05,0.0221385
851,0.0206519,4.09812e-05,0.020611,4.09812e-05,0.020611
860,0.019988,4.19323e-05,0.0199461,4.19323e-05,0.0199461
869,0.0185946,4.26589e-05,0.018552,4.26589e-05,0.018552
878,0.0176527,4.31383e-05,0.0176096,4.31383e-05,0.0176096
887,0.0165422,4.33656e-05,0.0164988,4.33656e-05,0.0164988
896,0.0152353,4.33268e-05,0.015192,4.33268e-05,0.015192
905,0.0141259,4.30164e-05,0.0140829,4.30164e-05,0.0140829
914,0.0131147,4.24528e-05,0.0130722,4.24528e-05,0.0130722
923,0.0119309,4.16654e-05,0.0118893,4.16654e-05,0.0118893
932,0.0112894,4.06838e-05,0.0112488,4.06838e-05,0.0112488
941,0.0101897,3.95393e-05,0.0101502,3.95393e-05,0.0101502
950,0.00933585,3.82572e-05,0.00929759,3.82572e-05,0.00929759
959,0.008775,3.68662e-05,0.00873814,3.68662e-05,0.00873814
968,0.00825824,3.5416e-05,0.00822282,3.5416e-05,0.00822282
977,0.00742426,3.39578e-05,0.0073903,3.39578e-05,0.0073903
986,0.00712504,3.25374e-05,0.00709251,3.25374e-05,0.00709251
995,0.00689372,3.11967e-05,0.00686253,3.11967e-05,0.00686253
1004,0.0063816,2.99734e-05,0.00635163,2.99734e-05,0.00635163
1013,0.00660309,2.88954e-05,0.0065742,2.88954e-05,0.0065742
1022,0.00620446,2.79932e-05,0.00617647,2.79932e-05,0.00617647
1031,0.00614618,2.72892e-05,0.00611889,2.72892e-05,0.00611889
1040,0.00612803,2.68061e-05,0.00610122,2.68061e-05,0.00610122
1049,0.0061721,2.65589e-05,0.00614554,2.65589e-05,0.00614554
