Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_LambdaCDM,residual_LambdaCDM
ASASSN-15so,0.00773,32.7527,0.26758,32.461686,0.29101418,32.461686,0.29101418
2013gh,0.00775,32.6922,0.484865,32.467328,0.2248723,32.467328,0.2248723
2013gh,0.00775,32.521,0.465611,32.467328,0.053672302,32.467328,0.053672302
1995D,0.0078,32.484,0.342662,32.481369,0.0026307165,32.481369,0.0026307165
2012hr,0.00788,32.7092,0.367554,32.503651,0.20554932,32.503651,0.20554932
2001bg,0.00796,32.6928,0.359218,32.525708,0.16709176,32.525708,0.16709176
2009ig,0.00801,32.6707,0.286975,32.539383,0.13131746,32.539383,0.13131746
1997br,0.00801,31.7321,0.531169,32.539383,-0.80728254,32.539383,-0.80728254
2009ig,0.00801,32.7434,0.280148,32.539383,0.20401746,32.539383,0.20401746
2009ig,0.00801,32.3711,0.371926,32.539383,-0.16828254,32.539383,-0.16828254
1996X,0.00812,31.9733,0.415464,32.56917,-0.59586961,32.56917,-0.59586961
PSNJ0717457,0.00812,32.7223,0.383433,32.56917,0.15313039,32.56917,0.15313039
2019ein,0.00837,32.8616,0.327035,32.635402,0.2261981,32.635402,0.2261981
2005am,0.00841,32.335,0.337879,32.645816,-0.31081619,32.645816,-0.31081619
2005am,0.00841,32.3945,0.331296,32.645816,-0.25131619,32.645816,-0.25131619
2005am,0.00841,32.3744,0.338325,32.645816,-0.27141619,32.645816,-0.27141619
2002er,0.00853,32.799,0.368859,32.676766,0.12223383,32.676766,0.12223383
2002er,0.00853,32.7498,0.409525,32.676766,0.07303383,32.676766,0.07303383
2005W,0.00861,32.852,0.318032,32.69716,0.15484005,32.69716,0.15484005
1996Z,0.00867,32.4455,0.490787,32.712332,-0.26683206,32.712332,-0.26683206
PTF10icb,0.009,33.4753,0.372879,32.793957,0.68134297,32.793957,0.68134297
2009an,0.00921,33.2253,0.299086,32.844366,0.38093429,32.844366,0.38093429
2009an,0.00921,33.3378,0.306294,32.844366,0.49343429,32.844366,0.49343429
1997bp,0.00931,32.4198,0.425219,32.86797,-0.44816977,32.86797,-0.44816977
1998es,0.00957,32.9165,0.372831,32.928181,-0.011680846,32.928181,-0.011680846
1998es,0.00957,32.8029,0.35789,32.928181,-0.12528085,32.928181,-0.12528085
2021hpr,0.00958,33.0869,0.343916,32.930464,0.15643592,32.930464,0.15643592
2006D,0.00966,32.8914,0.286425,32.948645,-0.057245139,32.948645,-0.057245139
2006D,0.00966,32.9159,0.285505,32.948645,-0.032745139,32.948645,-0.032745139
2006D,0.00966,32.8973,0.282867,32.948645,-0.051345139,32.948645,-0.051345139
1999ac,0.00979,32.9674,0.341878,32.977873,-0.010472771,32.977873,-0.010472771
1999ac,0.00979,32.9182,0.365223,32.977873,-0.059672771,32.977873,-0.059672771
2004S,0.0098,33.1236,0.317227,32.980105,0.14349494,32.980105,0.14349494
1997bq,0.00993,33.0683,0.324016,33.008921,0.059379316,33.008921,0.059379316
2008fv_comb,0.00993,33.1809,0.377969,33.008921,0.17197932,33.008921,0.17197932
2002cr,0.00998,33.2469,0.254885,33.019904,0.22699603,33.019904,0.22699603
1999cp,0.00998,33.0399,0.268981,33.019904,0.019996032,33.019904,0.019996032
1999cp,0.00998,33.2135,0.253629,33.019904,0.19359603,33.019904,0.19359603
2002cr,0.00998,33.2309,0.251906,33.019904,0.21099603,33.019904,0.21099603
2013cs,0.01029,32.3353,0.401367,33.086804,-0.75150429,33.086804,-0.75150429
ASASSN-16jf,0.0104,33.5709,0.314858,33.110063,0.46083699,33.110063,0.46083699
2006bh,0.01042,33.2788,0.247952,33.114266,0.16453439,33.114266,0.16453439
2013E,0.01042,32.7794,0.348547,33.114266,-0.33486561,33.114266,-0.33486561
1997do,0.01048,33.1081,0.364668,33.126826,-0.018725546,33.126826,-0.018725546
2002dp,0.01049,33.2931,0.27457,33.128912,0.16418808,33.128912,0.16418808
2002dp,0.01049,33.3806,0.309009,33.128912,0.25168808,33.128912,0.25168808
2009Y,0.0105,32.7458,0.360296,33.130996,-0.38519633,33.130996,-0.38519633
2009Y,0.0105,32.9015,0.334006,33.130996,-0.22949633,33.130996,-0.22949633
2009Y,0.0105,32.6457,0.409088,33.130996,-0.48529633,33.130996,-0.48529633
2002dj,0.01051,32.901,0.309548,33.133079,-0.23207877,33.133079,-0.23207877
2002dj,0.01051,32.8654,0.334488,33.133079,-0.26767877,33.133079,-0.26767877
2010ko,0.01096,33.8347,0.353909,33.224808,0.60989151,33.224808,0.60989151
2013ex,0.01096,33.4947,0.325172,33.224808,0.26989151,33.224808,0.26989151
2013ex,0.01096,33.4336,0.283424,33.224808,0.20879151,33.224808,0.20879151
2010Y,0.01142,33.7403,0.254135,33.314792,0.42550839,33.314792,0.42550839
2011ao,0.01168,33.4974,0.301502,33.364074,0.13332623,33.364074,0.13332623
2009ab,0.01189,33.5833,0.281169,33.403091,0.18020945,33.403091,0.18020945
2002ha,0.0122,33.708,0.24076,33.459455,0.24854485,33.459455,0.24854485
2002ha,0.0122,33.7246,0.250097,33.459455,0.26514485,33.459455,0.26514485
AT2017cfd,0.01222,33.5752,0.292564,33.463043,0.11215735,33.463043,0.11215735
2017cfd,0.01222,33.5673,0.284786,33.463043,0.10425735,33.463043,0.10425735
iPTF13ebh,0.01238,33.7337,0.342487,33.491535,0.24216524,33.491535,0.24216524
iPTF13ebh,0.01238,33.6369,0.29522,33.491535,0.14536524,33.491535,0.14536524
2009kk,0.01244,33.7023,0.266666,33.502125,0.20017473,33.502125,0.20017473
2009kq,0.01247,33.5178,0.26619,33.507402,0.010398457,33.507402,0.010398457
2009kq,0.01247,33.5874,0.26006,33.507402,0.079998457,33.507402,0.079998457
2008R,0.0126,33.8286,0.265115,33.530121,0.29847908,33.530121,0.29847908
2001cz,0.01275,33.8783,0.346381,33.556049,0.3222514,33.556049,0.3222514
2007hj,0.01288,33.9846,0.299399,33.578276,0.40632417,33.578276,0.40632417
2007hj,0.01288,33.9682,0.303693,33.578276,0.38992417,33.578276,0.38992417
2007hj,0.01288,33.9247,0.304606,33.578276,0.34642417,33.578276,0.34642417
2001ep,0.01306,33.6365,0.287379,33.608688,0.02781236,33.608688,0.02781236
