name,redshift,observable_type,value,error,rs_fiducial_Mpc,pred_lcdm,chi2_contrib_lcdm,pred_USMFv2,chi2_contrib_USMFv2
6dFGS z=0.106,0.106,DV_over_rs,2.976,0.133,,2.8014,1.72344,2.19418,34.5549
SDSS MGS z=0.15,0.15,DV_over_rs,4.48,0.168,,3.89577,12.0934,3.02447,75.0625
BOSS DR12 Consensus z=0.38,0.38,DV_over_rs,9.1758,0.1453,,8.97419,1.92535,6.76923,274.324
BOSS DR12 Consensus z=0.51,0.51,DV_over_rs,12.3631,0.1341,,11.3983,51.7617,8.54015,812.719
BOSS DR12 Consensus z=0.61,0.61,DV_over_rs,14.3097,0.1345,,13.0674,85.3141,9.77179,1138.33
WiggleZ z=0.44,0.44,DV_over_rs,11.54,0.56,,10.1305,6.33517,7.61263,49.1845
WiggleZ z=0.60,0.6,DV_over_rs,14.94,0.68,,12.9076,8.93275,9.65318,60.4466
WiggleZ z=0.73,0.73,DV_over_rs,16.92,0.58,,14.8689,12.5066,11.1242,99.8549
eBOSS DR14 Quasar z=1.52,1.52,DV_over_rs,25.94,1.14,,22.8192,7.49398,17.7529,51.5764
eBOSS DR16 Quasar z=1.48 (DM/rs),1.48,DM_over_rs,30.35,0.84,,26.5044,20.9586,20.1126,148.532
eBOSS DR16 Quasar z=1.48 (DH/rs),1.48,DH_over_rs,13.26,0.53,,11.0067,18.0751,8.92909,66.7737
eBOSS DR16 Lyman-alpha Combined z=2.334 (DM/rs),2.334,DM_over_rs,37.5,1.1,,34.1421,9.31869,26.6654,97.0156
eBOSS DR16 Lyman-alpha Combined z=2.334 (DH/rs),2.334,DH_over_rs,8.88,0.19,,7.28115,70.812,6.64192,138.754
SDSS DR7 LRG z=0.35,0.35,DV_over_rs,8.88,0.17,,8.37093,8.96714,6.32925,225.132
SDSS DR7 LRG z=0.2,0.2,DV_over_rs,5.249,0.168,,5.0906,0.888947,3.91833,62.737
BOSS DR11 LOWZ z=0.32,0.32,DV_over_rs,8.473,0.167,149.28,7.75048,18.7185,5.87621,241.792
BOSS DR11 CMASS z=0.57,0.57,DV_over_rs,13.778,0.134,149.28,12.419,102.851,9.29146,1121.02
BOSS DR11 Quasar-Lyα Cross z=2.36 (DM/rs),2.36,DM_over_rs,10.8,0.4,,34.3303,3460.48,26.8374,1607.49
BOSS DR11 Quasar-Lyα Cross z=2.36 (DH/rs),2.36,DH_over_rs,9,0.3,,7.20047,35.9811,6.59052,64.5065
eBOSS DR14 Quasar-Lyα Cross z=2.35 (DM/rs),2.35,DM_over_rs,36.3,1.8,,34.2582,1.28674,26.7714,28.0229
eBOSS DR14 Quasar-Lyα Cross z=2.35 (DH/rs),2.35,DH_over_rs,9.2,0.36,,7.23133,29.9047,6.6102,51.7522
eBOSS DR14 Lyα Auto z=2.34 (DM/rs),2.34,DM_over_rs,37.41,1.86,,34.1857,3.00498,26.7052,33.1231
eBOSS DR14 Lyα Auto z=2.34 (DH/rs),2.34,DH_over_rs,8.86,0.29,,7.26241,30.3485,6.62999,59.1315
eBOSS DR16 ELG z=0.845,0.845,DV_over_rs,18.23,0.58,,16.4113,9.83258,12.3104,104.165
DES Y1 Angular BAO z=0.81,0.81,DM_over_rs,10.65,0.49,,17.4942,195.096,13.1387,25.7965
