Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_LambdaCDM,residual_LambdaCDM
sn1999ac,0.01006,33.326159,0.174566,33.447857,-0.12169748,33.447857,-0.12169748
sn2004s,0.010291,33.372062,0.173593,33.497512,-0.12544985,33.497512,-0.12544985
sn1997do,0.01055,33.493014,0.17309,33.551887,-0.058872634,33.551887,-0.058872634
sn2002dp,0.010888,33.645204,0.169021,33.620887,0.024316333,33.620887,0.024316333
sn2006bh,0.011184,33.669922,0.166533,33.67959,-0.0096672964,33.67959,-0.0096672964
sn2005al,0.012317,34.294158,0.16145,33.890877,0.4032809,33.890877,0.4032809
sn2001ep,0.013324,33.906604,0.158624,34.063076,-0.15647201,34.063076,-0.15647201
sn1999dq,0.013533,33.720058,0.158393,34.097195,-0.37713707,34.097195,-0.37713707
sn2002ha,0.013652,34.091038,0.157774,34.116389,-0.025351036,34.116389,-0.025351036
sn2001bt,0.014151,33.956815,0.157186,34.195111,-0.23829528,34.195111,-0.23829528
sn1997e,0.014256,34.107223,0.1564,34.211325,-0.10410223,34.211325,-0.10410223
sn1992al,0.014411,34.087975,0.156643,34.235045,-0.14707005,34.235045,-0.14707005
sn1999dk,0.01444,33.987297,0.157099,34.239455,-0.25215768,34.239455,-0.25215768
sn2005bo,0.014467,34.138903,0.154784,34.243553,-0.10464987,34.243553,-0.10464987
sn2001fe,0.014575,34.270406,0.155333,34.259869,0.010537016,34.259869,0.010537016
sn2006n,0.0147,34.33758,0.155008,34.278605,0.05897507,34.278605,0.05897507
sn2005kc,0.01496,34.231351,0.153548,34.317076,-0.085724161,34.317076,-0.085724161
sn2005el,0.015154,34.357711,0.153758,34.345352,0.012359161,34.345352,0.012359161
sn2004eo,0.015469,34.072352,0.153515,34.39051,-0.31815795,34.39051,-0.31815795
sn2001en,0.015482,34.246778,0.154168,34.392354,-0.14557562,34.392354,-0.14557562
sn2001cn,0.015487,34.107353,0.153742,34.393063,-0.28571009,34.393063,-0.28571009
sn2001bf,0.015504,34.190252,0.153374,34.395471,-0.20521905,34.395471,-0.20521905
sn2001cz,0.015554,34.244148,0.153417,34.40254,-0.15839154,34.40254,-0.15839154
sn1999aa,0.015573,34.45074,0.153276,34.40522,0.045520259,34.40522,0.045520259
sn1994s,0.015664,34.311808,0.154751,34.418011,-0.10620313,34.418011,-0.10620313
sn2004ey,0.015678,34.409554,0.151905,34.419973,-0.010418225,34.419973,-0.010418225
sn2001v,0.015791,34.104592,0.152742,34.435741,-0.33114913,34.435741,-0.33114913
sn2006td,0.015999,34.554597,0.153171,34.464476,0.090121319,34.464476,0.090121319
sn1996bv,0.016966,34.25655,0.153258,34.59339,-0.33683924,34.59339,-0.33683924
sn2006ax,0.017387,34.645289,0.148936,34.64726,-0.0019705733,34.64726,-0.0019705733
sn1998v,0.01745,34.396806,0.150702,34.65521,-0.25840434,34.65521,-0.25840434
sn2000dk,0.017483,34.451815,0.150122,34.659363,-0.20754774,34.659363,-0.20754774
sn1998ef,0.017672,34.225012,0.150611,34.683001,-0.45798894,34.683001,-0.45798894
sn2007ci,0.018599,34.728819,0.149282,34.795436,-0.066617034,34.795436,-0.066617034
sn1992bo,0.018902,34.934901,0.149087,34.830989,0.10391176,34.830989,0.10391176
sn2002kf,0.019581,34.993089,0.147459,34.90866,0.084428341,34.90866,0.084428341
sn2006ej,0.02039,34.999875,0.147727,34.997804,0.0020710832,34.997804,0.0020710832
sn2005ki,0.020396,34.947831,0.145393,34.998452,-0.050621077,34.998452,-0.050621077
sn1992bc,0.020792,34.860895,0.14683,35.040811,-0.17991587,35.040811,-0.17991587
sn2003w,0.020997,34.869301,0.145587,35.062428,-0.19312682,35.062428,-0.19312682
sn2002jy,0.021541,35.292985,0.145405,35.118798,0.17418708,35.118798,0.17418708
sn2007bc,0.021706,35.074451,0.146331,35.135618,-0.061167368,35.135618,-0.061167368
sn2006bq,0.021956,35.14196,0.145024,35.160865,-0.018905299,35.160865,-0.018905299
sn2008bf,0.022068,35.197767,0.144685,35.172084,0.025683141,35.172084,0.025683141
sn1995ak,0.022399,34.937705,0.149213,35.204915,-0.26720963,35.204915,-0.26720963
sn2006et,0.022466,35.024709,0.145994,35.211502,-0.18679332,35.211502,-0.18679332
sn2006mp,0.022629,35.41183,0.145184,35.227447,0.18438234,35.227447,0.18438234
sn2006ar,0.02298,35.353004,0.145076,35.261403,0.091600986,35.261403,0.091600986
sn2006cp,0.023321,35.074581,0.144025,35.293905,-0.21932424,35.293905,-0.21932424
sn2000ca,0.02336,35.249377,0.144317,35.297593,-0.048216277,35.297593,-0.048216277
sn2006ac,0.023471,35.263038,0.143695,35.308055,-0.04501646,35.308055,-0.04501646
sn2000cn,0.023552,35.232154,0.144309,35.315659,-0.083504516,35.315659,-0.083504516
sn2007f,0.02381,35.453902,0.144315,35.339707,0.11419507,35.339707,0.11419507
sn2007qe,0.023867,35.312976,0.14435,35.344986,-0.032009656,35.344986,-0.032009656
sn1993h,0.023909,35.350353,0.145547,35.348867,0.0014856253,35.348867,0.0014856253
sn2006sr,0.024159,35.27495,0.14338,35.371833,-0.096883558,35.371833,-0.096883558
sn2005bg,0.024586,35.322909,0.142334,35.410524,-0.087614852,35.410524,-0.087614852
sn2002he,0.024725,35.445406,0.145176,35.422976,0.022430089,35.422976,0.022430089
sn2002bf,0.024746,35.070075,0.147523,35.424852,-0.35477682,35.424852,-0.35477682
sn1994m,0.024951,35.222116,0.145319,35.443076,-0.22096055,35.443076,-0.22096055
sn1992ag,0.025198,35.242843,0.148276,35.46484,-0.22199666,35.46484,-0.22199666
sn2007cq,0.025468,35.194232,0.143429,35.488392,-0.29415989,35.488392,-0.29415989
sn2005ms,0.026567,35.627234,0.142099,35.581788,0.045445221,35.581788,0.045445221
sn1999gp,0.026677,35.602201,0.142999,35.590927,0.01127451,35.590927,0.01127451
sn2005na,0.026881,35.524407,0.141195,35.607776,-0.083369325,35.607776,-0.083369325
sn2007co,0.027064,35.45832,0.141685,35.622785,-0.16446431,35.622785,-0.16446431
sn2004gs,0.027499,35.806141,0.140928,35.658064,0.14807646,35.658064,0.14807646
