ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_USMFv2_tt,residual_USMFv2_tt,Dl_USMFv2_te,residual_USMFv2_te,Dl_USMFv2_ee,residual_USMFv2_ee
32,1097.01,1.51224,0.0643557,1201.55,-104.541,2.24874,-0.736508,0.0295608,0.034795,1390.89,-293.879,3.69617,-2.18393,0.0399495,0.0244062
37,1180.26,3.11711,0.0649424,1292.04,-111.772,2.25596,0.86115,0.0487015,0.0162409,1460.65,-280.385,4.10513,-0.98802,0.0668405,-0.00189812
42,1426.97,0.820244,0.0699042,1387.42,39.55,1.99802,-1.17778,0.0746071,-0.00470296,1529.83,-102.859,4.23709,-3.41685,0.103594,-0.0336899
47,1364.66,1.07013,0.141281,1486.43,-121.77,1.42328,-0.353146,0.108069,0.0332116,1598.77,-234.114,4.02899,-2.95887,0.151404,-0.010123
52,1329.06,1.08312,0.146964,1589.86,-260.795,0.518919,0.564199,0.14957,-0.00260617,1667.35,-338.294,3.45208,-2.36896,0.211285,-0.0643207
57,1607.2,-3.82399,0.193005,1697.57,-90.3746,-0.748733,-3.07526,0.199332,-0.00632726,1735.85,-128.653,2.50277,-6.32676,0.283923,-0.0909188
62,1663.41,-4.29778,0.296409,1810.83,-147.416,-2.38802,-1.90976,0.257286,0.0391224,1805.94,-142.522,1.11188,-5.40966,0.369375,-0.0729665
67,1838.4,-2.04066,0.331388,1929.41,-91.0044,-4.38731,2.34665,0.322912,0.00847626,1878.15,-39.7457,-0.731092,-1.30957,0.467122,-0.135734
72,1974.24,-8.54866,0.356963,2053.34,-79.0941,-6.737,-1.81167,0.395548,-0.0385851,1952.73,21.5146,-3.0186,-5.53006,0.577284,-0.22032
77,1765.67,-7.23417,0.448396,2184.38,-418.713,-9.42148,2.18731,0.474198,-0.0258021,2031.53,-265.864,-5.73361,-1.50056,0.698441,-0.250045
82,2168.04,-9.89267,0.522364,2321.93,-153.888,-12.3977,2.50499,0.557398,-0.0350344,2113.97,54.0668,-8.86703,-1.02563,0.828902,-0.306538
87,2330.99,-12.7208,0.489592,2466.1,-135.102,-15.6232,2.90233,0.643603,-0.154011,2201.82,129.173,-12.3928,-0.328004,0.967055,-0.477463
92,2446.65,-19.2047,0.789127,2615.91,-169.265,-19.0425,-0.162155,0.731151,0.0579758,2294.1,152.548,-16.2451,-2.95961,1.11074,-0.321614
97,2484.46,-19.0476,0.57472,2771.69,-287.231,-22.5995,3.55189,0.818099,-0.243379,2391.55,92.9042,-20.3863,1.33871,1.25747,-0.682749
104,2951.15,-28.1287,0.830793,3000.05,-48.8926,-27.6967,-0.432034,0.935004,-0.10421,2537.02,414.135,-26.561,-1.56765,1.46282,-0.632024
113,3221.96,-31.7919,0.924375,3309.09,-87.1295,-34.1693,2.37734,1.06905,-0.144675,2737.43,484.529,-34.8707,3.0788,1.71576,-0.791384
122,3382.73,-35.701,1.11192,3631.08,-248.348,-40.1425,4.44154,1.17481,-0.0628952,2949.71,433.021,-43.2028,7.5018,1.94155,-0.82963
131,3592.1,-41.5613,1.10666,3960.13,-368.035,-45.1716,3.61038,1.24326,-0.136603,3170.99,421.108,-51.1341,9.5728,2.12498,-1.01832
140,4229.84,-43.6625,1.09668,4289.73,-59.8893,-48.8378,5.17529,1.26842,-0.171739,3397.03,832.808,-58.2488,14.5862,2.25335,-1.15666
149,4251.39,-45.0365,1.00578,4613.3,-361.909,-50.7791,5.74252,1.24881,-0.243029,3620.99,630.395,-64.1323,19.0958,2.31708,-1.31129
158,4778.71,-49.241,1.07943,4922.37,-143.658,-50.6832,1.44222,1.18759,-0.10816,3833.96,944.75,-68.4131,19.1722,2.31096,-1.23153
167,4844.8,-45.9645,0.855441,5210,-365.203,-48.3301,2.36558,1.09347,-0.238031,4030.16,814.639,-70.8292,24.8647,2.23509,-1.37965
176,5120.63,-43.3901,0.96559,5468.2,-347.576,-43.5857,0.195622,0.980278,-0.0146887,4203.32,917.309,-71.2105,27.8204,2.09457,-1.12898
185,5373.97,-30.3906,0.835251,5690.03,-316.057,-36.4203,6.02969,0.866757,-0.0315058,4347.99,1025.98,-69.4834,39.0928,1.89909,-1.06384
194,5542.7,-18.1436,0.793541,5869.4,-326.695,-26.9191,8.77551,0.776422,0.0171188,4458.96,1083.75,-65.6656,47.522,1.66213,-0.868588
203,5446.22,-7.21464,0.694054,6001.29,-555.067,-15.2708,8.0562,0.735899,-0.0418444,4531.94,914.276,-59.874,52.6594,1.40012,-0.706068
212,5636.34,2.53847,0.877642,6081.01,-444.665,-1.76923,4.3077,0.773601,0.104042,4563.04,1073.3,-52.3099,54.8484,1.13192,-0.254276
221,5816.48,17.9047,0.874199,6107.5,-291.019,13.1821,4.72256,0.918281,-0.044082,4551.99,1264.49,-43.2528,61.1575,0.877683,-0.00348423
230,5684.66,26.6053,1.23818,6080.02,-395.368,29.1097,-2.50441,1.19739,0.0407929,4498.9,1185.76,-33.0493,59.6545,0.656367,0.581815
239,5776.16,46.2991,1.78071,5999.2,-223.047,45.4884,0.810735,1.63536,0.145356,4405.19,1370.96,-22.0974,68.3965,0.4839,1.29681
248,5435.47,50.6637,2.10983,5867.03,-431.568,61.7559,-11.0921,2.25214,-0.142304,4273.7,1161.77,-10.8327,61.4964,0.371737,1.7381
257,5228,71.5358,3.13386,5686.92,-458.923,77.3357,-5.79991,3.06141,0.0724494,4108.49,1119.5,0.298343,71.2374,0.326369,2.8075
266,5090.29,86.4306,3.86066,5463.69,-373.397,91.655,-5.22436,4.06759,-0.206933,3913.91,1176.39,10.8773,75.5533,0.355417,3.50524
275,5096.49,106.963,5.31265,5204.3,-107.814,104.185,2.77748,5.26627,0.0463744,3695.84,1400.64,20.5416,86.4211,0.462654,4.84999
284,4546.18,102.707,5.82483,4915.74,-369.556,114.439,-11.7322,6.64431,-0.81948,3460.23,1085.95,28.9698,73.7368,0.643146,5.18168
