name,redshift,observable_type,value,error,pred_lcdm,chi2_contrib_lcdm,pred_LambdaCDM,chi2_contrib_LambdaCDM
BOSS DR12 z=0.38 (DM/rs),0.38,DM_over_rs,10.2341,0.169131,9.57084,15.3771,9.57084,15.3771
BOSS DR12 z=0.38 (DH/rs),0.38,DH_over_rs,24.9806,0.728504,22.6589,10.156,22.6589,10.156
BOSS DR12 z=0.38 (DV/rs),0.38,DV_over_rs,9.98071,0.113804,9.23934,42.4376,9.23934,42.4376
BOSS DR12 z=0.51 (DM/rs),0.51,DM_over_rs,13.3659,0.203655,12.4072,22.1607,12.4072,22.1607
BOSS DR12 z=0.51 (DH/rs),0.51,DH_over_rs,22.3166,0.571716,20.9917,5.37019,20.9917,5.37019
BOSS DR12 z=0.51 (DV/rs),0.51,DV_over_rs,12.6687,0.128874,11.812,44.1922,11.812,44.1922
BOSS DR12 z=0.61 (DM/rs),0.61,DM_over_rs,15.6089,0.250931,14.445,21.5144,14.445,21.5144
BOSS DR12 z=0.61 (DH/rs),0.61,DH_over_rs,20.4986,0.518214,19.7732,1.95942,19.7732,1.95942
BOSS DR12 z=0.61 (DV/rs),0.61,DV_over_rs,14.4966,0.150063,13.6023,35.5126,13.6023,35.5126
