ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_LambdaCDM_tt,residual_LambdaCDM_tt,Dl_LambdaCDM_te,residual_LambdaCDM_te,Dl_LambdaCDM_ee,residual_LambdaCDM_ee
941,1437.55,50.1516,37.4935,2121.71,-684.164,58.0926,-7.94097,22.4983,14.9952,2121.71,-684.164,58.0926,-7.94097,22.4983,14.9952
950,1342.39,41.3038,37.058,2011.93,-669.543,63.8099,-22.5061,25.3087,11.7493,2011.93,-669.543,63.8099,-22.5061,25.3087,11.7493
959,1285.75,33.7705,39.3482,1899.42,-613.67,66.7915,-33.021,28.2825,11.0657,1899.42,-613.67,66.7915,-33.021,28.2825,11.0657
968,1232.84,20.9026,40.3395,1787,-554.159,67.1055,-46.2029,31.3129,9.0266,1787,-554.159,67.1055,-46.2029,31.3129,9.0266
977,1129.03,9.81707,40.4442,1677.37,-548.336,64.8821,-55.065,34.2914,6.15276,1677.37,-548.336,64.8821,-55.065,34.2914,6.15276
986,1103.57,-0.29649,38.6279,1572.79,-469.218,60.259,-60.5555,37.1251,1.50277,1572.79,-469.218,60.259,-60.5555,37.1251,1.50277
995,1087.32,-14.7591,42.2792,1475.19,-387.873,53.3548,-68.1138,39.7346,2.54455,1475.19,-387.873,53.3548,-68.1138,39.7346,2.54455
1004,1024.83,-37.3546,40.1553,1386.16,-361.333,44.3128,-81.6674,42.0521,-1.89678,1386.16,-361.333,44.3128,-81.6674,42.0521,-1.89678
1013,1079.48,-45.221,46.1332,1306.73,-227.247,33.4878,-78.7088,44.0185,2.11467,1306.73,-227.247,33.4878,-78.7088,44.0185,2.11467
1022,1032.41,-48.6768,42.9829,1237.99,-205.58,21.3131,-69.9899,45.5851,-2.60224,1237.99,-205.58,21.3131,-69.9899,45.5851,-2.60224
1031,1040.79,-54.6481,39.2361,1180.58,-139.791,8.30263,-62.9507,46.6922,-7.45609,1180.58,-139.791,8.30263,-62.9507,46.6922,-7.45609
1040,1055.91,-59.1628,36.5526,1135.09,-79.1866,-5.19176,-53.971,47.3143,-10.7617,1135.09,-79.1866,-5.19176,-53.971,47.3143,-10.7617
