ell,Dl_obs,Dl_lcdm,residual_lcdm,Dl_LambdaCDM,residual_LambdaCDM
32,1097.01,1139.75,-42.7429,1139.75,-42.7429
37,1180.26,1240.11,-59.8416,1240.11,-59.8416
42,1426.97,1347.3,79.6711,1347.3,79.6711
47,1364.66,1459.69,-95.0349,1459.69,-95.0349
52,1329.06,1577.73,-248.671,1577.73,-248.671
57,1607.2,1700.71,-93.5098,1700.71,-93.5098
62,1663.41,1829.58,-166.171,1829.58,-166.171
67,1838.4,1964.09,-125.691,1964.09,-125.691
72,1974.24,2103.81,-129.565,2103.81,-129.565
77,1765.67,2250.53,-484.859,2250.53,-484.859
82,2168.04,2403.19,-235.154,2403.19,-235.154
87,2330.99,2561.7,-230.709,2561.7,-230.709
92,2446.65,2725.41,-278.759,2725.41,-278.759
97,2484.46,2894.27,-409.808,2894.27,-409.808
104,2951.15,3139.82,-188.662,3139.82,-188.662
113,3221.96,3469.64,-247.68,3469.64,-247.68
122,3382.73,3811.44,-428.715,3811.44,-428.715
131,3592.1,4159.49,-567.395,4159.49,-567.395
140,4229.84,4507.75,-277.909,4507.75,-277.909
149,4251.39,4851.24,-599.853,4851.24,-599.853
158,4778.71,5183.12,-404.413,5183.12,-404.413
167,4844.8,5497.1,-652.301,5497.1,-652.301
176,5120.63,5785.49,-664.863,5785.49,-664.863
185,5373.97,6041.66,-667.69,6041.66,-667.69
194,5542.7,6259.81,-717.107,6259.81,-717.107
203,5446.22,6435.17,-988.953,6435.17,-988.953
212,5636.34,6562.73,-926.389,6562.73,-926.389
221,5816.48,6640.17,-823.689,6640.17,-823.689
230,5684.66,6665.42,-980.762,6665.42,-980.762
239,5776.16,6637.77,-861.617,6637.77,-861.617
248,5435.47,6557.91,-1122.45,6557.91,-1122.45
257,5228,6427.89,-1199.89,6427.89,-1199.89
266,5090.29,6250.92,-1160.63,6250.92,-1160.63
275,5096.49,6032.2,-935.711,6032.2,-935.711
284,4546.18,5776.94,-1230.76,5776.94,-1230.76
