ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_USMFv2_tt,residual_USMFv2_tt,Dl_USMFv2_te,residual_USMFv2_te,Dl_USMFv2_ee,residual_USMFv2_ee
1310,712.532,-45.6622,32.308,698.395,14.1378,-41.6804,-3.98174,33.0281,-0.720156,1039.28,-326.751,-69.6599,23.9977,26.8195,5.48849
1319,718.903,-45.3274,37.0351,698.463,20.4398,-48.5853,3.25794,32.5635,4.47159,1073.86,-354.954,-69.5889,24.2615,24.4393,12.5957
1328,723.408,-52.8192,22.7581,703.097,20.3109,-54.8299,2.01072,31.7584,-9.0003,1108.61,-385.201,-67.9099,15.0907,22.1334,0.624701
1337,757.937,-50.5695,32.7284,711.626,46.3109,-60.2133,9.64383,30.6408,2.08764,1142.41,-384.474,-64.7155,14.146,19.9452,12.7832
1346,737.666,-57.1386,25.6747,723.271,14.3958,-64.5691,7.43052,29.2475,-3.57276,1174.02,-436.358,-60.1327,2.99412,17.9273,7.74745
1355,765.134,-65.5484,22.1336,737.159,27.9755,-67.7664,2.21798,27.6207,-5.48709,1202.15,-437.012,-54.321,-11.2274,16.1356,5.99803
1364,776.923,-62.1891,20.8649,752.416,24.5071,-69.7256,7.53656,25.816,-4.95112,1225.9,-448.981,-47.4358,-14.7533,14.6068,6.25816
1373,777.362,-56.4015,13.9711,768.126,9.23574,-70.4017,14.0002,23.8909,-9.91987,1244.77,-467.408,-39.6192,-16.7823,13.3509,0.620142
1382,773.981,-47.5995,19.7096,783.388,-9.4061,-69.7943,22.1948,21.9061,-2.19647,1258.24,-484.258,-31.0565,-16.543,12.3805,7.32911
1391,806.044,-66.4348,18.9034,797.321,8.72296,-67.9374,1.50256,19.9199,-1.01649,1265.83,-459.786,-21.9673,-44.4676,11.7056,7.19774
1400,830.177,-61.3485,26.3292,809.174,21.0028,-64.9145,3.56601,17.991,8.33815,1267.19,-437.012,-12.6206,-48.7279,11.3368,14.9924
1409,822.186,-54.6345,5.1988,818.254,3.93218,-60.8362,6.20169,16.1722,-10.9734,1262.06,-439.871,-3.2801,-51.3544,11.2766,-6.07782
1418,818.106,-52.4991,20.0139,823.975,-5.8688,-55.847,3.34794,14.5128,5.50115,1250.44,-432.33,5.88739,-58.3865,11.518,8.49589
1427,796.252,-38.2634,20.0412,825.931,-29.6793,-50.1233,11.8598,13.0573,6.98384,1232.54,-436.291,14.7157,-52.9792,12.0473,7.99386
1436,803.463,-40.2416,13.1922,823.813,-20.35,-43.8513,3.60975,11.8411,1.35108,1208.69,-405.228,23.0288,-63.2704,12.8415,0.350738
1445,798.655,-37.8014,10.43,817.438,-18.7836,-37.2285,-0.572842,10.8905,-0.460516,1179.32,-380.666,30.6396,-68.441,13.8686,-3.43864
1454,773.833,-26.0106,2.1953,806.756,-32.9221,-30.4547,4.44405,10.2221,-8.02682,1145,-371.168,37.3601,-63.3707,15.0877,-12.8924
1463,762.183,-21.7373,18.35,791.945,-29.7614,-23.7346,1.9973,9.84308,8.50691,1106.42,-344.235,43.046,-64.7833,16.4636,1.88637
1472,749.532,-9.44394,12.4154,773.24,-23.7084,-17.2623,7.81838,9.75059,2.66478,1064.18,-314.647,47.6204,-57.0643,17.9693,-5.55394
1481,738.185,2.7698,16.5295,751.001,-12.8163,-11.219,13.9888,9.9332,6.59625,1019.01,-280.825,51.0221,-48.2523,19.5701,-3.04065
1490,727.424,-4.9052,14.6158,725.727,1.69758,-5.76482,0.859624,10.3712,4.2446,971.776,-244.352,53.2112,-58.1164,21.223,-6.60725
1499,701.642,-1.96257,-1.3298,697.935,3.70748,-1.03511,-0.927462,11.0372,-12.367,923.364,-221.722,54.1723,-56.1349,22.8775,-24.2073
1512,655.678,7.47919,21.9852,654.559,1.11851,4.30575,3.17344,12.3316,9.65356,853.185,-197.507,53.4173,-45.9381,25.168,-3.18285
1529,588.39,9.37829,16.3364,595.124,-6.73422,8.34086,1.03743,14.4275,1.90882,764.448,-176.058,48.7937,-39.4154,27.8449,-11.5085
1546,547.01,10.0139,17.2441,536.72,10.2901,8.93718,1.07672,16.6998,0.544288,683.595,-136.585,40.5883,-30.5744,29.9769,-12.7329
1563,503.657,-0.414165,16.8062,483.283,20.3743,6.34511,-6.75928,18.8451,-2.03895,614.862,-111.205,29.7059,-30.12,31.372,-14.5658
1580,468.039,-1.86885,6.00044,438.017,30.0224,1.15322,-3.02207,20.5897,-14.5893,561.182,-93.1425,17.0922,-18.9611,31.9177,-25.9173
1597,429.111,-9.9112,23.6655,403.073,26.0389,-5.80653,-4.10467,21.7228,1.94275,524.152,-95.0407,3.78997,-13.7012,31.5897,-7.92414
1614,407.925,-9.49197,28.6547,379.241,28.6846,-13.5946,4.10267,22.1094,6.54533,503.995,-96.0702,-9.07856,-0.413413,30.4315,-1.77684
1631,399.577,-25.3687,25.01,366.166,33.4106,-21.2373,-4.13135,21.7124,3.29761,499.689,-100.112,-20.5399,-4.82877,28.53,-3.51997
1648,389.097,-22.7408,15.7028,362.414,26.6829,-27.8574,5.11669,20.5802,-4.87742,509.089,-119.992,-29.7941,7.05339,26.0341,-10.3313
1665,391.497,-25.4964,25.7318,365.69,25.8068,-32.7766,7.28022,18.8369,6.89486,529.157,-137.66,-36.2405,10.744,23.1562,2.57558
1682,385.396,-29.9275,35.6797,373.214,12.1819,-35.5541,5.62662,16.6703,19.0094,556.175,-170.779,-39.5163,9.5888,20.1008,15.5789
1699,400.368,-26.1074,19.884,382.086,18.2816,-36.0277,9.92035,14.3057,5.5783,586.237,-185.869,-39.538,13.4306,17.0847,2.79925
1716,393.039,-22.1731,-2.30435,389.583,3.4555,-34.3078,12.1347,11.966,-14.2703,615.553,-222.514,-36.4902,14.3171,14.3182,-16.6225
