name,redshift,observable_type,value,error,rs_fiducial_Mpc,pred_lcdm,chi2_contrib_lcdm,pred_USMFv2,chi2_contrib_USMFv2
6dFGS z=0.106,0.106,DV_over_rs,2.976,0.133,,3.13572,1.44217,2.08806,44.5723
SDSS MGS z=0.15,0.15,DV_over_rs,4.48,0.168,,4.35949,0.514511,2.87819,90.9079
BOSS DR12 Consensus z=0.38,0.38,DV_over_rs,9.1758,0.1453,,10.0294,34.5133,6.44184,354.04
BOSS DR12 Consensus z=0.51,0.51,DV_over_rs,12.3631,0.1341,,12.7308,7.5175,8.1271,997.824
BOSS DR12 Consensus z=0.61,0.61,DV_over_rs,14.3097,0.1345,,14.5889,4.31022,9.29918,1387.78
WiggleZ z=0.44,0.44,DV_over_rs,11.54,0.56,,11.3184,0.156649,7.24444,58.8387
WiggleZ z=0.60,0.6,DV_over_rs,14.94,0.68,,14.4112,0.604843,9.1863,71.5939
WiggleZ z=0.73,0.73,DV_over_rs,16.92,0.58,,16.5929,0.317965,10.5862,119.254
eBOSS DR14 Quasar z=1.52,1.52,DV_over_rs,25.94,1.14,,25.4214,0.206952,16.8943,62.9618
eBOSS DR16 Quasar z=1.48 (DM/rs),1.48,DM_over_rs,30.35,0.84,,29.5601,0.884319,19.1399,178.1
eBOSS DR16 Quasar z=1.48 (DH/rs),1.48,DH_over_rs,13.26,0.53,,12.2363,3.73074,8.49724,80.7543
eBOSS DR16 Lyman-alpha Combined z=2.334 (DM/rs),2.334,DM_over_rs,37.5,1.1,,38.0472,0.247445,25.3757,121.486
eBOSS DR16 Lyman-alpha Combined z=2.334 (DH/rs),2.334,DH_over_rs,8.88,0.19,,8.08807,17.3726,6.32068,181.444
SDSS DR7 LRG z=0.35,0.35,DV_over_rs,8.88,0.17,,9.35666,7.86173,6.02314,282.411
SDSS DR7 LRG z=0.2,0.2,DV_over_rs,5.249,0.168,,5.69482,7.04217,3.72882,81.8791
BOSS DR11 LOWZ z=0.32,0.32,DV_over_rs,8.473,0.167,149.28,8.66451,1.31512,5.59201,297.613
BOSS DR11 CMASS z=0.57,0.57,DV_over_rs,13.778,0.134,149.28,13.8673,0.444122,8.84207,1356.84
BOSS DR11 Quasar-Lyα Cross z=2.36 (DM/rs),2.36,DM_over_rs,10.8,0.4,,38.2563,4711.55,25.5394,1357.81
BOSS DR11 Quasar-Lyα Cross z=2.36 (DH/rs),2.36,DH_over_rs,9,0.3,,7.99834,11.148,6.27177,82.7026
eBOSS DR14 Quasar-Lyα Cross z=2.35 (DM/rs),2.35,DM_over_rs,36.3,1.8,,38.1761,1.0864,25.4766,36.1561
eBOSS DR14 Quasar-Lyα Cross z=2.35 (DH/rs),2.35,DH_over_rs,9.2,0.36,,8.03266,10.5145,6.29049,65.3181
eBOSS DR14 Lyα Auto z=2.34 (DM/rs),2.34,DM_over_rs,37.41,1.86,,38.0956,0.135887,25.4136,41.5983
eBOSS DR14 Lyα Auto z=2.34 (DH/rs),2.34,DH_over_rs,8.86,0.29,,8.06722,7.47323,6.30933,77.3595
eBOSS DR16 ELG z=0.845,0.845,DV_over_rs,18.23,0.58,,18.3076,0.0179129,11.715,126.173
DES Y1 Angular BAO z=0.81,0.81,DM_over_rs,10.65,0.49,,19.5354,328.82,12.5033,14.3049
