ell,Dl_obs,Dl_te_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_LambdaCDM_tt,residual_LambdaCDM_tt,Dl_LambdaCDM_te,residual_LambdaCDM_te
32,1097.01,116.488,1139.33,-42.3162,1.77354,114.715,1139.33,-42.3162,1.77354,114.715
37,1180.26,116.077,1239.56,-59.2974,1.71443,114.363,1239.56,-59.2974,1.71443,114.363
42,1426.97,117.361,1346.63,80.3399,1.40505,115.956,1346.63,80.3399,1.40505,115.956
47,1364.66,119.261,1458.89,-94.2356,0.836138,118.424,1458.89,-94.2356,0.836138,118.424
52,1329.06,121.332,1576.8,-247.736,-0.0456775,121.378,1576.8,-247.736,-0.0456775,121.378
57,1607.2,123.908,1699.63,-92.4344,-1.23979,125.148,1699.63,-92.4344,-1.23979,125.148
62,1663.41,126.648,1828.37,-164.952,-2.76839,129.416,1828.37,-164.952,-2.76839,129.416
67,1838.4,129.805,1962.73,-124.324,-4.61829,134.423,1962.73,-124.324,-4.61829,134.423
72,1974.24,133.711,2102.29,-128.052,-6.78285,140.494,2102.29,-128.052,-6.78285,140.494
77,1765.67,137.551,2248.87,-483.2,-9.25204,146.803,2248.87,-483.2,-9.25204,146.803
82,2168.04,142.193,2401.39,-233.356,-11.987,154.18,2401.39,-233.356,-11.987,154.18
87,2330.99,146.965,2559.78,-228.783,-14.9515,161.916,2559.78,-228.783,-14.9515,161.916
92,2446.65,151.665,2723.37,-276.72,-18.1002,169.766,2723.37,-276.72,-18.1002,169.766
97,2484.46,156.448,2892.13,-407.674,-21.384,177.832,2892.13,-407.674,-21.384,177.832
104,2951.15,118.869,3137.59,-186.436,-26.1143,144.983,3137.59,-186.436,-26.1143,144.983
113,3221.96,125.807,3467.38,-245.417,-32.1842,157.991,3467.38,-245.417,-32.1842,157.991
122,3382.73,132.931,3809.25,-426.52,-37.8832,170.814,3809.25,-426.52,-37.8832,170.814
131,3592.1,140.035,4157.48,-565.385,-42.8124,182.848,4157.48,-565.385,-42.8124,182.848
140,4229.84,146.431,4506.05,-276.211,-46.5925,193.023,4506.05,-276.211,-46.5925,193.023
149,4251.39,152.574,4850,-598.611,-48.8848,201.459,4850,-598.611,-48.8848,201.459
158,4778.71,158.191,5182.49,-403.782,-49.3912,207.582,5182.49,-403.782,-49.3912,207.582
167,4844.8,162.857,5497.24,-652.442,-47.8689,210.726,5497.24,-652.442,-47.8689,210.726
176,5120.63,166.536,5786.56,-665.93,-44.148,210.684,5786.56,-665.93,-44.148,210.684
185,5373.97,168.598,6043.78,-669.811,-38.151,206.749,6043.78,-669.811,-38.151,206.749
194,5542.7,169.826,6263.08,-720.376,-29.8803,199.706,6263.08,-720.376,-29.8803,199.706
203,5446.22,169.012,6439.64,-993.42,-19.4356,188.447,6439.64,-993.42,-19.4356,188.447
212,5636.34,167.953,6568.4,-932.064,-7.01545,174.968,6568.4,-932.064,-7.01545,174.968
221,5816.48,165.418,6647.02,-830.544,7.08055,158.338,6647.02,-830.544,7.08055,158.338
230,5684.66,160.755,6673.38,-988.727,22.4837,138.271,6673.38,-988.727,22.4837,138.271
239,5776.16,155.688,6646.73,-870.579,38.7738,116.914,6646.73,-870.579,38.7738,116.914
248,5435.47,149.464,6567.7,-1132.24,55.4933,93.9709,6567.7,-1132.24,55.4933,93.9709
257,5228,142.788,6438.29,-1210.29,72.16,70.6275,6438.29,-1210.29,72.16,70.6275
266,5090.29,134.576,6261.65,-1171.36,88.2104,46.3657,6261.65,-1171.36,88.2104,46.3657
275,5096.49,126.49,6042.95,-946.463,103.085,23.4043,6042.95,-946.463,103.085,23.4043
284,4546.18,117.806,5787.38,-1241.2,116.265,1.54053,5787.38,-1241.2,116.265,1.54053
293,4371.25,108.654,5501.14,-1129.9,127.307,-18.6531,5501.14,-1129.9,127.307,-18.6531
302,3935.72,100.144,5190.36,-1254.64,135.834,-35.6906,5190.36,-1254.64,135.834,-35.6906
311,3649.99,91.4018,4862.14,-1212.15,141.553,-50.1513,4862.14,-1212.15,141.553,-50.1513
320,3411.94,82.9697,4524.78,-1112.83,144.2,-61.2299,4524.78,-1112.83,144.2,-61.2299
329,3173.93,75.1715,4186.28,-1012.35,143.606,-68.4342,4186.28,-1012.35,143.606,-68.4342
338,2842.13,67.9998,3854.06,-1011.93,139.713,-71.7132,3854.06,-1011.93,139.713,-71.7132
347,2498.24,61.2915,3534.74,-1036.51,132.582,-71.2901,3534.74,-1036.51,132.582,-71.2901
356,2358.31,55.5922,3233.72,-875.415,122.338,-66.7459,3233.72,-875.415,122.338,-66.7459
365,2186.33,50.5043,2957,-770.676,109.303,-58.7988,2957,-770.676,109.303,-58.7988
374,2038.68,46.4264,2709.59,-670.915,93.8625,-47.4362,2709.59,-670.915,93.8625,-47.4362
383,1891.76,43.1684,2495.39,-603.63,76.4707,-33.3023,2495.39,-603.63,76.4707,-33.3023
392,1787.59,40.6809,2317.17,-529.58,57.5948,-16.9139,2317.17,-529.58,57.5948,-16.9139
401,1734.58,39.0986,2176.38,-441.797,37.7274,1.37124,2176.38,-441.797,37.7274,1.37124
410,1738.05,38.1472,2073.55,-335.492,17.3965,20.7506,2073.55,-335.492,17.3965,20.7506
419,1731.61,37.992,2007.47,-275.862,-2.72888,40.7208,2007.47,-275.862,-2.72888,40.7208
428,1770.01,38.2387,1976.41,-206.4,-22.0091,60.2479,1976.41,-206.4,-22.0091,60.2479
437,1770.68,38.942,1977.67,-206.995,-39.8916,78.8336,1977.67,-206.995,-39.8916,78.8336
446,1856.79,40.1097,2008.41,-151.622,-55.903,96.0127,2008.41,-151.622,-55.903,96.0127
455,2045.9,41.3193,2065.05,-19.1476,-69.665,110.984,2065.05,-19.1476,-69.665,110.984
464,2224.7,42.6811,2142.81,81.8934,-80.8213,123.502,2142.81,81.8934,-80.8213,123.502
473,2178.24,44.2083,2236.22,-57.9759,-89.0937,133.302,2236.22,-57.9759,-89.0937,133.302
482,2323.36,45.5664,2339.58,-16.2251,-94.2838,139.85,2339.58,-16.2251,-94.2838,139.85
491,2418.7,46.6662,2447.94,-29.2394,-96.3072,142.973,2447.94,-29.2394,-96.3072,142.973
500,2447.25,47.6298,2556.8,-109.545,-95.1752,142.805,2556.8,-109.545,-95.1752,142.805
509,2577.77,48.3824,2661.81,-84.0365,-91.0099,139.392,2661.81,-84.0365,-91.0099,139.392
518,2558.51,48.8517,2758.7,-200.186,-84.1299,132.982,2758.7,-200.186,-84.1299,132.982
527,2579.22,49.0304,2843.08,-263.863,-74.9177,123.948,2843.08,-263.863,-74.9177,123.948
536,2523.98,48.6775,2911.66,-387.685,-63.7793,112.457,2911.66,-387.685,-63.7793,112.457
545,2519.15,48.2047,2962.08,-442.929,-51.1441,99.3488,2962.08,-442.929,-51.1441,99.3488
554,2566.59,47.3184,2992.65,-426.063,-37.418,84.7364,2992.65,-426.063,-37.418,84.7364
563,2545.99,46.2542,3002.82,-456.822,-23.142,69.3961,3002.82,-456.822,-23.142,69.3961
572,2409.8,44.8554,2992.74,-582.94,-8.99304,53.8484,2992.74,-582.94,-8.99304,53.8484
581,2410.13,43.4209,2963.11,-552.98,4.43119,38.9897,2963.11,-552.98,4.43119,38.9897
590,2373.46,41.8475,2915.4,-541.944,16.6156,25.2319,2915.4,-541.944,16.6156,25.2319
599,2206.46,40.2004,2851.1,-644.639,27.1266,13.0739,2851.1,-644.639,27.1266,13.0739
608,2119.7,38.5251,2771.95,-652.248,35.6187,2.90636,2771.95,-652.248,35.6187,2.90636
617,2135.45,36.9238,2681.38,-545.926,41.7401,-4.81628,2681.38,-545.926,41.7401,-4.81628
626,1951.2,35.384,2583.4,-632.206,45.2159,-9.83188,2583.4,-632.206,45.2159,-9.83188
635,1938.19,34.0308,2481.68,-543.492,45.8609,-11.8301,2481.68,-543.492,45.8609,-11.8301
644,1859.9,32.9691,2379.43,-519.527,43.5783,-10.6091,2379.43,-519.527,43.5783,-10.6091
653,1847.08,32.0668,2279.37,-432.281,38.3586,-6.2918,2279.37,-432.281,38.3586,-6.2918
662,1848.18,31.431,2184.46,-336.279,30.3443,1.08673,2184.46,-336.279,30.3443,1.08673
671,1814.96,30.9706,2098.16,-283.203,19.8542,11.1164,2098.16,-283.203,19.8542,11.1164
680,1760.56,30.8636,2023.38,-262.817,7.24486,23.6187,2023.38,-262.817,7.24486,23.6187
689,1822.41,30.9687,1962.36,-139.952,-7.10702,38.0757,1962.36,-139.952,-7.10702,38.0757
698,1884.92,31.295,1916.82,-31.9031,-22.8518,54.1468,1916.82,-31.9031,-22.8518,54.1468
707,1891,31.8141,1887.76,3.23317,-39.6204,71.4345,1887.76,3.23317,-39.6204,71.4345
716,1908.77,32.5686,1875.37,33.393,-56.8275,89.3961,1875.37,33.393,-56.8275,89.3961
725,1994.29,33.344,1879.23,115.058,-73.8094,107.153,1879.23,115.058,-73.8094,107.153
734,2050.06,34.2482,1898.93,151.131,-90.0191,124.267,1898.93,151.131,-90.0191,124.267
743,2184.75,35.1755,1933.53,251.223,-104.959,140.134,1933.53,251.223,-104.959,140.134
752,2260,36.1334,1981.77,278.233,-118.234,154.367,1981.77,278.233,-118.234,154.367
761,2344.61,36.9908,2041.9,302.708,-129.503,166.494,2041.9,302.708,-129.503,166.494
770,2348.38,37.744,2111,237.378,-138.378,176.122,2111,237.378,-138.378,176.122
779,2350.93,38.5003,2185.49,165.445,-144.531,183.031,2185.49,165.445,-144.531,183.031
788,2481.01,39.0175,2262.94,218.068,-147.787,186.804,2262.94,218.068,-147.787,186.804
797,2466.93,39.2277,2340.4,126.533,-147.964,187.191,2340.4,126.533,-147.964,187.191
806,2493.81,39.3556,2416.04,77.7614,-145.065,184.421,2416.04,77.7614,-145.065,184.421
815,2552.73,39.2238,2486.62,66.1124,-139.183,178.407,2486.62,66.1124,-139.183,178.407
824,2521.81,38.8882,2549.47,-27.6621,-130.606,169.494,2549.47,-27.6621,-130.606,169.494
833,2495.02,38.2942,2601.64,-106.624,-119.585,157.879,2601.64,-106.624,-119.585,157.879
842,2505.47,37.5072,2641.25,-135.785,-106.422,143.929,2641.25,-135.785,-106.422,143.929
851,2383.14,36.4416,2666.85,-283.709,-91.3935,127.835,2666.85,-283.709,-91.3935,127.835
860,2355.55,35.327,2677.05,-321.502,-74.825,110.152,2677.05,-321.502,-74.825,110.152
869,2237.42,33.9625,2671.98,-434.568,-57.3271,91.2896,2671.98,-434.568,-57.3271,91.2896
878,2168.28,32.4966,2651.03,-482.744,-39.47,71.9667,2651.03,-482.744,-39.47,71.9667
887,2073.72,30.9924,2614.67,-540.953,-21.78,52.7724,2614.67,-540.953,-21.78,52.7724
896,1948.82,29.3276,2562.89,-614.071,-4.73367,34.0613,2562.89,-614.071,-4.73367,34.0613
905,1843.37,27.7184,2496.19,-652.822,11.3645,16.3539,2496.19,-652.822,11.3645,16.3539
914,1745.6,26.1322,2416.41,-670.802,26.0899,0.0423595,2416.41,-670.802,26.0899,0.0423595
923,1619.45,24.5204,2325.91,-706.459,38.9972,-14.4768,2325.91,-706.459,38.9972,-14.4768
932,1562.39,23.0823,2226.96,-664.562,49.751,-26.6687,2226.96,-664.562,49.751,-26.6687
941,1437.55,21.6694,2121.71,-684.164,58.0926,-36.4232,2121.71,-684.164,58.0926,-36.4232
950,1342.39,20.4092,2011.93,-669.543,63.8099,-43.4007,2011.93,-669.543,63.8099,-43.4007
959,1285.75,19.2974,1899.42,-613.67,66.7915,-47.4941,1899.42,-613.67,66.7915,-47.4941
968,1232.84,18.3514,1787,-554.159,67.1055,-48.7541,1787,-554.159,67.1055,-48.7541
977,1129.03,17.5317,1677.37,-548.336,64.8821,-47.3504,1677.37,-548.336,64.8821,-47.3504
986,1103.57,16.8704,1572.79,-469.218,60.259,-43.3885,1572.79,-469.218,60.259,-43.3885
995,1087.32,16.4266,1475.19,-387.873,53.3548,-36.9282,1475.19,-387.873,53.3548,-36.9282
1004,1024.83,16.0945,1386.16,-361.333,44.3128,-28.2183,1386.16,-361.333,44.3128,-28.2183
1013,1079.48,15.9247,1306.73,-227.247,33.4878,-17.5631,1306.73,-227.247,33.4878,-17.5631
1022,1032.41,15.8985,1237.99,-205.58,21.3131,-5.4146,1237.99,-205.58,21.3131,-5.4146
1031,1040.79,15.9308,1180.58,-139.791,8.30263,7.62814,1180.58,-139.791,8.30263,7.62814
1040,1055.91,16.0833,1135.09,-79.1866,-5.19176,21.2751,1135.09,-79.1866,-5.19176,21.2751
1049,1081.98,16.3374,1101.73,-19.7479,-18.7846,35.1219,1101.73,-19.7479,-18.7846,35.1219
1058,1129.81,16.5736,1080.63,49.1828,-32.2104,48.784,1080.63,49.1828,-32.2104,48.784
1067,1122.39,16.8365,1070.71,51.6804,-45.0528,61.8893,1070.71,51.6804,-45.0528,61.8893
1076,1153.29,17.1267,1070.64,82.6469,-56.899,74.0257,1070.64,82.6469,-56.899,74.0257
1085,1217.71,17.4098,1079.11,138.6,-67.4121,84.8219,1079.11,138.6,-67.4121,84.8219
1094,1216.98,17.6288,1094.95,122.03,-76.307,93.9358,1094.95,122.03,-76.307,93.9358
1103,1211.44,17.8283,1117.2,94.2347,-83.3753,101.204,1117.2,94.2347,-83.3753,101.204
1112,1213.36,17.9199,1144.51,68.8524,-88.4901,106.41,1144.51,68.8524,-88.4901,106.41
1121,1246.29,17.9285,1174.76,71.536,-91.6284,109.557,1174.76,71.536,-91.6284,109.557
1130,1237.54,17.9316,1205.95,31.588,-92.7932,110.725,1205.95,31.588,-92.7932,110.725
1139,1215.83,17.817,1236.48,-20.649,-92.0143,109.831,1236.48,-20.649,-92.0143,109.831
1148,1212.52,17.653,1264.9,-52.3801,-89.3154,106.968,1264.9,-52.3801,-89.3154,106.968
1157,1220.58,17.4137,1290.04,-69.4552,-84.7455,102.159,1290.04,-69.4552,-84.7455,102.159
1166,1159.29,17.0738,1310.85,-151.554,-78.5716,95.6454,1310.85,-151.554,-78.5716,95.6454
1175,1143.31,16.7064,1326.34,-183.031,-71.1411,87.8476,1326.34,-183.031,-71.1411,87.8476
1184,1136.56,16.2877,1335.72,-199.158,-62.7659,79.0535,1335.72,-199.158,-62.7659,79.0535
1193,1086.25,15.798,1338.26,-252.01,-53.7154,69.5134,1338.26,-252.01,-53.7154,69.5134
1202,1005.41,15.6192,1333.44,-328.033,-44.2075,59.8266,1333.44,-328.033,-44.2075,59.8266
1211,975.189,15.0725,1321.11,-345.92,-34.4897,49.5622,1321.11,-345.92,-34.4897,49.5622
1220,970.73,14.5429,1301.9,-331.168,-24.9297,39.4726,1301.9,-331.168,-24.9297,39.4726
1229,906.514,14.0551,1276.48,-369.963,-15.8681,29.9232,1276.48,-369.963,-15.8681,29.9232
1238,895.506,13.5898,1245.48,-349.976,-7.5843,21.1741,1245.48,-349.976,-7.5843,21.1741
1247,860.053,13.1409,1209.39,-349.335,-0.317866,13.4588,1209.39,-349.335,-0.317866,13.4588
1256,805.618,12.7338,1168.61,-362.993,5.73841,6.99536,1168.61,-362.993,5.73841,6.99536
1265,777.489,12.3852,1124.3,-346.807,10.4667,1.91848,1124.3,-346.807,10.4667,1.91848
1274,770.016,12.0958,1077.93,-307.91,13.7929,-1.69708,1077.93,-307.91,13.7929,-1.69708
1283,736.545,11.9242,1030.81,-294.269,15.6645,-3.74029,1030.81,-294.269,15.6645,-3.74029
1292,758.18,11.7413,984.042,-225.861,16.0382,-4.29697,984.042,-225.861,16.0382,-4.29697
