ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_LambdaCDM_tt,residual_LambdaCDM_tt,Dl_LambdaCDM_te,residual_LambdaCDM_te,Dl_LambdaCDM_ee,residual_LambdaCDM_ee
32,1097.01,1.51224,0.0643557,0.099742,1096.91,0.000393656,1.51184,9.15635e-06,0.0643466,0.099742,1096.91,0.000393656,1.51184,9.15635e-06,0.0643466
37,1180.26,3.11711,0.0649424,0,1180.26,0,3.11711,0,0.0649424,0,1180.26,0,3.11711,0,0.0649424
42,1426.97,0.820244,0.0699042,-0.0234076,1426.99,-0.00219004,0.822434,-1.07767e-05,0.069915,-0.0234076,1426.99,-0.00219004,0.822434,-1.07767e-05,0.069915
47,1364.66,1.07013,0.141281,0.0764282,1364.58,0.00163793,1.06849,1.3272e-05,0.141267,0.0764282,1364.58,0.00163793,1.06849,1.3272e-05,0.141267
52,1329.06,1.08312,0.146964,0.150975,1328.91,-0.00297628,1.08609,-8.65672e-06,0.146973,0.150975,1328.91,-0.00297628,1.08609,-8.65672e-06,0.146973
57,1607.2,-3.82399,0.193005,-0.147331,1607.34,0.00243091,-3.82642,-1.16193e-06,0.193006,-0.147331,1607.34,0.00243091,-3.82642,-1.16193e-06,0.193006
62,1663.41,-4.29778,0.296409,0.0294923,1663.38,-0.000695853,-4.29708,-1.0828e-06,0.29641,0.0294923,1663.38,-0.000695853,-4.29708,-1.0828e-06,0.29641
67,1838.4,-2.04066,0.331388,0.0478434,1838.36,-0.000760318,-2.0399,8.36344e-06,0.33138,0.0478434,1838.36,-0.000760318,-2.0399,8.36344e-06,0.33138
72,1974.24,-8.54866,0.356963,-0.249747,1974.49,0.00263696,-8.5513,-1.36515e-05,0.356977,-0.249747,1974.49,0.00263696,-8.5513,-1.36515e-05,0.356977
77,1765.67,-7.23417,0.448396,0.230715,1765.44,-0.00208925,-7.23208,4.47156e-06,0.448391,0.230715,1765.44,-0.00208925,-7.23208,4.47156e-06,0.448391
82,2168.04,-9.89267,0.522364,-0.0819951,2168.12,0.000786238,-9.89345,-4.37327e-07,0.522364,-0.0819951,2168.12,0.000786238,-9.89345,-4.37327e-07,0.522364
87,2330.99,-12.7208,0.489592,0.0957201,2330.9,-0.000857815,-12.72,-1.8665e-06,0.489594,0.0957201,2330.9,-0.000857815,-12.72,-1.8665e-06,0.489594
92,2446.65,-19.2047,0.789127,-0.175906,2446.83,0.00237758,-19.2071,-3.10829e-06,0.78913,-0.175906,2446.83,0.00237758,-19.2071,-3.10829e-06,0.78913
97,2484.46,-19.0476,0.57472,-0.570483,2485.03,0.00880386,-19.0564,-2.30636e-05,0.574743,-0.570483,2485.03,0.00880386,-19.0564,-2.30636e-05,0.574743
104,2951.15,-28.1287,0.830793,-0.443582,2951.6,0.0079049,-28.1366,-4.7017e-05,0.83084,-0.443582,2951.6,0.0079049,-28.1366,-4.7017e-05,0.83084
113,3221.96,-31.7919,0.924375,0.106202,3221.86,-0.00316061,-31.7888,9.18462e-05,0.924283,0.106202,3221.86,-0.00316061,-31.7888,9.18462e-05,0.924283
122,3382.73,-35.701,1.11192,0.145832,3382.58,-0.00484653,-35.6961,0.000185986,1.11173,0.145832,3382.58,-0.00484653,-35.6961,0.000185986,1.11173
131,3592.1,-41.5613,1.10666,-0.0451485,3592.14,0.000411834,-41.5617,8.92278e-06,1.10665,-0.0451485,3592.14,0.000411834,-41.5617,8.92278e-06,1.10665
140,4229.84,-43.6625,1.09668,-0.378841,4230.22,0.00359052,-43.6661,0.000191952,1.09649,-0.378841,4230.22,0.00359052,-43.6661,0.000191952,1.09649
149,4251.39,-45.0365,1.00578,-0.0365614,4251.43,0.001607,-45.0381,-2.31155e-05,1.0058,-0.0365614,4251.43,0.001607,-45.0381,-2.31155e-05,1.0058
158,4778.71,-49.241,1.07943,-0.00755955,4778.72,-0.0207779,-49.2202,0.000670342,1.07876,-0.00755955,4778.72,-0.0207779,-49.2202,0.000670342,1.07876
167,4844.8,-45.9645,0.855441,0.192823,4844.6,-0.0227521,-45.9417,0.000555694,0.854885,0.192823,4844.6,-0.0227521,-45.9417,0.000555694,0.854885
176,5120.63,-43.3901,0.96559,-0.0367561,5120.66,0.0020365,-43.3921,3.57439e-05,0.965554,-0.0367561,5120.66,0.0020365,-43.3921,3.57439e-05,0.965554
185,5373.97,-30.3906,0.835251,-0.471904,5374.44,0.0134336,-30.404,0.00114742,0.834104,-0.471904,5374.44,0.0134336,-30.404,0.00114742,0.834104
194,5542.7,-18.1436,0.793541,-0.651172,5543.35,0.0222999,-18.1659,0.00122681,0.792314,-0.651172,5543.35,0.0222999,-18.1659,0.00122681,0.792314
203,5446.22,-7.21464,0.694054,0.799415,5445.42,-0.0318173,-7.18282,-0.000959749,0.695014,0.799415,5445.42,-0.0318173,-7.18282,-0.000959749,0.695014
212,5636.34,2.53847,0.877642,2.98778,5633.35,-0.163752,2.70222,-0.00410277,0.881745,2.98778,5633.35,-0.163752,2.70222,-0.00410277,0.881745
221,5816.48,17.9047,0.874199,4.64388,5811.84,-0.264875,18.1696,-0.00538847,0.879587,4.64388,5811.84,-0.264875,18.1696,-0.00538847,0.879587
230,5684.66,26.6053,1.23818,4.46938,5680.19,-0.276418,26.8817,-0.00320378,1.24139,4.46938,5680.19,-0.276418,26.8817,-0.00320378,1.24139
239,5776.16,46.2991,1.78071,2.52534,5773.63,-0.19115,46.4902,0.00104398,1.77967,2.52534,5773.63,-0.19115,46.4902,0.00104398,1.77967
248,5435.47,50.6637,2.10983,0.254475,5435.21,-0.0390779,50.7028,0.00147343,2.10836,0.254475,5435.21,-0.0390779,50.7028,0.00147343,2.10836
257,5228,71.5358,3.13386,-0.0784512,5228.07,0.131761,71.404,-0.0106803,3.14454,-0.0784512,5228.07,0.131761,71.404,-0.0106803,3.14454
266,5090.29,86.4306,3.86066,0.651959,5089.64,0.246383,86.1842,-0.0265251,3.88719,0.651959,5089.64,0.246383,86.1842,-0.0265251,3.88719
275,5096.49,106.963,5.31265,1.50879,5094.98,0.259588,106.703,-0.0331327,5.34578,1.50879,5094.98,0.259588,106.703,-0.0331327,5.34578
284,4546.18,102.707,5.82483,1.58008,4544.6,0.166867,102.54,-0.0262375,5.85107,1.58008,4544.6,0.166867,102.54,-0.0262375,5.85107
293,4371.25,117.073,8.21385,0.956691,4370.29,0.0387393,117.034,-0.0102649,8.22412,0.956691,4370.29,0.0387393,117.034,-0.0102649,8.22412
302,3935.72,117.089,9.31107,-0.351444,3936.07,0.0122355,117.077,0.00121135,9.30985,-0.351444,3936.07,0.0122355,117.077,0.00121135,9.30985
311,3649.99,119.046,10.9594,-1.78548,3651.77,0.167392,118.879,-0.000510243,10.9599,-1.78548,3651.77,0.167392,118.879,-0.000510243,10.9599
320,3411.94,112.762,12.6384,-2.53822,3414.48,0.318681,112.443,-0.006749,12.6452,-2.53822,3414.48,0.318681,112.443,-0.006749,12.6452
329,3173.93,117.149,15.1816,-2.21505,3176.15,0.340172,116.809,-0.0113047,15.1929,-2.21505,3176.15,0.340172,116.809,-0.0113047,15.1929
338,2842.13,105.901,16.0657,-1.01561,2843.15,0.215128,105.685,-0.0111715,16.0769,-1.01561,2843.15,0.215128,105.685,-0.0111715,16.0769
347,2498.24,86.2064,16.2208,0.08049,2498.16,0.0456701,86.1607,-0.00378892,16.2246,0.08049,2498.16,0.0456701,86.1607,-0.00378892,16.2246
356,2358.31,79.8487,18.6902,-0.919064,2359.23,-0.0266972,79.8754,0.0114068,18.6788,-0.919064,2359.23,-0.0266972,79.8754,0.0114068,18.6788
365,2186.33,61.0311,18.5056,-2.8434,2189.17,0.0237206,61.0074,0.0290982,18.4765,-2.8434,2189.17,0.0237206,61.0074,0.0290982,18.4765
374,2038.68,46.4875,21.0827,-3.86761,2042.54,0.0869458,46.4005,0.0353831,21.0473,-3.86761,2042.54,0.0869458,46.4005,0.0353831,21.0473
383,1891.76,31.557,21.4257,-3.25068,1895.01,0.118409,31.4386,0.0266765,21.399,-3.25068,1895.01,0.118409,31.4386,0.0266765,21.399
392,1787.59,19.7448,22.3593,-1.36588,1788.95,0.086393,19.6584,0.00808488,22.3512,-1.36588,1788.95,0.086393,19.6584,0.00808488,22.3512
401,1734.58,-0.544681,21.1747,0.0702819,1734.51,-0.0155366,-0.529144,0.000371875,21.1743,0.0702819,1734.51,-0.0155366,-0.529144,0.000371875,21.1743
410,1738.05,-21.8916,21.0336,-0.181528,1738.24,-0.174279,-21.7173,0.0155549,21.0181,-0.181528,1738.24,-0.174279,-21.7173,0.0155549,21.0181
