ell,Dl_obs,Dl_lcdm,residual_lcdm,Dl_LambdaCDM,residual_LambdaCDM
1103,1211.44,1117.2,94.2347,1117.2,94.2347
1112,1213.36,1144.51,68.8524,1144.51,68.8524
1121,1246.29,1174.76,71.536,1174.76,71.536
1130,1237.54,1205.95,31.588,1205.95,31.588
1139,1215.83,1236.48,-20.649,1236.48,-20.649
1148,1212.52,1264.9,-52.3801,1264.9,-52.3801
1157,1220.58,1290.04,-69.4552,1290.04,-69.4552
1166,1159.29,1310.85,-151.554,1310.85,-151.554
1175,1143.31,1326.34,-183.031,1326.34,-183.031
1184,1136.56,1335.72,-199.158,1335.72,-199.158
1193,1086.25,1338.26,-252.01,1338.26,-252.01
1202,1005.41,1333.44,-328.033,1333.44,-328.033
1211,975.189,1321.11,-345.92,1321.11,-345.92
1220,970.73,1301.9,-331.168,1301.9,-331.168
1229,906.514,1276.48,-369.963,1276.48,-369.963
1238,895.506,1245.48,-349.976,1245.48,-349.976
1247,860.053,1209.39,-349.335,1209.39,-349.335
1256,805.618,1168.61,-362.993,1168.61,-362.993
1265,777.489,1124.3,-346.807,1124.3,-346.807
1274,770.016,1077.93,-307.91,1077.93,-307.91
1283,736.545,1030.81,-294.269,1030.81,-294.269
1292,758.18,984.042,-225.861,984.042,-225.861
1301,733.856,938.512,-204.655,938.512,-204.655
1310,712.532,895.025,-182.492,895.025,-182.492
1319,718.903,854.524,-135.621,854.524,-135.621
1328,723.408,817.855,-94.4471,817.855,-94.4471
1337,757.937,785.719,-27.7824,785.719,-27.7824
1346,737.666,758.709,-21.0427,758.709,-21.0427
1355,765.134,737.302,27.8326,737.302,27.8326
1364,776.923,721.569,55.3535,721.569,55.3535
1373,777.362,711.195,66.1668,711.195,66.1668
1382,773.981,705.864,68.1176,705.864,68.1176
1391,806.044,705.284,100.76,705.284,100.76
1400,830.177,709.29,120.887,709.29,120.887
1409,822.186,717.58,104.606,717.58,104.606
1418,818.106,729.177,88.9289,729.177,88.9289
1427,796.252,743.086,53.166,743.086,53.166
1436,803.463,758.408,45.055,758.408,45.055
1445,798.655,774.373,24.2815,774.373,24.2815
1454,773.833,790.334,-16.5004,790.334,-16.5004
1463,762.183,805.646,-43.4625,805.646,-43.4625
1472,749.532,819.456,-69.9242,819.456,-69.9242
1481,738.185,831.022,-92.8365,831.022,-92.8365
1490,727.424,839.739,-112.314,839.739,-112.314
1499,701.642,845.024,-143.382,845.024,-143.382
1512,655.678,845.766,-190.088,845.766,-190.088
1529,588.39,834.375,-245.986,834.375,-245.986
1546,547.01,809.204,-262.194,809.204,-262.194
1563,503.657,770.438,-266.781,770.438,-266.781
1580,468.039,721.326,-253.286,721.326,-253.286
1597,429.111,665.94,-236.829,665.94,-236.829
1614,407.925,607.335,-199.409,607.335,-199.409
1631,399.577,549.656,-150.08,549.656,-150.08
1648,389.097,496.913,-107.817,496.913,-107.817
1665,391.497,452.082,-60.5856,452.082,-60.5856
1682,385.396,416.651,-31.2549,416.651,-31.2549
1699,400.368,391.631,8.73656,391.631,8.73656
1716,393.039,377.602,15.4372,377.602,15.4372
1733,407.61,372.71,34.9003,372.71,34.9003
1750,377.716,374.926,2.78994,374.926,2.78994
1767,379.019,382.509,-3.48968,382.509,-3.48968
1784,377.36,392.438,-15.0788,392.438,-15.0788
1801,358.796,401.896,-43.1003,401.896,-43.1003
1818,342.446,408.71,-66.2634,408.71,-66.2634
1835,313.006,411.372,-98.3657,411.372,-98.3657
1852,305.378,408.565,-103.187,408.565,-103.187
1869,276.147,399.503,-123.356,399.503,-123.356
1886,265.911,385.099,-119.188,385.099,-119.188
1903,249.92,366.118,-116.198,366.118,-116.198
1920,257.96,343.472,-85.5119,343.472,-85.5119
1937,245.342,319.212,-73.8697,319.212,-73.8697
1954,231.313,295.106,-63.7935,295.106,-63.7935
1971,229.279,272.571,-43.2926,272.571,-43.2926
1988,225.825,252.89,-27.0655,252.89,-27.0655
2005,240.086,237.251,2.83563,237.251,2.83563
2030,233.983,222.516,11.4667,222.516,11.4667
2063,216.247,216.7,-0.453504,216.7,-0.453504
2096,204.908,221.571,-16.6623,221.571,-16.6623
2129,200.092,228.663,-28.5707,228.663,-28.5707
2162,168.762,230.174,-61.4116,230.174,-61.4116
2195,140.144,221.58,-81.4361,221.58,-81.4361
2228,129.223,202.479,-73.2556,202.479,-73.2556
2261,118.304,176.909,-58.6051,176.909,-58.6051
2294,118.51,150.233,-31.7237,150.233,-31.7237
2327,115.407,128.142,-12.7346,128.142,-12.7346
2360,114.999,113.641,1.35731,113.641,1.35731
2393,126.918,107.234,19.6837,107.234,19.6837
2426,90.007,106.582,-16.5746,106.582,-16.5746
2459,83.9457,107.988,-24.0423,107.988,-24.0423
2492,78.7067,107.981,-29.274,107.981,-29.274
