Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_LambdaCDM,residual_LambdaCDM
SDSS18965,0.20466,40.276416,0.115117,40.23482,0.041596498,40.23482,0.041596498
SDSS17801,0.20515,40.440593,0.131465,40.24065,0.19994294,40.24065,0.19994294
SDSS20581,0.20554,40.22826,0.114345,40.245282,-0.017021532,40.245282,-0.017021532
SDSS19913,0.20557,40.31485,0.114899,40.245638,0.069212636,40.245638,0.069212636
SDSS13152,0.2056,39.974825,0.113718,40.245993,-0.27116823,40.245993,-0.27116823
SDSS15201,0.20704,40.634193,0.117479,40.26302,0.37117281,40.26302,0.37117281
SDSS13641,0.20852,40.302019,0.114386,40.280406,0.021613172,40.280406,0.021613172
SDSS15467,0.2091,40.214833,0.115699,40.287189,-0.072355965,40.287189,-0.072355965
SDSS13425,0.20953,40.223527,0.131221,40.292206,-0.068679058,40.292206,-0.068679058
SDSS16473,0.2096,40.348956,0.115465,40.293022,0.055934023,40.293022,0.055934023
04D1dc,0.210032,40.191993,0.085765,40.298052,-0.10605912,40.298052,-0.10605912
SDSS19425,0.21025,40.313695,0.128931,40.300586,0.013108448,40.300586,0.013108448
SDSS15259,0.21054,40.196013,0.11424,40.303954,-0.10794078,40.303954,-0.10794078
SDSS17875,0.21075,40.574565,0.116152,40.30639,0.26817529,40.30639,0.26817529
SDSS14157,0.21082,40.119522,0.11447,40.307202,-0.18767983,40.307202,-0.18767983
SDSS7847,0.21134,40.143408,0.115658,40.313222,-0.16981393,40.313222,-0.16981393
SDSS6933,0.21163,40.203016,0.114069,40.316574,-0.11355812,40.316574,-0.11355812
SDSS2330,0.21179,40.671436,0.124547,40.318422,0.35301378,40.318422,0.35301378
SDSS18466,0.21226,40.271235,0.115112,40.323841,-0.052606704,40.323841,-0.052606704
SDSS14331,0.2126,40.521942,0.116607,40.327755,0.19418746,40.327755,0.19418746
SDSS8495,0.21295,40.297362,0.121443,40.331778,-0.034415334,40.331778,-0.034415334
SDSS18927,0.21323,40.107522,0.117876,40.334992,-0.22746992,40.334992,-0.22746992
SDSS20364,0.21382,40.382593,0.11761,40.341751,0.04084234,40.341751,0.04084234
SDSS7473,0.21457,40.463576,0.114262,40.350319,0.11325712,40.350319,0.11325712
SDSS15203,0.21468,40.262821,0.114437,40.351573,-0.088751861,40.351573,-0.088751861
SDSS14019,0.21513,40.756464,0.120494,40.356698,0.39976561,40.356698,0.39976561
SDSS17435,0.21674,40.473257,0.115124,40.374954,0.098303336,40.374954,0.098303336
SDSS9467,0.21698,40.613772,0.124622,40.377664,0.23610799,40.377664,0.23610799
SDSS19008,0.21757,40.271699,0.11934,40.384317,-0.11261706,40.384317,-0.11261706
SDSS5533,0.21829,40.380716,0.114544,40.392412,-0.011696156,40.392412,-0.011696156
SDSS7512,0.21835,40.477375,0.116348,40.393085,0.084289977,40.393085,0.084289977
SDSS18940,0.21861,40.285682,0.114762,40.396002,-0.11032019,40.396002,-0.11032019
SDSS20144,0.21865,40.401512,0.11463,40.39645,0.0050620528,40.39645,0.0050620528
05D3kx,0.219462,40.373686,0.085341,40.405537,-0.031851469,40.405537,-0.031851469
SDSS19230,0.21955,40.107276,0.119543,40.40652,-0.29924436,40.40652,-0.29924436
SDSS13727,0.21971,40.455796,0.115514,40.408306,0.04748969,40.408306,0.04748969
SDSS15433,0.21976,40.441446,0.114935,40.408864,0.032581455,40.408864,0.032581455
SDSS16793,0.22058,40.296436,0.138465,40.417998,-0.12156158,40.417998,-0.12156158
SDSS15354,0.22068,40.239742,0.119891,40.419109,-0.17936729,40.419109,-0.17936729
SDSS15229,0.22256,40.52117,0.11527,40.439924,0.081246613,40.439924,0.081246613
SDSS14846,0.22328,40.469733,0.115872,40.447853,0.021880369,40.447853,0.021880369
SDSS13025,0.22351,40.551014,0.1168,40.45038,0.10063345,40.45038,0.10063345
SDSS19992,0.22452,40.735088,0.122907,40.461453,0.27363473,40.461453,0.27363473
SDSS19341,0.22667,40.418519,0.118938,40.484871,-0.066352773,40.484871,-0.066352773
SDSS13578,0.22668,40.458669,0.115846,40.48498,-0.026310859,40.48498,-0.026310859
SDSS21033,0.22786,40.461515,0.11565,40.497746,-0.036230687,40.497746,-0.036230687
SDSS3452,0.22893,40.514747,0.115979,40.509269,0.0054776321,40.509269,0.0054776321
SDSS13072,0.22916,40.489831,0.122097,40.51174,-0.021908551,40.51174,-0.021908551
SDSS12881,0.2316,40.399083,0.118789,40.53781,-0.1387266,40.53781,-0.1387266
SDSS12971,0.2338,40.542595,0.115605,40.561101,-0.018506204,40.561101,-0.018506204
SDSS17223,0.23381,40.522903,0.118911,40.561206,-0.038303072,40.561206,-0.038303072
SDSS16350,0.23472,40.520922,0.116813,40.570781,-0.049858746,40.570781,-0.049858746
SDSS13511,0.23646,40.839103,0.117789,40.588995,0.25010826,40.588995,0.25010826
SDSS17884,0.23782,40.637121,0.116252,40.603145,0.033975788,40.603145,0.033975788
SDSS15868,0.24102,40.788612,0.116005,40.63615,0.15246172,40.63615,0.15246172
SDSS13506,0.24179,40.643588,0.122422,40.644032,-0.00044319881,40.644032,-0.00044319881
SDSS19023,0.24185,40.693089,0.114848,40.644645,0.048444464,40.644645,0.048444464
SDSS20111,0.24348,40.68023,0.118064,40.66125,0.018979756,40.66125,0.018979756
SDSS20088,0.24352,40.70372,0.113403,40.661656,0.042063524,40.661656,0.042063524
SDSS3377,0.24448,40.491543,0.115275,40.671387,-0.17984421,40.671387,-0.17984421
SDSS19990,0.24495,40.763035,0.119541,40.676139,0.08689666,40.676139,0.08689666
SDSS18486,0.2454,40.546602,0.114389,40.68068,-0.13407765,40.68068,-0.13407765
SDSS17464,0.24555,40.240038,0.116206,40.682192,-0.44215397,40.682192,-0.44215397
SDSS20039,0.24558,40.592469,0.118174,40.682494,-0.090025256,40.682494,-0.090025256
SDSS12977,0.24562,40.611615,0.115338,40.682897,-0.071282524,40.682897,-0.071282524
SDSS15466,0.24568,40.391281,0.120181,40.683502,-0.29222023,40.683502,-0.29222023
SDSS13835,0.24625,40.705764,0.114566,40.689237,0.01652751,40.689237,0.01652751
SDSS16352,0.24647,40.623678,0.115433,40.691447,-0.067769315,40.691447,-0.067769315
05D3mq,0.246492,40.711377,0.086206,40.691668,0.019708926,40.691668,0.019708926
SDSS15301,0.2466,40.347858,0.114128,40.692753,-0.34489502,40.692753,-0.34489502
SDSS15219,0.24695,40.814013,0.114812,40.696264,0.11774948,40.696264,0.11774948
SDSS15161,0.2485,40.630674,0.117491,40.711758,-0.081084465,40.711758,-0.081084465
SDSS3451,0.24851,40.514398,0.116195,40.711858,-0.19745992,40.711858,-0.19745992
SDSS16213,0.24857,40.767362,0.115731,40.712456,0.054905613,40.712456,0.054905613
SDSS17552,0.24862,40.775706,0.11712,40.712954,0.062752093,40.712954,0.062752093
SDSS15504,0.24947,40.842596,0.131353,40.72141,0.12118569,40.72141,0.12118569
SDSS3199,0.24961,41.058299,0.118164,40.7228,0.33549909,40.7228,0.33549909
SDSS16106,0.24973,40.698314,0.120462,40.723991,-0.025677536,40.723991,-0.025677536
SDSS13689,0.25012,40.88833,0.116581,40.727858,0.16047156,40.727858,0.16047156
SDSS5717,0.25037,40.92885,0.115791,40.730334,0.19851593,40.730334,0.19851593
06D3gn,0.250498,40.733628,0.086012,40.731601,0.0020265528,40.731601,0.0020265528
SDSS13655,0.25104,40.793163,0.119872,40.736959,0.056203799,40.736959,0.056203799
SDSS5736,0.25174,40.702304,0.115824,40.743863,-0.04155868,40.743863,-0.04155868
SDSS15440,0.25205,40.595558,0.11822,40.746915,-0.15135733,40.746915,-0.15135733
SDSS9032,0.25249,40.721733,0.126796,40.751241,-0.029507134,40.751241,-0.029507134
SDSS14481,0.25351,41.072086,0.123692,40.761242,0.31084423,40.761242,0.31084423
SDSS18325,0.25356,40.804462,0.120869,40.761731,0.04273051,40.761731,0.04273051
SDSS9457,0.25539,40.747194,0.130119,40.77958,-0.032385815,40.77958,-0.032385815
SDSS1112,0.25611,40.833795,0.12482,40.78657,0.047224382,40.78657,0.047224382
SDSS17340,0.25617,40.628367,0.119755,40.787152,-0.15878513,40.787152,-0.15878513
SDSS12972,0.25655,40.873953,0.12587,40.790833,0.083120218,40.790833,0.083120218
SDSS19207,0.25721,40.801779,0.121726,40.797215,0.0045636196,40.797215,0.0045636196
SDSS6108,0.258,40.778624,0.117106,40.804834,-0.026210637,40.804834,-0.026210637
SDSS8046,0.25833,40.827869,0.119891,40.808011,0.019858265,40.808011,0.019858265
SDSS2017,0.26014,41.124314,0.122802,40.825367,0.29894725,40.825367,0.29894725
SDSS1253,0.26059,40.752157,0.120435,40.829665,-0.077508121,40.829665,-0.077508121
SDSS14298,0.2607,40.993775,0.117389,40.830715,0.1630604,40.830715,0.1630604
05D1hk,0.261984,40.715093,0.08739,40.842936,-0.12784338,40.842936,-0.12784338
04D3ez,0.263487,40.730792,0.08555,40.857173,-0.126381,40.857173,-0.126381
SDSS2422,0.26349,41.119147,0.115945,40.857201,0.2619458,40.857201,0.2619458
SDSS20345,0.26357,40.674107,0.11624,40.857957,-0.18384958,40.857957,-0.18384958
SDSS2943,0.26405,40.834936,0.117962,40.862486,-0.027550275,40.862486,-0.027550275
SDSS13099,0.26451,40.951835,0.119638,40.86682,0.085014951,40.86682,0.085014951
SDSS6315,0.26576,40.814381,0.114629,40.878562,-0.064181716,40.878562,-0.064181716
SDSS18463,0.26665,40.889717,0.120817,40.886892,0.0028251399,40.886892,0.0028251399
SDSS19002,0.2671,40.85367,0.116111,40.891094,-0.037423884,40.891094,-0.037423884
SDSS19702,0.26821,40.966273,0.121714,40.901431,0.064842259,40.901431,0.064842259
06D3fp,0.268489,40.852083,0.08555,40.904023,-0.051939389,40.904023,-0.051939389
SDSS18945,0.26856,41.066451,0.118128,40.904682,0.16176896,40.904682,0.16176896
03D4cj,0.268624,40.767919,0.086242,40.905276,-0.13735702,40.905276,-0.13735702
SDSS6192,0.27044,40.897172,0.118685,40.92208,-0.024907832,40.92208,-0.024907832
SDSS15287,0.27258,40.88661,0.11421,40.94175,-0.055139982,40.94175,-0.055139982
SDSS15356,0.27447,40.791311,0.118156,40.959004,-0.16769355,40.959004,-0.16769355
SDSS4046,0.27544,40.925407,0.119548,40.967818,-0.04241122,40.967818,-0.04241122
SDSS16072,0.27549,40.922313,0.127184,40.968271,-0.04595879,40.968271,-0.04595879
SDSS12869,0.27653,40.822597,0.126014,40.977688,-0.15509102,40.977688,-0.15509102
SDSS4000,0.27745,41.090428,0.128283,40.985991,0.10443735,40.985991,0.10443735
SDSS17791,0.27749,41.653409,0.136665,40.986351,0.66705751,40.986351,0.66705751
SDSS18485,0.27822,41.035649,0.117336,40.99292,0.042728227,40.99292,0.042728227
SDSS5957,0.27852,41.099812,0.118155,40.995616,0.10419666,40.995616,0.10419666
SDSS6196,0.27916,40.691538,0.11948,41.001357,-0.30981871,41.001357,-0.30981871
SDSS14261,0.27952,40.840327,0.121901,41.00458,-0.16425383,41.00458,-0.16425383
SDSS17809,0.28051,40.89843,0.122739,41.013427,-0.11499703,41.013427,-0.11499703
SDSS15584,0.28111,40.922902,0.11753,41.018774,-0.095872081,41.018774,-0.095872081
SDSS20227,0.28243,41.094486,0.11747,41.030502,0.06398367,41.030502,0.06398367
06D3dt,0.28251,41.187695,0.085709,41.031211,0.15648395,41.031211,0.15648395
SDSS20040,0.28351,40.987093,0.118366,41.04006,-0.052967105,41.04006,-0.052967105
03D4ag,0.28361,40.95229,0.086683,41.040944,-0.08865404,41.040944,-0.08865404
SDSS19128,0.28543,41.284683,0.119195,41.056971,0.22771246,41.056971,0.22771246
SDSS2165,0.28662,41.348336,0.11978,41.0674,0.28093628,41.0674,0.28093628
SDSS13757,0.28742,41.233155,0.118845,41.074388,0.15876663,41.074388,0.15876663
SDSS16402,0.28845,40.616348,0.116661,41.08336,-0.46701186,41.08336,-0.46701186
