name,redshift,observable_type,value,error,rs_fiducial_Mpc,pred_lcdm,chi2_contrib_lcdm,pred_USMFv2,chi2_contrib_USMFv2
6dFGS z=0.106,0.106,DV_over_rs,2.976,0.133,,2.87388,0.589529,2.26364,28.6873
SDSS MGS z=0.15,0.15,DV_over_rs,4.48,0.168,,3.99361,8.38214,3.12022,65.5116
BOSS DR12 Consensus z=0.38,0.38,DV_over_rs,9.1758,0.1453,,9.16769,0.00311788,6.98354,227.643
BOSS DR12 Consensus z=0.51,0.51,DV_over_rs,12.3631,0.1341,,11.6251,30.2889,8.81051,701.83
BOSS DR12 Consensus z=0.61,0.61,DV_over_rs,14.3097,0.1345,,13.3127,54.9471,10.0811,988.415
WiggleZ z=0.44,0.44,DV_over_rs,11.54,0.56,,10.3408,4.58554,7.85363,43.3334
WiggleZ z=0.60,0.6,DV_over_rs,14.94,0.68,,13.1513,6.91902,9.95878,53.6604
WiggleZ z=0.73,0.73,DV_over_rs,16.92,0.58,,15.1305,9.51955,11.4764,88.0885
eBOSS DR14 Quasar z=1.52,1.52,DV_over_rs,25.94,1.14,,23.1151,6.14049,18.3149,44.7383
eBOSS DR16 Quasar z=1.48 (DM/rs),1.48,DM_over_rs,30.35,0.84,,26.9284,16.5919,20.7493,130.63
eBOSS DR16 Quasar z=1.48 (DH/rs),1.48,DH_over_rs,13.26,0.53,,11.0878,16.7976,9.21177,58.3416
eBOSS DR16 Lyman-alpha Combined z=2.334 (DM/rs),2.334,DM_over_rs,37.5,1.1,,34.6134,6.88645,27.5096,82.4867
eBOSS DR16 Lyman-alpha Combined z=2.334 (DH/rs),2.334,DH_over_rs,8.88,0.19,,7.31939,67.4658,6.85219,113.906
SDSS DR7 LRG z=0.35,0.35,DV_over_rs,8.88,0.17,,8.55494,3.6562,6.52962,191.151
SDSS DR7 LRG z=0.2,0.2,DV_over_rs,5.249,0.168,,5.2142,0.0429177,4.04237,51.5854
BOSS DR11 LOWZ z=0.32,0.32,DV_over_rs,8.473,0.167,149.28,7.9242,10.7992,6.06224,208.39
BOSS DR11 CMASS z=0.57,0.57,DV_over_rs,13.778,0.134,149.28,12.6575,69.9161,9.5856,978.847
BOSS DR11 Quasar-Lyα Cross z=2.36 (DM/rs),2.36,DM_over_rs,10.8,0.4,,34.8026,3600.79,27.687,1782.32
BOSS DR11 Quasar-Lyα Cross z=2.36 (DH/rs),2.36,DH_over_rs,9,0.3,,7.23802,34.4952,6.79917,53.8186
eBOSS DR14 Quasar-Lyα Cross z=2.35 (DM/rs),2.35,DM_over_rs,36.3,1.8,,34.7301,0.760692,27.6189,23.2595
eBOSS DR14 Quasar-Lyα Cross z=2.35 (DH/rs),2.35,DH_over_rs,9.2,0.36,,7.26914,28.7671,6.81946,43.7266
eBOSS DR14 Lyα Auto z=2.34 (DM/rs),2.34,DM_over_rs,37.41,1.86,,34.6572,2.19035,27.5506,28.0978
eBOSS DR14 Lyα Auto z=2.34 (DH/rs),2.34,DH_over_rs,8.86,0.29,,7.30048,28.9192,6.83988,48.5243
eBOSS DR16 ELG z=0.845,0.845,DV_over_rs,18.23,0.58,,16.6841,7.10451,12.7002,90.901
DES Y1 Angular BAO z=0.81,0.81,DM_over_rs,10.65,0.49,,17.8329,214.885,13.5547,35.1399
