name,redshift,observable_type,value,error,rs_fiducial_Mpc,pred_lcdm,chi2_contrib_lcdm,pred_USMFv2,chi2_contrib_USMFv2
6dFGS z=0.106,0.106,DV_over_rs,2.976,0.133,,3.13572,1.44209,2.16211,37.4481
SDSS MGS z=0.15,0.15,DV_over_rs,4.48,0.168,,4.35949,0.51456,2.98026,79.6915
BOSS DR12 Consensus z=0.38,0.38,DV_over_rs,9.1758,0.1453,,10.0294,34.5126,6.67029,297.346
BOSS DR12 Consensus z=0.51,0.51,DV_over_rs,12.3631,0.1341,,12.7308,7.51717,8.41531,866.661
BOSS DR12 Consensus z=0.61,0.61,DV_over_rs,14.3097,0.1345,,14.5889,4.31,9.62895,1211.12
WiggleZ z=0.44,0.44,DV_over_rs,11.54,0.56,,11.3184,0.15666,7.50135,52.0111
WiggleZ z=0.60,0.6,DV_over_rs,14.94,0.68,,14.4111,0.604859,9.51208,63.7162
WiggleZ z=0.73,0.73,DV_over_rs,16.92,0.58,,16.5929,0.317975,10.9616,105.536
eBOSS DR14 Quasar z=1.52,1.52,DV_over_rs,25.94,1.14,,25.4214,0.206946,17.4934,54.8977
eBOSS DR16 Quasar z=1.48 (DM/rs),1.48,DM_over_rs,30.35,0.84,,29.5601,0.884327,19.8186,157.185
eBOSS DR16 Quasar z=1.48 (DH/rs),1.48,DH_over_rs,13.26,0.53,,12.2363,3.73064,8.79858,70.859
eBOSS DR16 Lyman-alpha Combined z=2.334 (DM/rs),2.334,DM_over_rs,37.5,1.1,,38.0472,0.247451,26.2756,104.121
eBOSS DR16 Lyman-alpha Combined z=2.334 (DH/rs),2.334,DH_over_rs,8.88,0.19,,8.08808,17.3721,6.54483,151.053
SDSS DR7 LRG z=0.35,0.35,DV_over_rs,8.88,0.17,,9.35665,7.86145,6.23673,241.76
SDSS DR7 LRG z=0.2,0.2,DV_over_rs,5.249,0.168,,5.69482,7.04195,3.86105,68.2539
BOSS DR11 LOWZ z=0.32,0.32,DV_over_rs,8.473,0.167,149.28,8.6645,1.315,5.79032,258.052
BOSS DR11 CMASS z=0.57,0.57,DV_over_rs,13.778,0.134,149.28,13.8673,0.444048,9.15564,1189.92
BOSS DR11 Quasar-Lyα Cross z=2.36 (DM/rs),2.36,DM_over_rs,10.8,0.4,,38.2563,4711.56,26.4451,1529.81
BOSS DR11 Quasar-Lyα Cross z=2.36 (DH/rs),2.36,DH_over_rs,9,0.3,,7.99835,11.1478,6.49419,69.7677
eBOSS DR14 Quasar-Lyα Cross z=2.35 (DM/rs),2.35,DM_over_rs,36.3,1.8,,38.1762,1.08641,26.3801,30.3718
eBOSS DR14 Quasar-Lyα Cross z=2.35 (DH/rs),2.35,DH_over_rs,9.2,0.36,,8.03267,10.5143,6.51357,55.6859
eBOSS DR14 Lyα Auto z=2.34 (DM/rs),2.34,DM_over_rs,37.41,1.86,,38.0957,0.135889,26.3148,35.5828
eBOSS DR14 Lyα Auto z=2.34 (DH/rs),2.34,DH_over_rs,8.86,0.29,,8.06723,7.47303,6.53307,64.3826
eBOSS DR16 ELG z=0.845,0.845,DV_over_rs,18.23,0.58,,18.3076,0.0179112,12.1305,110.594
DES Y1 Angular BAO z=0.81,0.81,DM_over_rs,10.65,0.49,,19.5353,328.819,12.9467,21.9687
