ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_USMFv2_tt,residual_USMFv2_tt,Dl_USMFv2_te,residual_USMFv2_te,Dl_USMFv2_ee,residual_USMFv2_ee
32,1097.01,1.51224,0.0643557,1198.82,-101.812,2.73226,-1.22003,0.0356012,0.0287545,1390.89,-293.879,3.69617,-2.18393,0.0399495,0.0244062
37,1180.26,3.11711,0.0649424,1269.78,-89.5201,2.84053,0.276581,0.0588438,0.00609856,1460.65,-280.385,4.10513,-0.98802,0.0668405,-0.00189812
42,1426.97,0.820244,0.0699042,1343.06,83.9103,2.63103,-1.81079,0.0899056,-0.0200014,1529.83,-102.859,4.23709,-3.41685,0.103594,-0.0336899
47,1364.66,1.07013,0.141281,1417.6,-52.942,2.11081,-1.04068,0.130069,0.0112116,1598.77,-234.114,4.02899,-2.95887,0.151404,-0.010123
52,1329.06,1.08312,0.146964,1494.59,-165.525,1.25295,-0.169832,0.179418,-0.0324541,1667.35,-338.294,3.45208,-2.36896,0.211285,-0.0643207
57,1607.2,-3.82399,0.193005,1574.28,32.9183,0.02109,-3.84508,0.237922,-0.0449171,1735.85,-128.653,2.50277,-6.32676,0.283923,-0.0909188
62,1663.41,-4.29778,0.296409,1658.22,5.19573,-1.6245,-2.67328,0.305591,-0.00918207,1805.94,-142.522,1.11188,-5.40966,0.369375,-0.0729665
67,1838.4,-2.04066,0.331388,1746.46,91.9467,-3.61721,1.57655,0.381704,-0.050316,1878.15,-39.7457,-0.731092,-1.30957,0.467122,-0.135734
72,1974.24,-8.54866,0.356963,1839.36,134.879,-5.96422,-2.58444,0.464807,-0.107843,1952.73,21.5146,-3.0186,-5.53006,0.577284,-0.22032
77,1765.67,-7.23417,0.448396,1938.78,-173.11,-8.65145,1.41728,0.553675,-0.105279,2031.53,-265.864,-5.73361,-1.50056,0.698441,-0.250045
82,2168.04,-9.89267,0.522364,2044.24,123.794,-11.6186,1.72589,0.646345,-0.123981,2113.97,54.0668,-8.86703,-1.02563,0.828902,-0.306538
87,2330.99,-12.7208,0.489592,2156.26,174.733,-14.8092,2.08843,0.740746,-0.251154,2201.82,129.173,-12.3928,-0.328004,0.967055,-0.477463
