ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_LambdaCDM_tt,residual_LambdaCDM_tt,Dl_LambdaCDM_te,residual_LambdaCDM_te,Dl_LambdaCDM_ee,residual_LambdaCDM_ee
32,1097.01,1.51224,0.0643557,1140.97,-43.9564,1.94433,-0.43209,0.0275909,0.0367648,1140.97,-43.9564,1.94433,-0.43209,0.0275909,0.0367648
37,1180.26,3.11711,0.0649424,1236.53,-56.2613,1.87862,1.23848,0.0453936,0.0195488,1236.53,-56.2613,1.87862,1.23848,0.0453936,0.0195488
42,1426.97,0.820244,0.0699042,1338.53,88.443,1.55676,-0.736516,0.069509,0.000395163,1338.53,88.443,1.55676,-0.736516,0.069509,0.000395163
47,1364.66,1.07013,0.141281,1445.39,-80.7345,0.936642,0.133487,0.100734,0.0405462,1445.39,-80.7345,0.936642,0.133487,0.100734,0.0405462
52,1329.06,1.08312,0.146964,1557.81,-228.748,-0.0272589,1.11038,0.139459,0.0075047,1557.81,-228.748,-0.0272589,1.11038,0.139459,0.0075047
57,1607.2,-3.82399,0.193005,1675.38,-68.1813,-1.32221,-2.50179,0.185969,0.00703581,1675.38,-68.1813,-1.32221,-2.50179,0.185969,0.00703581
62,1663.41,-4.29778,0.296409,1799.23,-135.813,-2.98772,-1.31006,0.240123,0.0562857,1799.23,-135.813,-2.98772,-1.31006,0.240123,0.0562857
67,1838.4,-2.04066,0.331388,1929.01,-90.606,-5.00109,2.96042,0.301564,0.0298237,1929.01,-90.606,-5.00109,2.96042,0.301564,0.0298237
72,1974.24,-8.54866,0.356963,2064.67,-90.4323,-7.35208,-1.19658,0.369665,-0.0127013,2064.67,-90.4323,-7.35208,-1.19658,0.369665,-0.0127013
77,1765.67,-7.23417,0.448396,2207.7,-442.03,-10.0327,2.79855,0.443526,0.00486967,2207.7,-442.03,-10.0327,2.79855,0.443526,0.00486967
82,2168.04,-9.89267,0.522364,2357.44,-189.402,-12.9964,3.10371,0.521864,0.000499879,2357.44,-189.402,-12.9964,3.10371,0.521864,0.000499879
87,2330.99,-12.7208,0.489592,2514.03,-183.036,-16.2025,3.48172,0.603285,-0.113693,2514.03,-183.036,-16.2025,3.48172,0.603285,-0.113693
92,2446.65,-19.2047,0.789127,2676.26,-229.611,-19.5973,0.392625,0.686229,0.102898,2676.26,-229.611,-19.5973,0.392625,0.686229,0.102898
97,2484.46,-19.0476,0.57472,2844.43,-359.973,-23.1286,4.08107,0.768918,-0.194198,2844.43,-359.973,-23.1286,4.08107,0.768918,-0.194198
104,2951.15,-28.1287,0.830793,3089.91,-138.755,-28.1937,0.0649696,0.880733,-0.0499394,3089.91,-138.755,-28.1937,0.0649696,0.880733,-0.0499394
113,3221.96,-31.7919,0.924375,3420.1,-198.138,-34.6421,2.85017,1.01034,-0.0859631,3420.1,-198.138,-34.6421,2.85017,1.01034,-0.0859631
122,3382.73,-35.701,1.11192,3761.92,-379.196,-40.6268,4.92586,1.11461,-0.00268874,3761.92,-379.196,-40.6268,4.92586,1.11461,-0.00268874
131,3592.1,-41.5613,1.10666,4109.59,-517.488,-45.7231,4.16184,1.18478,-0.0781258,4109.59,-517.488,-45.7231,4.16184,1.18478,-0.0781258
140,4229.84,-43.6625,1.09668,4456.56,-226.725,-49.5281,5.86552,1.21488,-0.118199,4456.56,-226.725,-49.5281,5.86552,1.21488,-0.118199
149,4251.39,-45.0365,1.00578,4796.02,-544.63,-51.6832,6.64664,1.20265,-0.196869,4796.02,-544.63,-51.6832,6.64664,1.20265,-0.196869
158,4778.71,-49.241,1.07943,5119.21,-340.501,-51.8765,2.63554,1.1502,-0.0707696,5119.21,-340.501,-51.8765,2.63554,1.1502,-0.0707696
