ell,Dl_obs,Dl_te_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_LambdaCDM_tt,residual_LambdaCDM_tt,Dl_LambdaCDM_te,residual_LambdaCDM_te
32,1.09701e+15,1.16488e+14,1139.75,1.09701e+15,1.77296,1.16488e+14,1139.75,1.09701e+15,1.77296,1.16488e+14
37,1.18026e+15,1.16077e+14,1240.11,1.18026e+15,1.71351,1.16077e+14,1240.11,1.18026e+15,1.71351,1.16077e+14
42,1.42697e+15,1.17361e+14,1347.3,1.42697e+15,1.40368,1.17361e+14,1347.3,1.42697e+15,1.40368,1.17361e+14
47,1.36466e+15,1.19261e+14,1459.69,1.36466e+15,0.834278,1.19261e+14,1459.69,1.36466e+15,0.834278,1.19261e+14
52,1.32906e+15,1.21332e+14,1577.73,1.32906e+15,-0.0480535,1.21332e+14,1577.73,1.32906e+15,-0.0480535,1.21332e+14
57,1.6072e+15,1.23908e+14,1700.71,1.6072e+15,-1.24263,1.23908e+14,1700.71,1.6072e+15,-1.24263,1.23908e+14
62,1.66341e+15,1.26648e+14,1829.58,1.66341e+15,-2.77158,1.26648e+14,1829.58,1.66341e+15,-2.77158,1.26648e+14
67,1.8384e+15,1.29805e+14,1964.09,1.8384e+15,-4.62161,1.29805e+14,1964.09,1.8384e+15,-4.62161,1.29805e+14
72,1.97424e+15,1.33711e+14,2103.81,1.97424e+15,-6.78598,1.33711e+14,2103.81,1.97424e+15,-6.78598,1.33711e+14
77,1.76567e+15,1.37551e+14,2250.53,1.76567e+15,-9.25455,1.37551e+14,2250.53,1.76567e+15,-9.25455,1.37551e+14
82,2.16804e+15,1.42193e+14,2403.19,2.16804e+15,-11.9884,1.42193e+14,2403.19,2.16804e+15,-11.9884,1.42193e+14
87,2.33099e+15,1.46965e+14,2561.7,2.33099e+15,-14.951,1.46965e+14,2561.7,2.33099e+15,-14.951,1.46965e+14
92,2.44665e+15,1.51665e+14,2725.41,2.44665e+15,-18.0971,1.51665e+14,2725.41,2.44665e+15,-18.0971,1.51665e+14
97,2.48446e+15,1.56448e+14,2894.27,2.48446e+15,-21.3773,1.56448e+14,2894.27,2.48446e+15,-21.3773,1.56448e+14
104,2.95115e+15,1.18869e+14,3139.82,2.95115e+15,-26.1011,1.18869e+14,3139.82,2.95115e+15,-26.1011,1.18869e+14
113,3.22196e+15,1.25807e+14,3469.64,3.22196e+15,-32.1595,1.25807e+14,3469.64,3.22196e+15,-32.1595,1.25807e+14
122,3.38273e+15,1.32931e+14,3811.44,3.38273e+15,-37.8432,1.32931e+14,3811.44,3.38273e+15,-37.8432,1.32931e+14
131,3.5921e+15,1.40035e+14,4159.49,3.5921e+15,-42.7536,1.40035e+14,4159.49,3.5921e+15,-42.7536,1.40035e+14
140,4.22984e+15,1.46431e+14,4507.75,4.22984e+15,-46.5117,1.46431e+14,4507.75,4.22984e+15,-46.5117,1.46431e+14
149,4.25139e+15,1.52574e+14,4851.24,4.25139e+15,-48.7801,1.52574e+14,4851.24,4.25139e+15,-48.7801,1.52574e+14
158,4.77871e+15,1.58191e+14,5183.12,4.77871e+15,-49.2619,1.58191e+14,5183.12,4.77871e+15,-49.2619,1.58191e+14
167,4.8448e+15,1.62857e+14,5497.1,4.8448e+15,-47.716,1.62857e+14,5497.1,4.8448e+15,-47.716,1.62857e+14
176,5.12063e+15,1.66536e+14,5785.49,5.12063e+15,-43.9747,1.66536e+14,5785.49,5.12063e+15,-43.9747,1.66536e+14
185,5.37397e+15,1.68598e+14,6041.66,5.37397e+15,-37.9628,1.68598e+14,6041.66,5.37397e+15,-37.9628,1.68598e+14
194,5.5427e+15,1.69826e+14,6259.81,5.5427e+15,-29.6849,1.69826e+14,6259.81,5.5427e+15,-29.6849,1.69826e+14
203,5.44622e+15,1.69012e+14,6435.17,5.44622e+15,-19.2431,1.69012e+14,6435.17,5.44622e+15,-19.2431,1.69012e+14
212,5.63634e+15,1.67953e+14,6562.73,5.63634e+15,-6.83821,1.67953e+14,6562.73,5.63634e+15,-6.83821,1.67953e+14
