Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_USMFv2,residual_USMFv2
1998dh,0.00769,32.7164,0.317031,32.524984,0.19141576,32.589347,0.12705268
ASASSN-15so,0.00773,32.7527,0.26758,32.536315,0.21638535,32.600656,0.15204387
2013gh,0.00775,32.6922,0.484865,32.541958,0.15024199,32.606289,0.085911308
2013gh,0.00775,32.521,0.465611,32.541958,-0.020958005,32.606289,-0.085288692
1995D,0.0078,32.484,0.342662,32.556003,-0.07200329,32.620307,-0.13630699
2012hr,0.00788,32.7092,0.367554,32.578291,0.13090939,32.642551,0.066648864
2001bg,0.00796,32.6928,0.359218,32.600354,0.092445917,32.664571,0.02822855
2009ig,0.00801,32.6707,0.286975,32.614032,0.056667917,32.678222,-0.0075224774
1997br,0.00801,31.7321,0.531169,32.614032,-0.88193208,32.678222,-0.94612248
2009ig,0.00801,32.7434,0.280148,32.614032,0.12936792,32.678222,0.065177523
2009ig,0.00801,32.3711,0.371926,32.614032,-0.24293208,32.678222,-0.30712248
1996X,0.00812,31.9733,0.415464,32.643827,-0.6705273,32.707958,-0.73465836
PSNJ0717457,0.00812,32.7223,0.383433,32.643827,0.078472704,32.707958,0.01434164
2019ein,0.00837,32.8616,0.327035,32.710078,0.15152193,32.774074,0.08752565
2005am,0.00841,32.335,0.337879,32.720495,-0.38549533,32.78447,-0.44947005
2005am,0.00841,32.3945,0.331296,32.720495,-0.32599533,32.78447,-0.38997005
2005am,0.00841,32.3744,0.338325,32.720495,-0.34609533,32.78447,-0.41007005
2002er,0.00853,32.799,0.368859,32.751454,0.047545818,32.815364,-0.016364236
2002er,0.00853,32.7498,0.409525,32.751454,-0.0016541818,32.815364,-0.065564236
2005W,0.00861,32.852,0.318032,32.771854,0.080146118,32.835721,0.016279164
1996Z,0.00867,32.4455,0.490787,32.78703,-0.34153043,32.850865,-0.40536506
PTF10icb,0.009,33.4753,0.372879,32.86868,0.6066202,32.932337,0.54296325
2009an,0.00921,33.2253,0.299086,32.919104,0.30619598,32.982648,0.24265204
2009an,0.00921,33.3378,0.306294,32.919104,0.41869598,32.982648,0.35515204
1997bp,0.00931,32.4198,0.425219,32.942715,-0.52291548,33.006206,-0.58640563
1998es,0.00957,32.9165,0.372831,33.002946,-0.086445777,33.066296,-0.14979613
1998es,0.00957,32.8029,0.35789,33.002946,-0.20004578,33.066296,-0.26339613
2021hpr,0.00958,33.0869,0.343916,33.00523,0.081670254,33.068575,0.018325279
2006D,0.00966,32.8914,0.286425,33.023417,-0.13201673,33.086719,-0.1953187
2006D,0.00966,32.9159,0.285505,33.023417,-0.10751673,33.086719,-0.1708187
2006D,0.00966,32.8973,0.282867,33.023417,-0.12611673,33.086719,-0.1894187
1999ac,0.00979,32.9674,0.341878,33.052654,-0.085253972,33.115886,-0.14848609
1999ac,0.00979,32.9182,0.365223,33.052654,-0.13445397,33.115886,-0.19768609
2004S,0.0098,33.1236,0.317227,33.054887,0.068713002,33.118114,0.0054862563
1997bq,0.00993,33.0683,0.324016,33.083712,-0.015412236,33.146869,-0.078569146
2008fv_comb,0.00993,33.1809,0.377969,33.083712,0.097187764,33.146869,0.034030854
2002cr,0.00998,33.2469,0.254885,33.094699,0.15220078,33.157829,0.089070727
1999cp,0.00998,33.0399,0.268981,33.094699,-0.054799218,33.157829,-0.11792927
1999cp,0.00998,33.2135,0.253629,33.094699,0.11880078,33.157829,0.055670727
2002cr,0.00998,33.2309,0.251906,33.094699,0.13620078,33.157829,0.073070727
2013cs,0.01029,32.3353,0.401367,33.161622,-0.82632246,33.224586,-0.88928608
ASASSN-16jf,0.0104,33.5709,0.314858,33.184889,0.38601069,33.247794,0.32310609
2006bh,0.01042,33.2788,0.247952,33.189093,0.089706603,33.251987,0.026812738
2013E,0.01042,32.7794,0.348547,33.189093,-0.4096934,33.251987,-0.47258726
1997do,0.01048,33.1081,0.364668,33.201658,-0.093557764,33.264519,-0.15641944
2002dp,0.01049,33.2931,0.27457,33.203745,0.089355118,33.266601,0.026498807
2002dp,0.01049,33.3806,0.309009,33.203745,0.17685512,33.266601,0.11399881
2009Y,0.0105,32.7458,0.360296,33.20583,-0.46003003,33.268681,-0.52288097
2009Y,0.0105,32.9015,0.334006,33.20583,-0.30433003,33.268681,-0.36718097
2009Y,0.0105,32.6457,0.409088,33.20583,-0.56013003,33.268681,-0.62298097
2002dj,0.01051,32.901,0.309548,33.207913,-0.3069132,33.270759,-0.36975878
2002dj,0.01051,32.8654,0.334488,33.207913,-0.3425132,33.270759,-0.40535878
2010ko,0.01096,33.8347,0.353909,33.299676,0.53502381,33.362281,0.47241949
2013ex,0.01096,33.4947,0.325172,33.299676,0.19502381,33.362281,0.13241949
2013ex,0.01096,33.4336,0.283424,33.299676,0.13392381,33.362281,0.071319494
2010Y,0.01142,33.7403,0.254135,33.389693,0.35060668,33.452051,0.28824875
2011ao,0.01168,33.4974,0.301502,33.438995,0.058405306,33.501213,-0.0038134789
2009ab,0.01189,33.5833,0.281169,33.478027,0.10527301,33.540133,0.043166553
2002ha,0.0122,33.708,0.24076,33.534415,0.1735855,33.596355,0.11164476
2002ha,0.0122,33.7246,0.250097,33.534415,0.1901855,33.596355,0.12824476
AT2017cfd,0.01222,33.5752,0.292564,33.538003,0.037196525,33.599934,-0.024733522
2017cfd,0.01222,33.5673,0.284786,33.538003,0.029296525,33.599934,-0.032633522
iPTF13ebh,0.01238,33.7337,0.342487,33.566507,0.16719259,33.628352,0.10534803
iPTF13ebh,0.01238,33.6369,0.29522,33.566507,0.070392588,33.628352,0.0085480272
2009kk,0.01244,33.7023,0.266666,33.577102,0.12519765,33.638915,0.063385135
2009kq,0.01247,33.5178,0.26619,33.582381,-0.064580846,33.644177,-0.12637734
2009kq,0.01247,33.5874,0.26006,33.582381,0.0050191541,33.644177,-0.056777335
2008R,0.0126,33.8286,0.265115,33.60511,0.22349017,33.666837,0.1617631
2001cz,0.01275,33.8783,0.346381,33.631049,0.24725141,33.692696,0.18560442
2007hj,0.01288,33.9846,0.299399,33.653285,0.33131458,33.714863,0.26973696
2007hj,0.01288,33.9682,0.303693,33.653285,0.31491458,33.714863,0.25333696
2007hj,0.01288,33.9247,0.304606,33.653285,0.27141458,33.714863,0.20983696
2001ep,0.01306,33.6365,0.287379,33.683711,-0.047210536,33.745192,-0.10869213
2001ep,0.01306,33.5028,0.331124,33.683711,-0.18091054,33.745192,-0.24239213
2013gy,0.01309,33.7355,0.239783,33.688741,0.046759034,33.750207,-0.014706556
2013gy,0.01309,33.7607,0.28722,33.688741,0.071959034,33.750207,0.010493444
