name,redshift,observable_type,value,error,pred_lcdm,chi2_contrib_lcdm,pred_LambdaCDM,chi2_contrib_LambdaCDM
BOSS DR12 z=0.38 (DM/rs),0.38,DM_over_rs,7.41271,0.122504,9.38565,259.375,9.38565,259.375
BOSS DR12 z=0.38 (DH/rs),0.38,DH_over_rs,18.0938,0.527667,22.294,63.3611,22.294,63.3611
BOSS DR12 z=0.38 (DV/rs),0.38,DV_over_rs,9.98071,0.113804,9.07055,63.9616,9.07055,63.9616
BOSS DR12 z=0.51 (DM/rs),0.51,DM_over_rs,10.6788,0.162712,12.179,85.0136,12.179,85.0136
BOSS DR12 z=0.51 (DH/rs),0.51,DH_over_rs,17.83,0.456776,20.6929,39.2843,20.6929,39.2843
BOSS DR12 z=0.51 (DV/rs),0.51,DV_over_rs,12.6687,0.128874,11.6111,67.3471,11.6111,67.3471
BOSS DR12 z=0.61 (DM/rs),0.61,DM_over_rs,13.2378,0.212813,14.1891,19.9827,14.1891,19.9827
BOSS DR12 z=0.61 (DH/rs),0.61,DH_over_rs,17.3848,0.439494,19.5172,23.5425,19.5172,23.5425
BOSS DR12 z=0.61 (DV/rs),0.61,DV_over_rs,14.4966,0.150063,13.383,55.0733,13.383,55.0733
