ell,Dl_obs,Dl_lcdm,residual_lcdm,Dl_LambdaCDM,residual_LambdaCDM
617,2135.45,2660.94,-525.483,2660.94,-525.483
626,1951.2,2564.53,-613.337,2564.53,-613.337
635,1938.19,2465.1,-526.916,2465.1,-526.916
644,1859.9,2365.78,-505.88,2365.78,-505.88
653,1847.08,2269.2,-422.115,2269.2,-422.115
662,1848.18,2178.21,-330.027,2178.21,-330.027
671,1814.96,2096.08,-281.128,2096.08,-281.128
680,1760.56,2025.57,-265.01,2025.57,-265.01
689,1822.41,1968.74,-146.333,1968.74,-146.333
698,1884.92,1927.14,-42.2284,1927.14,-42.2284
707,1891,1901.63,-10.6377,1901.63,-10.6377
716,1908.77,1892.24,16.5301,1892.24,16.5301
725,1994.29,1898.4,95.8938,1898.4,95.8938
734,2050.06,1919.59,130.467,1919.59,130.467
743,2184.75,1954.81,229.943,1954.81,229.943
752,2260,2002.72,257.282,2002.72,257.282
761,2344.61,2061.55,283.055,2061.55,283.055
770,2348.38,2128.42,219.965,2128.42,219.965
779,2350.93,2199.77,151.16,2199.77,151.16
788,2481.01,2273.28,207.728,2273.28,207.728
797,2466.93,2346.07,120.86,2346.07,120.86
806,2493.81,2416.44,77.366,2416.44,77.366
815,2552.73,2481.29,71.4364,2481.29,71.4364
824,2521.81,2538.18,-16.3762,2538.18,-16.3762
833,2495.02,2584.34,-89.3248,2584.34,-89.3248
842,2505.47,2618.07,-112.6,2618.07,-112.6
851,2383.14,2638.08,-254.933,2638.08,-254.933
860,2355.55,2643.14,-287.589,2643.14,-287.589
869,2237.42,2633.56,-396.141,2633.56,-396.141
878,2168.28,2608.87,-440.584,2608.87,-440.584
887,2073.72,2569.69,-495.969,2569.69,-495.969
896,1948.82,2516.1,-567.276,2516.1,-567.276
905,1843.37,2448.67,-605.299,2448.67,-605.299
914,1745.6,2369.25,-623.65,2369.25,-623.65
923,1619.45,2280.2,-660.752,2280.2,-660.752
932,1562.39,2183.72,-621.325,2183.72,-621.325
941,1437.55,2081.9,-644.356,2081.9,-644.356
950,1342.39,1976.43,-634.044,1976.43,-634.044
959,1285.75,1869,-583.253,1869,-583.253
968,1232.84,1762.27,-529.429,1762.27,-529.429
977,1129.03,1658.74,-529.708,1658.74,-529.708
986,1103.57,1560.49,-456.917,1560.49,-456.917
995,1087.32,1469.26,-381.94,1469.26,-381.94
1004,1024.83,1386.46,-361.638,1386.46,-361.638
1013,1079.48,1312.97,-233.485,1312.97,-233.485
1022,1032.41,1249.68,-217.271,1249.68,-217.271
1031,1040.79,1197.09,-156.295,1197.09,-156.295
1040,1055.91,1155.64,-99.7323,1155.64,-99.7323
1049,1081.98,1125.43,-43.4516,1125.43,-43.4516
1058,1129.81,1106.52,23.2871,1106.52,23.2871
1067,1122.39,1097.79,24.599,1097.79,24.599
1076,1153.29,1097.9,55.3923,1097.9,55.3923
1085,1217.71,1105.55,112.163,1105.55,112.163
1094,1216.98,1119.62,97.359,1119.62,97.359
1103,1211.44,1139.22,72.2136,1139.22,72.2136
1112,1213.36,1163.1,50.2656,1163.1,50.2656
1121,1246.29,1189.27,57.0231,1189.27,57.0231
1130,1237.54,1215.91,21.6348,1215.91,21.6348
1139,1215.83,1241.55,-25.7131,1241.55,-25.7131
1148,1212.52,1264.9,-52.3813,1264.9,-52.3813
1157,1220.58,1284.95,-64.3739,1284.95,-64.3739
1166,1159.29,1300.84,-141.544,1300.84,-141.544
1175,1143.31,1311.72,-168.417,1311.72,-168.417
1184,1136.56,1316.97,-180.413,1316.97,-180.413
1193,1086.25,1315.98,-229.738,1315.98,-229.738
1202,1005.41,1308.34,-302.936,1308.34,-302.936
1211,975.189,1293.97,-318.78,1293.97,-318.78
1220,970.73,1273.54,-302.814,1273.54,-302.814
1229,906.514,1247.77,-341.252,1247.77,-341.252
1238,895.506,1217.27,-321.767,1217.27,-321.767
1247,860.053,1182.52,-322.467,1182.52,-322.467
1256,805.618,1143.88,-338.26,1143.88,-338.26
1265,777.489,1102.4,-324.915,1102.4,-324.915
1274,770.016,1059.46,-289.447,1059.46,-289.447
1283,736.545,1016.24,-279.696,1016.24,-279.696
1292,758.18,973.689,-215.509,973.689,-215.509
1301,733.856,932.584,-198.728,932.584,-198.728
1310,712.532,893.591,-181.059,893.591,-181.059
1319,718.903,857.497,-138.594,857.497,-138.594
1328,723.408,824.996,-101.588,824.996,-101.588
1337,757.937,796.652,-38.715,796.652,-38.715
1346,737.666,772.939,-35.2722,772.939,-35.2722
1355,765.134,754.235,10.8994,754.235,10.8994
1364,776.923,740.536,36.3873,740.536,36.3873
1373,777.362,731.467,45.8945,731.467,45.8945
1382,773.981,726.681,47.3001,726.681,47.3001
1391,806.044,725.873,80.1714,725.873,80.1714
1400,830.177,728.882,101.295,728.882,101.295
1409,822.186,735.438,86.7483,735.438,86.7483
1418,818.106,744.631,73.4751,744.631,73.4751
1427,796.252,755.556,40.6958,755.556,40.6958
1436,803.463,767.415,36.0485,767.415,36.0485
1445,798.655,779.542,19.1122,779.542,19.1122
1454,773.833,791.403,-17.5692,791.403,-17.5692
1463,762.183,802.477,-40.2933,802.477,-40.2933
1472,749.532,812.052,-62.5206,812.052,-62.5206
1481,738.185,819.52,-81.3353,819.52,-81.3353
1490,727.424,824.398,-96.9743,824.398,-96.9743
1499,701.642,826.213,-124.57,826.213,-124.57
1512,655.678,822.78,-167.102,822.78,-167.102
1529,588.39,807.785,-219.396,807.785,-219.396
1546,547.01,781.418,-234.408,781.418,-234.408
1563,503.657,743.944,-240.287,743.944,-240.287
1580,468.039,698.391,-230.351,698.391,-230.351
1597,429.111,648.404,-219.293,648.404,-219.293
1614,407.925,596.486,-188.561,596.486,-188.561
1631,399.577,546.046,-146.47,546.046,-146.47
1648,389.097,500.337,-111.24,500.337,-111.24
1665,391.497,461.684,-70.187,461.684,-70.187
1682,385.396,431.015,-45.6192,431.015,-45.6192
1699,400.368,408.939,-8.57146,408.939,-8.57146
1716,393.039,395.84,-2.80151,395.84,-2.80151
1733,407.61,389.926,17.6844,389.926,17.6844
1750,377.716,389.406,-11.6903,389.406,-11.6903
1767,379.019,392.914,-13.8949,392.914,-13.8949
1784,377.36,397.969,-20.6093,397.969,-20.6093
1801,358.796,402.33,-43.5339,402.33,-43.5339
1818,342.446,404.372,-61.9262,404.372,-61.9262
1835,313.006,403.098,-90.0922,403.098,-90.0922
1852,305.378,397.568,-92.1898,397.568,-92.1898
1869,276.147,387.219,-111.072,387.219,-111.072
1886,265.911,373.023,-107.112,373.023,-107.112
1903,249.92,355.648,-105.728,355.648,-105.728
1920,257.96,335.765,-77.8047,335.765,-77.8047
1937,245.342,315.041,-69.6992,315.041,-69.6992
1954,231.313,294.834,-63.5217,294.834,-63.5217
1971,229.279,276.132,-46.8534,276.132,-46.8534
1988,225.825,259.786,-33.9615,259.786,-33.9615
2005,240.086,246.646,-6.55964,246.646,-6.55964
2030,233.983,233.632,0.350699,233.632,0.350699
2063,216.247,226.276,-10.0298,226.276,-10.0298
2096,204.908,226.233,-21.3245,226.233,-21.3245
2129,200.092,227.162,-27.0696,227.162,-27.0696
2162,168.762,223.69,-54.9276,223.69,-54.9276
2195,140.144,213.04,-72.8956,213.04,-72.8956
2228,129.223,195.339,-66.1161,195.339,-66.1161
2261,118.304,173.825,-55.5209,173.825,-55.5209
2294,118.51,152.205,-33.6958,152.205,-33.6958
2327,115.407,134.32,-18.9127,134.32,-18.9127
2360,114.999,121.852,-6.85338,121.852,-6.85338
2393,126.918,114.904,12.0134,114.904,12.0134
2426,90.007,111.71,-21.7027,111.71,-21.7027
2459,83.9457,109.78,-25.8346,109.78,-25.8346
2492,78.7067,106.97,-28.2628,106.97,-28.2628
32,1.51224,1140.46,-1138.95,1140.46,-1138.95
37,3.11711,1241.28,-1238.17,1241.28,-1238.17
42,0.820244,1348.99,-1348.17,1348.99,-1348.17
47,1.07013,1461.84,-1460.77,1461.84,-1460.77
52,1.08312,1580.33,-1579.25,1580.33,-1579.25
57,-3.82399,1703.83,-1707.65,1703.83,-1707.65
62,-4.29778,1833.24,-1837.54,1833.24,-1837.54
67,-2.04066,1968.3,-1970.34,1968.3,-1970.34
72,-8.54866,2108.58,-2117.13,2108.58,-2117.13
77,-7.23417,2255.85,-2263.09,2255.85,-2263.09
82,-9.89267,2409.07,-2418.96,2409.07,-2418.96
87,-12.7208,2568.14,-2580.86,2568.14,-2580.86
92,-19.2047,2732.42,-2751.62,2732.42,-2751.62
97,-19.0476,2901.85,-2920.89,2901.85,-2920.89
104,-28.1287,3148.2,-3176.33,3148.2,-3176.33
113,-31.7919,3479.01,-3510.8,3479.01,-3510.8
122,-35.701,3821.7,-3857.4,3821.7,-3857.4
131,-41.5613,4170.53,-4212.09,4170.53,-4212.09
140,-43.6625,4519.41,-4563.07,4519.41,-4563.07
149,-45.0365,4863.31,-4908.35,4863.31,-4908.35
158,-49.241,5195.32,-5244.56,5195.32,-5244.56
167,-45.9645,5509.11,-5555.07,5509.11,-5555.07
176,-43.3901,5796.98,-5840.37,5796.98,-5840.37
185,-30.3906,6052.3,-6082.69,6052.3,-6082.69
194,-18.1436,6269.22,-6287.36,6269.22,-6287.36
203,-7.21464,6443,-6450.21,6443,-6450.21
212,2.53847,6568.62,-6566.08,6568.62,-6566.08
221,17.9047,6643.82,-6625.92,6643.82,-6625.92
230,26.6053,6666.6,-6639.99,6666.6,-6639.99
239,46.2991,6636.3,-6590,6636.3,-6590
248,50.6637,6553.67,-6503.01,6553.67,-6503.01
257,71.5358,6420.82,-6349.28,6420.82,-6349.28
266,86.4306,6241.03,-6154.6,6241.03,-6154.6
275,106.963,6019.59,-5912.63,6019.59,-5912.63
284,102.707,5761.81,-5659.1,5761.81,-5659.1
293,117.073,5473.96,-5356.89,5473.96,-5356.89
302,117.089,5162.26,-5045.17,5162.26,-5045.17
311,119.046,4833.86,-4714.81,4833.86,-4714.81
320,112.762,4497.07,-4384.31,4497.07,-4384.31
329,117.149,4159.88,-4042.73,4159.88,-4042.73
338,105.901,3829.67,-3723.77,3829.67,-3723.77
347,86.2064,3513.04,-3426.83,3513.04,-3426.83
356,79.8487,3215.32,-3135.47,3215.32,-3135.47
365,61.0311,2942.39,-2881.36,2942.39,-2881.36
374,46.4875,2699.1,-2652.61,2699.1,-2652.61
383,31.557,2489.2,-2457.64,2489.2,-2457.64
392,19.7448,2315.34,-2295.59,2315.34,-2295.59
401,-0.544681,2178.82,-2179.37,2178.82,-2179.37
410,-21.8916,2080.05,-2101.94,2080.05,-2101.94
419,-35.0666,2017.67,-2052.74,2017.67,-2052.74
428,-48.4463,1989.82,-2038.27,1989.82,-2038.27
437,-61.9365,1993.66,-2055.6,1993.66,-2055.6
446,-62.1436,2026.26,-2088.4,2026.26,-2088.4
455,-74.4981,2083.96,-2158.46,2083.96,-2158.46
464,-80.0589,2161.96,-2242.02,2161.96,-2242.02
473,-75.3658,2254.83,-2330.2,2254.83,-2330.2
482,-71.9894,2356.9,-2428.89,2356.9,-2428.89
491,-71.1199,2463.26,-2534.38,2463.26,-2534.38
500,-59.624,2569.46,-2629.08,2569.46,-2629.08
509,-47.175,2671.23,-2718.4,2671.23,-2718.4
518,-42.4169,2764.44,-2806.86,2764.44,-2806.86
527,-23.0411,2844.88,-2867.92,2844.88,-2867.92
536,-18.6287,2909.43,-2928.06,2909.43,-2928.06
545,-1.43395,2955.88,-2957.31,2955.88,-2957.31
554,3.55431,2982.69,-2979.14,2982.69,-2979.14
563,11.5793,2989.45,-2977.87,2989.45,-2977.87
572,18.6254,2976.44,-2957.82,2976.44,-2957.82
581,26.5374,2944.45,-2917.92,2944.45,-2917.92
590,26.8724,2895.09,-2868.22,2895.09,-2868.22
599,28.2947,2829.91,-2801.62,2829.91,-2801.62
608,32.2515,2750.72,-2718.47,2750.72,-2718.47
617,23.9273,2660.94,-2637.01,2660.94,-2637.01
626,10.8452,2564.53,-2553.69,2564.53,-2553.69
635,7.54114,2465.1,-2457.56,2465.1,-2457.56
644,-5.033,2365.78,-2370.81,2365.78,-2370.81
653,-15.3753,2269.2,-2284.57,2269.2,-2284.57
662,-29.9359,2178.21,-2208.14,2178.21,-2208.14
671,-56.9826,2096.08,-2153.07,2096.08,-2153.07
680,-66.7884,2025.57,-2092.36,2025.57,-2092.36
689,-80.806,1968.74,-2049.55,1968.74,-2049.55
698,-94.2074,1927.14,-2021.35,1927.14,-2021.35
707,-99.954,1901.63,-2001.59,1901.63,-2001.59
716,-113.946,1892.24,-2006.18,1892.24,-2006.18
725,-122.488,1898.4,-2020.89,1898.4,-2020.89
734,-127.683,1919.59,-2047.27,1919.59,-2047.27
743,-130.614,1954.81,-2085.42,1954.81,-2085.42
752,-131.217,2002.72,-2133.94,2002.72,-2133.94
761,-126.704,2061.55,-2188.25,2061.55,-2188.25
770,-117.03,2128.42,-2245.45,2128.42,-2245.45
779,-109.053,2199.77,-2308.82,2199.77,-2308.82
788,-104.286,2273.28,-2377.57,2273.28,-2377.57
797,-89.1184,2346.07,-2435.19,2346.07,-2435.19
806,-77.0153,2416.44,-2493.46,2416.44,-2493.46
815,-64.7342,2481.29,-2546.03,2481.29,-2546.03
824,-49.9835,2538.18,-2588.17,2538.18,-2588.17
833,-27.9085,2584.34,-2612.25,2584.34,-2612.25
842,-17.8662,2618.07,-2635.94,2618.07,-2635.94
851,3.01617,2638.08,-2635.06,2638.08,-2635.06
860,13.7369,2643.14,-2629.4,2643.14,-2629.4
869,27.841,2633.56,-2605.72,2633.56,-2605.72
878,41.3423,2608.87,-2567.52,2608.87,-2567.52
887,49.2007,2569.69,-2520.49,2569.69,-2520.49
896,55.0267,2516.1,-2461.07,2516.1,-2461.07
905,57.821,2448.67,-2390.85,2448.67,-2390.85
914,67.5475,2369.25,-2301.71,2369.25,-2301.71
923,56.6996,2280.2,-2223.5,2280.2,-2223.5
932,54.4174,2183.72,-2129.3,2183.72,-2129.3
941,50.1516,2081.9,-2031.75,2081.9,-2031.75
950,41.3038,1976.43,-1935.13,1976.43,-1935.13
959,33.7705,1869,-1835.23,1869,-1835.23
968,20.9026,1762.27,-1741.37,1762.27,-1741.37
977,9.81707,1658.74,-1648.92,1658.74,-1648.92
986,-0.29649,1560.49,-1560.79,1560.49,-1560.79
995,-14.7591,1469.26,-1484.02,1469.26,-1484.02
1004,-37.3546,1386.46,-1423.82,1386.46,-1423.82
1013,-45.221,1312.97,-1358.19,1312.97,-1358.19
1022,-48.6768,1249.68,-1298.35,1249.68,-1298.35
1031,-54.6481,1197.09,-1251.73,1197.09,-1251.73
1040,-59.1628,1155.64,-1214.8,1155.64,-1214.8
1049,-73.5188,1125.43,-1198.95,1125.43,-1198.95
1058,-82.3317,1106.52,-1188.85,1106.52,-1188.85
1067,-80.9655,1097.79,-1178.76,1097.79,-1178.76
1076,-78.7501,1097.9,-1176.65,1097.9,-1176.65
1085,-73.3497,1105.55,-1178.9,1105.55,-1178.9
1094,-76.2582,1119.62,-1195.88,1119.62,-1195.88
1103,-56.3317,1139.22,-1195.55,1139.22,-1195.55
1112,-55.9813,1163.1,-1219.08,1163.1,-1219.08
1121,-48.5737,1189.27,-1237.84,1189.27,-1237.84
1130,-42.9851,1215.91,-1258.89,1215.91,-1258.89
1139,-47.6841,1241.55,-1289.23,1241.55,-1289.23
1148,-23.673,1264.9,-1288.58,1264.9,-1288.58
1157,-15.6744,1284.95,-1300.63,1284.95,-1300.63
1166,-21.3026,1300.84,-1322.14,1300.84,-1322.14
1175,-13.603,1311.72,-1325.33,1311.72,-1325.33
1184,-5.79308,1316.97,-1322.77,1316.97,-1322.77
1193,-2.23866,1315.98,-1318.22,1315.98,-1318.22
1202,0.797025,1308.34,-1307.55,1308.34,-1307.55
1211,6.31648,1293.97,-1287.65,1293.97,-1287.65
1220,11.2854,1273.54,-1262.26,1273.54,-1262.26
1229,0.795071,1247.77,-1246.97,1247.77,-1246.97
1238,-1.70669,1217.27,-1218.98,1217.27,-1218.98
1247,6.50815,1182.52,-1176.01,1182.52,-1176.01
1256,-5.07351,1143.88,-1148.95,1143.88,-1148.95
1265,-10.6252,1102.4,-1113.03,1102.4,-1113.03
1274,-6.18903,1059.46,-1065.65,1059.46,-1065.65
1283,-25.4341,1016.24,-1041.67,1016.24,-1041.67
1292,-27.8221,973.689,-1001.51,973.689,-1001.51
1301,-31.3034,932.584,-963.887,932.584,-963.887
1310,-45.6622,893.591,-939.253,893.591,-939.253
1319,-45.3274,857.497,-902.824,857.497,-902.824
1328,-52.8192,824.996,-877.815,824.996,-877.815
1337,-50.5695,796.652,-847.221,796.652,-847.221
1346,-57.1386,772.939,-830.077,772.939,-830.077
1355,-65.5484,754.235,-819.783,754.235,-819.783
1364,-62.1891,740.536,-802.725,740.536,-802.725
1373,-56.4015,731.467,-787.869,731.467,-787.869
1382,-47.5995,726.681,-774.281,726.681,-774.281
1391,-66.4348,725.873,-792.308,725.873,-792.308
1400,-61.3485,728.882,-790.231,728.882,-790.231
1409,-54.6345,735.438,-790.072,735.438,-790.072
1418,-52.4991,744.631,-797.13,744.631,-797.13
1427,-38.2634,755.556,-793.82,755.556,-793.82
1436,-40.2416,767.415,-807.657,767.415,-807.657
1445,-37.8014,779.542,-817.344,779.542,-817.344
1454,-26.0106,791.403,-817.413,791.403,-817.413
1463,-21.7373,802.477,-824.214,802.477,-824.214
1472,-9.44394,812.052,-821.496,812.052,-821.496
1481,2.7698,819.52,-816.751,819.52,-816.751
1490,-4.9052,824.398,-829.304,824.398,-829.304
1499,-1.96257,826.213,-828.175,826.213,-828.175
1512,7.47919,822.78,-815.301,822.78,-815.301
1529,9.37829,807.785,-798.407,807.785,-798.407
1546,10.0139,781.418,-771.404,781.418,-771.404
1563,-0.414165,743.944,-744.358,743.944,-744.358
1580,-1.86885,698.391,-700.26,698.391,-700.26
1597,-9.9112,648.404,-658.315,648.404,-658.315
1614,-9.49197,596.486,-605.978,596.486,-605.978
1631,-25.3687,546.046,-571.415,546.046,-571.415
1648,-22.7408,500.337,-523.077,500.337,-523.077
1665,-25.4964,461.684,-487.18,461.684,-487.18
1682,-29.9275,431.015,-460.943,431.015,-460.943
1699,-26.1074,408.939,-435.046,408.939,-435.046
1716,-22.1731,395.84,-418.013,395.84,-418.013
1733,-28.2166,389.926,-418.142,389.926,-418.142
1750,-22.2324,389.406,-411.638,389.406,-411.638
1767,-13.1588,392.914,-406.073,392.914,-406.073
1784,-11.8144,397.969,-409.783,397.969,-409.783
1801,-8.0874,402.33,-410.417,402.33,-410.417
1818,-0.976027,404.372,-405.348,404.372,-405.348
1835,-4.91613,403.098,-408.014,403.098,-408.014
1852,1.81527,397.568,-395.753,397.568,-395.753
1869,-4.78882,387.219,-392.008,387.219,-392.008
1886,1.66045,373.023,-371.362,373.023,-371.362
1903,-11.107,355.648,-366.755,355.648,-366.755
1920,-8.76494,335.765,-344.53,335.765,-344.53
1937,-13.224,315.041,-328.265,315.041,-328.265
1954,-5.86213,294.834,-300.696,294.834,-300.696
1971,-28.0519,276.132,-304.184,276.132,-304.184
1988,-27.8392,259.786,-287.625,259.786,-287.625
32,0.0643557,1140.46,-1140.4,1140.46,-1140.4
37,0.0649424,1241.28,-1241.22,1241.28,-1241.22
42,0.0699042,1348.99,-1348.92,1348.99,-1348.92
47,0.141281,1461.84,-1461.7,1461.84,-1461.7
52,0.146964,1580.33,-1580.19,1580.33,-1580.19
57,0.193005,1703.83,-1703.64,1703.83,-1703.64
62,0.296409,1833.24,-1832.94,1833.24,-1832.94
67,0.331388,1968.3,-1967.97,1968.3,-1967.97
72,0.356963,2108.58,-2108.23,2108.58,-2108.23
77,0.448396,2255.85,-2255.4,2255.85,-2255.4
82,0.522364,2409.07,-2408.55,2409.07,-2408.55
87,0.489592,2568.14,-2567.65,2568.14,-2567.65
92,0.789127,2732.42,-2731.63,2732.42,-2731.63
97,0.57472,2901.85,-2901.27,2901.85,-2901.27
104,0.830793,3148.2,-3147.37,3148.2,-3147.37
113,0.924375,3479.01,-3478.08,3479.01,-3478.08
122,1.11192,3821.7,-3820.59,3821.7,-3820.59
131,1.10666,4170.53,-4169.42,4170.53,-4169.42
140,1.09668,4519.41,-4518.31,4519.41,-4518.31
149,1.00578,4863.31,-4862.3,4863.31,-4862.3
158,1.07943,5195.32,-5194.24,5195.32,-5194.24
167,0.855441,5509.11,-5508.25,5509.11,-5508.25
176,0.96559,5796.98,-5796.02,5796.98,-5796.02
185,0.835251,6052.3,-6051.46,6052.3,-6051.46
194,0.793541,6269.22,-6268.43,6269.22,-6268.43
203,0.694054,6443,-6442.3,6443,-6442.3
212,0.877642,6568.62,-6567.74,6568.62,-6567.74
221,0.874199,6643.82,-6642.95,6643.82,-6642.95
230,1.23818,6666.6,-6665.36,6666.6,-6665.36
239,1.78071,6636.3,-6634.52,6636.3,-6634.52
248,2.10983,6553.67,-6551.56,6553.67,-6551.56
257,3.13386,6420.82,-6417.68,6420.82,-6417.68
266,3.86066,6241.03,-6237.17,6241.03,-6237.17
275,5.31265,6019.59,-6014.28,6019.59,-6014.28
284,5.82483,5761.81,-5755.98,5761.81,-5755.98
293,8.21385,5473.96,-5465.75,5473.96,-5465.75
302,9.31107,5162.26,-5152.95,5162.26,-5152.95
311,10.9594,4833.86,-4822.9,4833.86,-4822.9
320,12.6384,4497.07,-4484.43,4497.07,-4484.43
329,15.1816,4159.88,-4144.7,4159.88,-4144.7
338,16.0657,3829.67,-3813.61,3829.67,-3813.61
347,16.2208,3513.04,-3496.82,3513.04,-3496.82
356,18.6902,3215.32,-3196.63,3215.32,-3196.63
365,18.5056,2942.39,-2923.88,2942.39,-2923.88
374,21.0827,2699.1,-2678.02,2699.1,-2678.02
383,21.4257,2489.2,-2467.77,2489.2,-2467.77
392,22.3593,2315.34,-2292.98,2315.34,-2292.98
401,21.1747,2178.82,-2157.65,2178.82,-2157.65
410,21.0336,2080.05,-2059.02,2080.05,-2059.02
419,19.2941,2017.67,-1998.38,2017.67,-1998.38
428,19.1288,1989.82,-1970.69,1989.82,-1970.69
437,19.3346,1993.66,-1974.33,1993.66,-1974.33
446,17.3252,2026.26,-2008.94,2026.26,-2008.94
455,15.4382,2083.96,-2068.52,2083.96,-2068.52
464,14.5813,2161.96,-2147.38,2161.96,-2147.38
473,11.5893,2254.83,-2243.24,2254.83,-2243.24
482,11.4556,2356.9,-2345.45,2356.9,-2345.45
491,10.3049,2463.26,-2452.95,2463.26,-2452.95
500,8.30294,2569.46,-2561.16,2569.46,-2561.16
509,8.22746,2671.23,-2663,2671.23,-2663
518,7.35097,2764.44,-2757.09,2764.44,-2757.09
527,6.50428,2844.88,-2838.38,2844.88,-2838.38
536,6.71246,2909.43,-2902.72,2909.43,-2902.72
545,8.58876,2955.88,-2947.29,2955.88,-2947.29
554,8.51755,2982.69,-2974.18,2982.69,-2974.18
563,10.6431,2989.45,-2978.81,2989.45,-2978.81
572,11.8913,2976.44,-2964.55,2976.44,-2964.55
581,15.4975,2944.45,-2928.96,2944.45,-2928.96
590,15.2827,2895.09,-2879.81,2895.09,-2879.81
599,18.225,2829.91,-2811.69,2829.91,-2811.69
608,22.1034,2750.72,-2728.61,2750.72,-2728.61
617,25.8934,2660.94,-2635.04,2660.94,-2635.04
626,25.9867,2564.53,-2538.55,2564.53,-2538.55
635,30.1719,2465.1,-2434.93,2465.1,-2434.93
644,32.9222,2365.78,-2332.86,2365.78,-2332.86
653,32.8238,2269.2,-2236.38,2269.2,-2236.38
662,34.7378,2178.21,-2143.47,2178.21,-2143.47
671,36.3808,2096.08,-2059.7,2096.08,-2059.7
680,36.6042,2025.57,-1988.97,2025.57,-1988.97
689,38.1163,1968.74,-1930.62,1968.74,-1930.62
698,38.9399,1927.14,-1888.2,1927.14,-1888.2
707,36.5131,1901.63,-1865.12,1901.63,-1865.12
