ell,Dl_obs,Dl_lcdm,residual_lcdm,Dl_LambdaCDM,residual_LambdaCDM
32,1097.01,1140.46,-43.4489,1140.46,-43.4489
37,1180.26,1241.28,-61.02,1241.28,-61.02
42,1426.97,1348.99,77.9845,1348.99,77.9845
47,1364.66,1461.84,-97.1787,1461.84,-97.1787
52,1329.06,1580.33,-251.271,1580.33,-251.271
57,1607.2,1703.83,-96.6334,1703.83,-96.6334
62,1663.41,1833.24,-169.824,1833.24,-169.824
67,1838.4,1968.3,-129.894,1968.3,-129.894
72,1974.24,2108.58,-134.341,2108.58,-134.341
77,1765.67,2255.85,-490.184,2255.85,-490.184
82,2168.04,2409.07,-241.031,2409.07,-241.031
87,2330.99,2568.14,-237.15,2568.14,-237.15
92,2446.65,2732.42,-285.767,2732.42,-285.767
97,2484.46,2901.85,-417.39,2901.85,-417.39
104,2951.15,3148.2,-197.044,3148.2,-197.044
113,3221.96,3479.01,-257.045,3479.01,-257.045
122,3382.73,3821.7,-438.972,3821.7,-438.972
131,3592.1,4170.53,-578.429,4170.53,-578.429
140,4229.84,4519.41,-289.568,4519.41,-289.568
149,4251.39,4863.31,-611.922,4863.31,-611.922
158,4778.71,5195.32,-416.609,5195.32,-416.609
167,4844.8,5509.11,-664.313,5509.11,-664.313
176,5120.63,5796.98,-676.359,5796.98,-676.359
185,5373.97,6052.3,-678.323,6052.3,-678.323
194,5542.7,6269.22,-726.519,6269.22,-726.519
203,5446.22,6443,-996.778,6443,-996.778
212,5636.34,6568.62,-932.275,6568.62,-932.275
221,5816.48,6643.82,-827.342,6643.82,-827.342
230,5684.66,6666.6,-981.944,6666.6,-981.944
239,5776.16,6636.3,-860.149,6636.3,-860.149
248,5435.47,6553.67,-1118.21,6553.67,-1118.21
257,5228,6420.82,-1192.82,6420.82,-1192.82
266,5090.29,6241.03,-1150.73,6241.03,-1150.73
275,5096.49,6019.59,-923.104,6019.59,-923.104
284,4546.18,5761.81,-1215.62,5761.81,-1215.62
293,4371.25,5473.96,-1102.72,5473.96,-1102.72
302,3935.72,5162.26,-1226.54,5162.26,-1226.54
311,3649.99,4833.86,-1183.87,4833.86,-1183.87
320,3411.94,4497.07,-1085.13,4497.07,-1085.13
329,3173.93,4159.88,-985.944,4159.88,-985.944
338,2842.13,3829.67,-987.539,3829.67,-987.539
347,2498.24,3513.04,-1014.8,3513.04,-1014.8
356,2358.31,3215.32,-857.01,3215.32,-857.01
365,2186.33,2942.39,-756.059,2942.39,-756.059
374,2038.68,2699.1,-660.421,2699.1,-660.421
383,1891.76,2489.2,-597.444,2489.2,-597.444
392,1787.59,2315.34,-527.75,2315.34,-527.75
401,1734.58,2178.82,-444.241,2178.82,-444.241
410,1738.05,2080.05,-341.997,2080.05,-341.997
419,1731.61,2017.67,-286.068,2017.67,-286.068
428,1770.01,1989.82,-219.81,1989.82,-219.81
437,1770.68,1993.66,-222.987,1993.66,-222.987
446,1856.79,2026.26,-169.472,2026.26,-169.472
455,2045.9,2083.96,-38.0582,2083.96,-38.0582
464,2224.7,2161.96,62.7372,2161.96,62.7372
473,2178.24,2254.83,-76.5899,2254.83,-76.5899
482,2323.36,2356.9,-33.5461,2356.9,-33.5461
491,2418.7,2463.26,-44.5594,2463.26,-44.5594
500,2447.25,2569.46,-122.206,2569.46,-122.206
509,2577.77,2671.23,-93.4545,2671.23,-93.4545
518,2558.51,2764.44,-205.927,2764.44,-205.927
527,2579.22,2844.88,-265.663,2844.88,-265.663
536,2523.98,2909.43,-385.453,2909.43,-385.453
545,2519.15,2955.88,-436.731,2955.88,-436.731
554,2566.59,2982.69,-416.109,2982.69,-416.109
563,2545.99,2989.45,-443.456,2989.45,-443.456
572,2409.8,2976.44,-566.637,2976.44,-566.637
581,2410.13,2944.45,-534.328,2944.45,-534.328
590,2373.46,2895.09,-521.634,2895.09,-521.634
599,2206.46,2829.91,-623.45,2829.91,-623.45
608,2119.7,2750.72,-631.017,2750.72,-631.017
