Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_Fixed-Size_Filament_Contraction_Model_(USMF)_Version_5,residual_Fixed-Size_Filament_Contraction_Model_(USMF)_Version_5
04D3ks,0.750681,43.289826,0.099406,43.575151,-0.28532473,43.572196,-0.28237018
04D3oe,0.756687,43.978003,0.095935,43.59656,0.38144361,43.593484,0.38451966
05D2nt,0.75903,43.659557,0.09556,43.604868,0.054689012,43.601745,0.057811606
06D3gx,0.760691,43.684445,0.101218,43.610742,0.073703114,43.607587,0.076858397
05D3mn,0.760698,43.443254,0.094664,43.610767,-0.16751266,43.607612,-0.16435724
05D4cn,0.761089,43.581369,0.09585,43.612148,-0.030779043,43.608985,-0.027615965
05D1if,0.76158,43.541373,0.096723,43.613882,-0.072508469,43.610709,-0.069335795
04D1qd,0.765588,43.532152,0.09633,43.627991,-0.095839017,43.624741,-0.092588882
04D1de,0.76659,43.927025,0.096641,43.631507,0.29551763,43.628238,0.29878688
05D3hh,0.766684,43.677363,0.103932,43.631837,0.045525706,43.628566,0.048796748
04D4id,0.767075,44.131678,0.101187,43.633208,0.49847087,43.629929,0.50174934
04D1pc,0.768587,43.5354,0.097274,43.638502,-0.10310191,43.635195,-0.099794859
05D4bi,0.773081,43.930271,0.098805,43.654179,0.27609202,43.650789,0.27948263
04D1jd,0.776594,43.408996,0.098366,43.666374,-0.25737792,43.662919,-0.25392352
05D4cs,0.78806,43.810039,0.096033,43.705809,0.10423017,43.702156,0.10788293
03D4fd,0.789054,43.763946,0.099608,43.709202,0.05474466,43.705532,0.058413868
04D1ks,0.796552,43.234542,0.098413,43.734661,-0.50011888,43.730872,-0.49632968
03D1fq,0.798566,43.835978,0.101777,43.741461,0.094517657,43.73764,0.098337816
05D3dh,0.800697,43.146173,0.098997,43.748637,-0.60246388,43.744785,-0.59861155
05D3ha,0.805695,43.391627,0.106396,43.765396,-0.3737695,43.761471,-0.36984422
05D3cx,0.805696,43.79671,0.09721,43.765399,0.031310853,43.761474,0.035236152
05D4gw,0.806041,43.654389,0.105158,43.766553,-0.11216375,43.762622,-0.10823355
05D4dy,0.808048,44.242281,0.101592,43.773251,0.46902974,43.769293,0.47298814
04D4dm,0.809032,43.649176,0.101626,43.77653,-0.12735385,43.772558,-0.12338184
04D3ny,0.81072,43.569519,0.105587,43.782145,-0.21262594,43.77815,-0.2086309
04D3mk,0.813696,44.015091,0.099177,43.792017,0.22307322,43.787983,0.22710781
04D3nc,0.817732,43.996186,0.101608,43.80535,0.19083612,43.801264,0.1949222
06D2ce,0.822103,43.785247,0.104677,43.819719,-0.034471562,43.815579,-0.030332557
04D3lu,0.822697,43.981531,0.100111,43.821665,0.15986586,43.817519,0.16401183
05D1cl,0.828528,44.190985,0.100853,43.840705,0.35028012,43.836494,0.35449137
