name,redshift,observable_type,value,error,rs_fiducial_Mpc,pred_lcdm,chi2_contrib_lcdm,pred_LambdaCDM,chi2_contrib_LambdaCDM
6dFGS z=0.106,0.106,DV_over_rs,2.976,0.133,,2.78942,1.96804,2.78942,1.96804
SDSS MGS z=0.15,0.15,DV_over_rs,4.48,0.168,,3.88964,12.3486,3.88964,12.3486
BOSS DR12 Consensus z=0.38,0.38,DV_over_rs,9.1758,0.1453,,9.07748,0.457925,9.07748,0.457925
BOSS DR12 Consensus z=0.51,0.51,DV_over_rs,12.3631,0.1341,,11.6026,32.1613,11.6026,32.1613
BOSS DR12 Consensus z=0.61,0.61,DV_over_rs,14.3097,0.1345,,13.3593,49.9321,13.3593,49.9321
WiggleZ z=0.44,0.44,DV_over_rs,11.54,0.56,,10.278,5.07826,10.278,5.07826
WiggleZ z=0.60,0.6,DV_over_rs,14.94,0.68,,13.1905,6.61903,13.1905,6.61903
WiggleZ z=0.73,0.73,DV_over_rs,16.92,0.58,,15.2712,8.08082,15.2712,8.08082
eBOSS DR14 Quasar z=1.52,1.52,DV_over_rs,25.94,1.14,,23.8804,3.26401,23.8804,3.26401
eBOSS DR16 Quasar z=1.48 (DM/rs),1.48,DM_over_rs,30.35,0.84,,27.4046,12.2947,27.4046,12.2947
eBOSS DR16 Quasar z=1.48 (DH/rs),1.48,DH_over_rs,13.26,0.53,,11.7781,7.81805,11.7781,7.81805
eBOSS DR16 Lyman-alpha Combined z=2.334 (DM/rs),2.334,DM_over_rs,37.5,1.1,,35.6192,2.92333,35.6192,2.92333
eBOSS DR16 Lyman-alpha Combined z=2.334 (DH/rs),2.334,DH_over_rs,8.88,0.19,,7.86357,28.6187,7.86357,28.6187
SDSS DR7 LRG z=0.35,0.35,DV_over_rs,8.88,0.17,,8.45399,6.27973,8.45399,6.27973
SDSS DR7 LRG z=0.2,0.2,DV_over_rs,5.249,0.168,,5.0979,0.808954,5.0979,0.808954
BOSS DR11 LOWZ z=0.32,0.32,DV_over_rs,8.473,0.167,149.28,7.81477,15.5352,7.81477,15.5352
BOSS DR11 CMASS z=0.57,0.57,DV_over_rs,13.778,0.134,149.28,12.6752,67.7324,12.6752,67.7324
BOSS DR11 Quasar-Lyα Cross z=2.36 (DM/rs),2.36,DM_over_rs,10.8,0.4,,35.8226,3913.31,35.8226,3913.31
BOSS DR11 Quasar-Lyα Cross z=2.36 (DH/rs),2.36,DH_over_rs,9,0.3,,7.77767,16.6009,7.77767,16.6009
eBOSS DR14 Quasar-Lyα Cross z=2.35 (DM/rs),2.35,DM_over_rs,36.3,1.8,,35.7446,0.0951924,35.7446,0.0951924
eBOSS DR14 Quasar-Lyα Cross z=2.35 (DH/rs),2.35,DH_over_rs,9.2,0.36,,7.81053,14.8967,7.81053,14.8967
eBOSS DR14 Lyα Auto z=2.34 (DM/rs),2.34,DM_over_rs,37.41,1.86,,35.6664,0.878785,35.6664,0.878785
eBOSS DR14 Lyα Auto z=2.34 (DH/rs),2.34,DH_over_rs,8.86,0.29,,7.84361,12.2835,7.84361,12.2835
eBOSS DR16 ELG z=0.845,0.845,DV_over_rs,18.23,0.58,,16.9208,5.09502,16.9208,5.09502
DES Y1 Angular BAO z=0.81,0.81,DM_over_rs,10.65,0.49,,17.8479,215.784,17.8479,215.784
