name,redshift,observable_type,value,error,pred_lcdm,chi2_contrib_lcdm,pred_LambdaCDM,chi2_contrib_LambdaCDM
BOSS DR12 z=0.38 (DM/rs),0.38,DM_over_rs,10.2341,0.169131,9.56932,15.4487,9.56932,15.4487
BOSS DR12 z=0.38 (DH/rs),0.38,DH_over_rs,24.9806,0.728504,22.6513,10.2225,22.6513,10.2225
BOSS DR12 z=0.38 (DV/rs),0.38,DV_over_rs,9.98071,0.113804,9.23734,42.668,9.23734,42.668
BOSS DR12 z=0.51 (DM/rs),0.51,DM_over_rs,13.3659,0.203655,12.4046,22.2808,12.4046,22.2808
BOSS DR12 z=0.51 (DH/rs),0.51,DH_over_rs,22.3166,0.571716,20.9825,5.44481,20.9825,5.44481
BOSS DR12 z=0.51 (DV/rs),0.51,DV_over_rs,12.6687,0.128874,11.8086,44.5413,11.8086,44.5413
BOSS DR12 z=0.61 (DM/rs),0.61,DM_over_rs,15.6089,0.250932,14.4414,21.6467,14.4414,21.6467
BOSS DR12 z=0.61 (DH/rs),0.61,DH_over_rs,20.4986,0.518215,19.7632,2.01389,19.7632,2.01389
BOSS DR12 z=0.61 (DV/rs),0.61,DV_over_rs,14.4966,0.150063,13.5978,35.8737,13.5978,35.8737
