ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_LambdaCDM_tt,residual_LambdaCDM_tt,Dl_LambdaCDM_te,residual_LambdaCDM_te,Dl_LambdaCDM_ee,residual_LambdaCDM_ee
1784,377.36,-11.8144,-18.8184,418.497,-41.1372,-26.1788,14.3643,9.15255,-27.9709,387.351,-9.99187,-30.2565,18.442,13.231,-32.0494
1801,358.796,-8.0874,23.4248,417.39,-58.5944,-20.496,12.4086,7.77798,15.6468,400.345,-41.5491,-28.0761,19.9887,11.0207,12.4041
1818,342.446,-0.976027,18.7414,409.296,-66.8502,-14.3166,13.3405,6.99637,11.745,409.236,-66.7901,-23.8834,22.9073,9.1616,9.5798
1835,313.006,-4.91613,16.6022,394.81,-81.804,-8.40295,3.48682,6.7972,9.80496,412.548,-99.5424,-18.4138,13.4977,7.77349,8.82868
1852,305.378,1.81527,-6.23088,374.859,-69.4803,-3.38909,5.20436,7.13536,-13.3662,409.059,-103.681,-12.3459,14.1612,6.95019,-13.1811
1869,276.147,-4.78882,36.2976,350.678,-74.5317,0.283575,-5.07239,7.92256,28.375,398.154,-122.008,-6.2587,1.46988,6.72849,29.5691
1886,265.911,1.66045,0.555329,324.584,-58.6727,2.35223,-0.691778,8.9871,-8.43178,381.143,-115.232,-0.815145,2.4756,7.02245,-6.46712
1903,249.92,-11.107,-18.6965,298.626,-48.7063,2.68638,-13.7934,10.1679,-28.8644,359.223,-109.303,3.40806,-14.5151,7.74978,-26.4463
1920,257.96,-8.76494,26.026,274.519,-16.5589,1.34908,-10.114,11.3167,14.7093,333.725,-75.7652,6.03455,-14.7995,8.80961,17.2164
1937,245.342,-13.224,20.5827,253.942,-8.60014,-1.29593,-11.928,12.2722,8.31044,307.085,-61.7427,7.00472,-20.2287,10.0133,10.5694
