ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_LambdaCDM_tt,residual_LambdaCDM_tt,Dl_LambdaCDM_te,residual_LambdaCDM_te,Dl_LambdaCDM_ee,residual_LambdaCDM_ee
32,1097.01,1.51224,0.0643557,1170.88,-73.867,2.05389,-0.541654,0.0290183,0.0353374,1170.88,-73.867,2.05389,-0.541654,0.0290183,0.0353374
37,1180.26,3.11711,0.0649424,1265.96,-85.694,2.00391,1.11319,0.0478088,0.0171336,1265.96,-85.694,2.00391,1.11319,0.0478088,0.0171336
42,1426.97,0.820244,0.0699042,1367.21,59.7584,1.67871,-0.858466,0.0731086,-0.00320438,1367.21,59.7584,1.67871,-0.858466,0.0731086,-0.00320438
47,1364.66,1.07013,0.141281,1473.09,-108.428,1.05053,0.019602,0.105924,0.0353563,1473.09,-108.428,1.05053,0.019602,0.105924,0.0353563
52,1329.06,1.08312,0.146964,1584.36,-255.295,0.0659406,1.01718,0.146565,0.000398858,1584.36,-255.295,0.0659406,1.01718,0.146565,0.000398858
57,1607.2,-3.82399,0.193005,1700.64,-93.4451,-1.26173,-2.56227,0.19533,-0.00232569,1700.64,-93.4451,-1.26173,-2.56227,0.19533,-0.00232569
62,1663.41,-4.29778,0.296409,1823.14,-159.723,-2.96965,-1.32813,0.252032,0.044377,1823.14,-159.723,-2.96965,-1.32813,0.252032,0.044377
67,1838.4,-2.04066,0.331388,1951.55,-113.142,-5.0376,2.99694,0.3163,0.0150885,1951.55,-113.142,-5.0376,2.99694,0.3163,0.0150885
72,1974.24,-8.54866,0.356963,2085.88,-111.637,-7.45231,-1.09635,0.387422,-0.0304585,2085.88,-111.637,-7.45231,-1.09635,0.387422,-0.0304585
77,1765.67,-7.23417,0.448396,2227.61,-461.936,-10.2024,2.96826,0.464408,-0.0160122,2227.61,-461.936,-10.2024,2.96826,0.464408,-0.0160122
82,2168.04,-9.89267,0.522364,2376.13,-208.094,-13.242,3.34929,0.545886,-0.0235224,2376.13,-208.094,-13.242,3.34929,0.545886,-0.0235224
87,2330.99,-12.7208,0.489592,2531.66,-200.67,-16.5284,3.80755,0.630385,-0.140793,2531.66,-200.67,-16.5284,3.80755,0.630385,-0.140793
92,2446.65,-19.2047,0.789127,2692.95,-246.302,-20.0036,0.798866,0.716223,0.0729039,2692.95,-246.302,-20.0036,0.798866,0.716223,0.0729039
