Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_QRSF,residual_QRSF
SDSS18940,0.21861,40.034787,0.114762,40.193826,-0.15903979,40.326759,-0.29197208
SDSS20144,0.21865,40.151814,0.11463,40.194273,-0.042459693,40.327209,-0.17539545
05D3kx,0.219462,40.124424,0.085341,40.203333,-0.078908962,40.33634,-0.21191527
SDSS19230,0.21955,39.855575,0.119543,40.204313,-0.34873843,40.337327,-0.48175238
SDSS13727,0.21971,40.207089,0.115514,40.206094,0.00099495224,40.339122,-0.13203293
SDSS15433,0.21976,40.191425,0.114935,40.206651,-0.015225559,40.339683,-0.14825779
SDSS16793,0.22058,40.047012,0.138465,40.215757,-0.168745,40.348861,-0.30184858
SDSS15354,0.22068,39.987392,0.119891,40.216866,-0.22947333,40.349978,-0.36258561
SDSS15229,0.22256,40.271888,0.11527,40.237618,0.034269655,40.370895,-0.099006529
SDSS14846,0.22328,40.220412,0.115872,40.245523,-0.025111711,40.378863,-0.1584508
SDSS13025,0.22351,40.301727,0.1168,40.248044,0.053683306,40.381403,-0.079675875
SDSS19992,0.22452,40.485442,0.122907,40.259083,0.22635905,40.392531,0.092911493
SDSS19341,0.22667,40.166936,0.118938,40.282431,-0.1154952,40.416067,-0.24913125
SDSS13578,0.22668,40.208463,0.115846,40.282539,-0.074075672,40.416176,-0.20771261
SDSS21033,0.22786,40.210809,0.11565,40.295266,-0.084457246,40.429007,-0.21819787
SDSS3452,0.22893,40.265744,0.115979,40.306755,-0.04101088,40.44059,-0.1748457
SDSS13072,0.22916,40.240237,0.122097,40.309218,-0.068981013,40.443073,-0.20283608
SDSS12881,0.2316,40.149821,0.118789,40.335208,-0.18538732,40.469279,-0.31945774
SDSS12971,0.2338,40.293871,0.115605,40.358427,-0.064556093,40.492692,-0.1988213
SDSS17223,0.23381,40.273987,0.118911,40.358532,-0.084545007,40.492798,-0.2188111
SDSS16350,0.23472,40.269667,0.116813,40.368077,-0.098410146,40.502424,-0.23275697
SDSS13511,0.23646,40.587645,0.117789,40.386234,0.20141076,40.520735,0.066909291
SDSS17884,0.23782,40.387909,0.116252,40.40034,-0.012430578,40.534962,-0.14705317
SDSS15868,0.24102,40.539081,0.116005,40.43324,0.10584101,40.568149,-0.029067409
SDSS13506,0.24179,40.39325,0.122422,40.441097,-0.047846945,40.576074,-0.18282434
SDSS19023,0.24185,40.444511,0.114848,40.441708,0.0028025554,40.576691,-0.13218021
SDSS20111,0.24348,40.430191,0.118064,40.45826,-0.028068846,40.593389,-0.16319784
SDSS20088,0.24352,40.453641,0.113403,40.458665,-0.0050239221,40.593798,-0.1401565
SDSS3377,0.24448,40.242662,0.115275,40.468365,-0.22570303,40.603584,-0.36092186
SDSS19990,0.24495,40.511808,0.119541,40.473101,0.038707146,40.608362,-0.096553958
SDSS18486,0.2454,40.297824,0.114389,40.477627,-0.17980349,40.612929,-0.31510509
SDSS17464,0.24555,39.990067,0.116206,40.479134,-0.48906778,40.61445,-0.6243829
SDSS20039,0.24558,40.343133,0.118174,40.479436,-0.13630232,40.614754,-0.27162013
SDSS12977,0.24562,40.361734,0.115338,40.479837,-0.11810396,40.615159,-0.25342538
SDSS15466,0.24568,40.140192,0.120181,40.48044,-0.34024846,40.615767,-0.47557528
SDSS13835,0.24625,40.456468,0.114566,40.486157,-0.029689075,40.621535,-0.16506723
SDSS16352,0.24647,40.374093,0.115433,40.48836,-0.1142667,40.623758,-0.2496647
05D3mq,0.246492,40.460694,0.086206,40.48858,-0.027886272,40.62398,-0.16328625
SDSS15301,0.2466,40.097657,0.114128,40.489661,-0.39200354,40.625071,-0.52741326
SDSS15219,0.24695,40.564021,0.114812,40.493161,0.070860315,40.628602,-0.064580964
SDSS15161,0.2485,40.380443,0.117491,40.508605,-0.1281621,40.644186,-0.26374329
SDSS3451,0.24851,40.265104,0.116195,40.508704,-0.24360048,40.644286,-0.37918258
SDSS16213,0.24857,40.517738,0.115731,40.5093,0.0084380633,40.644888,-0.12714947
SDSS17552,0.24862,40.526949,0.11712,40.509797,0.017152014,40.645389,-0.11844004
