ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_QRSF_tt,residual_QRSF_tt,Dl_QRSF_te,residual_QRSF_te,Dl_QRSF_ee,residual_QRSF_ee
851,2383.14,3.01617,13.0309,2387.71,-4.56252,13.4544,-10.4383,13.4224,-0.391479,2436.97,-53.8242,7.09451,-4.07835,12.5954,0.435478
860,2355.55,13.7369,15.4091,2303.31,52.2366,27.916,-14.1791,15.009,0.400081,2360.33,-4.78424,22.4421,-8.70521,13.9144,1.4947
869,2237.42,27.841,16.3651,2208.07,29.342,40.3446,-12.5036,17.0308,-0.665742,2271.55,-34.1381,36.018,-8.17708,15.6838,0.681312
878,2168.28,41.3423,17.5279,2103.78,64.5052,50.4364,-9.09412,19.4284,-1.90044,2172.27,-3.99127,47.4705,-6.12815,17.8536,-0.325624
887,2073.72,49.2007,22.0617,1993.33,80.3919,57.9319,-8.73124,22.1145,-0.052837,2065.26,8.46481,56.4917,-7.29101,20.346,1.71562
896,1948.82,55.0267,24.2907,1879.11,69.7125,62.6209,-7.59413,25.0052,-0.714551,1952.74,-3.91646,62.8234,-7.79668,23.0867,1.20394
905,1843.37,57.821,23.2827,1763.97,79.4036,64.4734,-6.65239,27.9954,-4.71264,1837.43,5.93503,66.3875,-8.56645,25.9796,-2.69685
914,1745.6,67.5475,29.1072,1650.8,94.8082,63.4849,4.06259,30.9845,-1.87733,1722.27,23.3301,67.1266,0.420885,28.928,0.179153
923,1619.45,56.6996,31.4781,1541.93,77.5237,59.7555,-3.05584,33.8826,-2.4045,1609.76,9.69005,65.0847,-8.38506,31.8413,-0.363149
932,1562.39,54.4174,35.4116,1439.53,122.864,53.4992,0.918212,36.5959,-1.18426,1502.25,60.1477,60.4194,-6.00199,34.6246,0.787043
941,1437.55,50.1516,37.4935,1345.69,91.858,45.0071,5.14456,39.0324,-1.53887,1401.99,35.5523,53.3653,-3.21371,37.1851,0.308388
950,1342.39,41.3038,37.058,1262.08,80.3112,34.6166,6.6872,41.1054,-4.04746,1310.86,31.5274,44.2036,-2.89982,39.4353,-2.37733
