name,redshift,observable_type,value,error,pred_lcdm,chi2_contrib_lcdm,pred_QRSF,chi2_contrib_QRSF
BOSS DR12 z=0.38 (DM/rs),0.38,DM_over_rs,10.2341,0.169131,9.8247,5.85831,16.8007,1507.46
BOSS DR12 z=0.38 (DH/rs),0.38,DH_over_rs,24.9806,0.728504,23.3121,5.24514,40.6552,462.943
BOSS DR12 z=0.38 (DV/rs),0.38,DV_over_rs,9.98071,0.113804,9.4915,18.479,16.3375,3120.05
BOSS DR12 z=0.51 (DM/rs),0.51,DM_over_rs,13.3659,0.203655,12.7448,9.3039,21.9325,1769.37
BOSS DR12 z=0.51 (DH/rs),0.51,DH_over_rs,22.3166,0.571716,21.6245,1.46512,38.308,782.373
BOSS DR12 z=0.51 (DV/rs),0.51,DV_over_rs,12.6687,0.128874,12.1449,16.5205,21.103,4283.19
BOSS DR12 z=0.61 (DM/rs),0.61,DM_over_rs,15.6089,0.250931,14.8448,9.27082,25.6756,1609.41
BOSS DR12 z=0.61 (DH/rs),0.61,DH_over_rs,20.4986,0.518214,20.3872,0.0462281,36.5646,961.156
BOSS DR12 z=0.61 (DV/rs),0.61,DV_over_rs,14.4966,0.150063,13.9941,11.2113,24.4987,4442.62
