ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_USMFv2_tt,residual_USMFv2_tt,Dl_USMFv2_te,residual_USMFv2_te,Dl_USMFv2_ee,residual_USMFv2_ee
32,1097.01,1.51224,0.0643557,1178.78,-81.765,1.79561,-0.28337,0.0259549,0.0384009,2077.19,-980.177,0.692909,0.819328,0.0103384,0.0540173
37,1180.26,3.11711,0.0649424,1290.64,-110.38,1.71594,1.40117,0.042804,0.0221383,2367.7,-1187.43,0.484225,2.63288,0.0168866,0.0480558
42,1426.97,0.820244,0.0699042,1411.12,15.8498,1.35219,-0.531948,0.0657819,0.0041223,2663.39,-1236.42,0.11343,0.706814,0.025972,0.0439322
47,1364.66,1.07013,0.141281,1538.2,-173.546,0.69771,0.372419,0.0956582,0.0456224,2960.92,-1596.26,-0.432431,1.50256,0.037917,0.103364
52,1329.06,1.08312,0.146964,1672.53,-343.467,-0.3053,1.38842,0.132887,0.014077,3258.38,-1929.32,-1.19013,2.27324,0.0530004,0.0939636
57,1607.2,-3.82399,0.193005,1813.57,-206.375,-1.65275,-2.17124,0.177854,0.0151504,3554.09,-1946.9,-2.15986,-1.66413,0.0716363,0.121368
62,1663.41,-4.29778,0.296409,1962.26,-298.849,-3.38085,-0.916928,0.230603,0.0658056,3848.46,-2185.05,-3.37304,-0.924743,0.0939984,0.20241
67,1838.4,-2.04066,0.331388,2118.16,-279.757,-5.47419,3.43352,0.29096,0.0404278,4140.88,-2302.48,-4.82284,2.78217,0.120255,0.211133
72,1974.24,-8.54866,0.356963,2281.08,-306.836,-7.92695,-0.621711,0.358437,-0.00147339,4430.73,-2456.49,-6.51265,-2.03601,0.150488,0.206475
77,1765.67,-7.23417,0.448396,2452.45,-686.779,-10.7323,3.49809,0.432392,0.016004,4719.04,-2953.37,-8.45412,1.21995,0.184764,0.263631
