ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_USMFv2_tt,residual_USMFv2_tt,Dl_USMFv2_te,residual_USMFv2_te,Dl_USMFv2_ee,residual_USMFv2_ee
32,1097.01,1.51224,0.0643557,1095.39,1.62579,1.92308,-0.410839,0.0269299,0.0374258,1652.4,-555.393,1.09299,0.419245,0.0259219,0.0384338
37,1180.26,3.11711,0.0649424,1182.8,-2.54068,1.88329,1.23382,0.0442549,0.0206875,1885.31,-705.051,0.653183,2.46392,0.0426463,0.0222961
42,1426.97,0.820244,0.0699042,1275.7,151.269,1.58846,-0.768217,0.0678019,0.00210228,2138.01,-711.035,-0.135318,0.955562,0.0654531,0.00445105
47,1364.66,1.07013,0.141281,1372.62,-7.96383,1.01408,0.0560457,0.09804,0.0432405,2405.87,-1041.21,-1.29473,2.36486,0.0951891,0.0460915
52,1329.06,1.08312,0.146964,1474.32,-145.254,0.112584,0.970534,0.135599,0.0113648,2688.73,-1359.67,-2.88059,3.96371,0.13239,0.0145739
57,1607.2,-3.82399,0.193005,1580.4,26.7923,-1.10987,-2.71412,0.180534,0.012471,2984.46,-1377.26,-4.89852,1.07453,0.17756,0.0154448
62,1663.41,-4.29778,0.296409,1692.02,-28.608,-2.67203,-1.62575,0.23278,0.0636285,3293.22,-1629.81,-7.37345,3.07567,0.230911,0.0654974
67,1838.4,-2.04066,0.331388,1808.86,29.5393,-4.5691,2.52844,0.291857,0.0395311,3614.13,-1775.72,-10.3037,8.26307,0.292455,0.0389331
72,1974.24,-8.54866,0.356963,1930.92,43.3261,-6.77851,-1.77016,0.357088,-0.000124527,3946.06,-1971.81,-13.6762,5.12754,0.361897,-0.00493354
77,1765.67,-7.23417,0.448396,2059.76,-294.095,-9.2923,2.05814,0.427601,0.020795,4290.58,-2524.91,-17.4878,10.2536,0.438832,0.00956322
82,2168.04,-9.89267,0.522364,2194.61,-26.5754,-12.0683,2.17568,0.502031,0.0203327,4646.43,-2478.39,-21.6994,11.8068,0.522434,-7.01211e-05
87,2330.99,-12.7208,0.489592,2335.66,-4.66776,-15.0623,2.34144,0.578953,-0.0893608,5012.05,-2681.05,-26.2708,13.55,0.611777,-0.122185
92,2446.65,-19.2047,0.789127,2481.91,-35.2574,-18.2196,-0.985084,0.656849,0.132278,5386.8,-2940.15,-31.1549,11.9502,0.705786,0.0833402
97,2484.46,-19.0476,0.57472,2633.55,-149.095,-21.4898,2.44227,0.733938,-0.159218,5770.1,-3285.64,-36.2972,17.2496,0.803101,-0.228381
104,2951.15,-28.1287,0.830793,2855.15,96.0044,-26.1525,-1.97622,0.837071,-0.0062772,6321.17,-3370.01,-43.8229,15.6942,0.941865,-0.111072
113,3221.96,-31.7919,0.924375,3153.73,68.2273,-32.0264,0.234447,0.954281,-0.0299062,7052.07,-3830.11,-53.7895,21.9975,1.11822,-0.193842
122,3382.73,-35.701,1.11192,3463.3,-80.5717,-37.3825,1.68152,1.04527,0.0666459,7802.41,-4419.68,-63.663,27.962,1.28303,-0.171112
131,3592.1,-41.5613,1.10666,3778.22,-186.119,-41.8103,0.249059,1.10217,0.00449014,8563.35,-4971.25,-72.9422,31.3809,1.42606,-0.319399
140,4229.84,-43.6625,1.09668,4092.25,137.584,-44.9247,1.26215,1.12004,-0.0233524,9325.99,-5096.15,-81.1328,37.4702,1.53866,-0.441978
149,4251.39,-45.0365,1.00578,4399.27,-147.886,-46.394,1.35751,1.09809,-0.0923128,10083.5,-5832.14,-87.7544,42.7179,1.61305,-0.607268
158,4778.71,-49.241,1.07943,4691.26,87.4534,-45.935,-3.306,1.04004,0.039393,10827.2,-6048.53,-92.356,43.115,1.64497,-0.565545
167,4844.8,-45.9645,0.855441,4961.79,-116.994,-43.3497,-2.61478,0.954461,-0.0990203,11547.9,-6703.1,-94.5061,48.5416,1.63322,-0.777777
176,5120.63,-43.3901,0.96559,5203.44,-82.8104,-38.5244,-4.86567,0.854849,0.110741,12234.5,-7113.87,-93.8342,50.4441,1.58079,-0.615201
185,5373.97,-30.3906,0.835251,5409.8,-35.8263,-31.4457,1.0551,0.759349,0.0759016,12877,-7503.03,-90.052,59.6613,1.49462,-0.659364
194,5542.7,-18.1436,0.793541,5575.35,-32.6514,-22.2044,4.0608,0.690144,0.103396,13466.1,-7923.43,-82.9222,64.7786,1.38347,-0.589925
203,5446.22,-7.21464,0.694054,5695.64,-249.421,-10.9926,3.77801,0.672388,0.0216658,13993.6,-8547.38,-72.3004,65.0858,1.25882,-0.564762
212,5636.34,2.53847,0.877642,5766.36,-130.024,1.90449,0.633977,0.732811,0.144831,14450.6,-8814.28,-58.1733,60.7118,1.14054,-0.262893
221,5816.48,17.9047,0.874199,5786.61,29.8649,16.1109,1.79378,0.898147,-0.0239478,14830.7,-9014.24,-40.6778,58.5825,1.05907,-0.184876
230,5684.66,26.6053,1.23818,5755.78,-71.1201,31.1821,-4.57688,1.1938,0.0443831,15127.6,-9442.97,-20.0245,46.6298,1.04446,0.19372
239,5776.16,46.2991,1.78071,5674.59,101.561,46.6222,-0.323133,1.64215,0.138561,15336.4,-9560.27,3.52458,42.7745,1.12371,0.657004
248,5435.47,50.6637,2.10983,5545.19,-109.727,61.8979,-11.2342,2.26111,-0.151281,15453.6,-10018.1,29.6703,20.9935,1.31935,0.790485
257,5228,71.5358,3.13386,5371.05,-143.057,76.4624,-4.92664,3.0625,0.0713665,15477.1,-10249.1,58.063,13.4728,1.65048,1.48339
266,5090.29,86.4306,3.86066,5156.74,-66.4463,89.7765,-3.34595,4.05025,-0.189588,15407.1,-10316.8,88.0694,-1.63884,2.14943,1.71123
275,5096.49,106.963,5.31265,4908.77,187.719,101.348,5.61508,5.22018,0.092468,15246.4,-10149.9,118.964,-12.0012,2.85048,2.46217
284,4546.18,102.707,5.82483,4633.69,-87.5092,110.724,-8.01712,6.55936,-0.734532,14997.7,-10451.5,150.061,-47.354,3.77922,2.04561
293,4371.25,117.073,8.21385,4339.07,32.1775,117.528,-0.455304,8.04617,0.167681,14664.6,-10293.4,180.749,-63.676,4.95254,3.26131
302,3935.72,117.089,9.31107,4032.38,-96.6605,121.451,-4.36158,9.64978,-0.338715,14251,-10315.2,210.484,-93.3946,6.37813,2.93294
311,3649.99,119.046,10.9594,3721.47,-71.4843,122.306,-3.25978,11.3327,-0.373321,13762.7,-10112.8,238.699,-119.653,8.0566,2.90282
320,3411.94,112.762,12.6384,3414.12,-2.17397,120.017,-7.25521,13.0509,-0.412482,13210.2,-9798.24,264.632,-151.87,9.98089,2.65756
329,3173.93,117.149,15.1816,3117.62,56.309,114.616,2.53342,14.7547,0.426851,12603.6,-9429.63,287.588,-170.439,12.1383,3.04324
338,2842.13,105.901,16.0657,2838.71,3.42634,106.241,-0.340519,16.3912,-0.325542,11952.6,-9110.42,306.983,-201.082,14.513,1.55269
347,2498.24,86.2064,16.2208,2583.3,-85.0625,95.1528,-8.94639,17.9072,-1.68643,11266.1,-8767.83,322.35,-236.144,17.0886,-0.867799
356,2358.31,79.8487,18.6902,2356.02,2.29326,81.6717,-1.82303,19.2487,-0.558516,10552,-8193.71,333.291,-253.442,19.845,-1.15475
365,2186.33,61.0311,18.5056,2161.07,25.2576,66.2638,-5.23268,20.3712,-1.86556,9821.81,-7635.48,339.605,-278.574,22.7347,-4.22906
374,2038.68,46.4875,21.0827,2001.03,37.6484,49.4276,-2.94009,21.2312,-0.148519,9087.7,-7049.03,341.16,-294.673,25.6879,-4.60522
383,1891.76,31.557,21.4257,1877.33,14.4218,31.7299,-0.172875,21.7961,-0.370402,8360.87,-6469.12,337.893,-306.336,28.645,-7.21935
392,1787.59,19.7448,22.3593,1790.32,-2.72939,13.7504,5.99436,22.0416,0.317698,7651.39,-5863.8,329.752,-310.007,31.5549,-9.19565
401,1734.58,-0.544681,21.1747,1738.96,-4.38368,-3.90597,3.36129,21.9593,-0.784586,6967.97,-5233.39,316.713,-317.257,34.3823,-13.2076
410,1738.05,-21.8916,21.0336,1721.48,16.5763,-20.6607,-1.23083,21.5486,-0.514957,6318.63,-4580.57,298.901,-320.792,37.0838,-16.0502
419,1731.61,-35.0666,19.2941,1734.68,-3.0702,-35.9725,0.905844,20.8253,-1.53126,5710.23,-3978.62,276.913,-311.979,39.5872,-20.2931
428,1770.01,-48.4463,19.1288,1774.92,-4.90701,-49.3609,0.914574,19.8156,-0.686766,5149.21,-3379.2,251.376,-299.822,41.8219,-22.6931
437,1770.68,-61.9365,19.3346,1837.59,-66.91,-60.4327,-1.50378,18.5614,0.773158,4641.03,-2870.36,222.831,-284.767,43.7339,-24.3993
446,1856.79,-62.1436,17.3252,1917.93,-61.1437,-68.8739,6.73031,17.1138,0.211337,4191.04,-2334.25,191.738,-253.882,45.2777,-27.9525
455,2045.9,-74.4981,15.4382,2010.54,35.3661,-74.4702,-0.0278937,15.533,-0.0948641,3803.67,-1757.77,158.482,-232.98,46.4175,-30.9793
464,2224.7,-80.0589,14.5813,2110.05,114.654,-77.1102,-2.94865,13.8858,0.695481,3479.9,-1255.2,123.762,-203.821,47.1318,-32.5505
473,2178.24,-75.3658,11.5893,2211.53,-33.2854,-76.8312,1.46534,12.2472,-0.657984,3217.98,-1039.74,88.4933,-163.859,47.4135,-35.8242
