name,redshift,observable_type,value,error,pred_lcdm,chi2_contrib_lcdm,pred_USMFv2,chi2_contrib_USMFv2
BOSS DR12 z=0.38 (DM/rs),0.38,DM_over_rs,10.2341,0.169131,10.0698,0.943306,0.496644,3314.69
BOSS DR12 z=0.38 (DH/rs),0.38,DH_over_rs,24.9806,0.728504,23.8611,2.36134,1.28524,1057.94
BOSS DR12 z=0.38 (DV/rs),0.38,DV_over_rs,9.98071,0.113804,9.72386,5.09395,0.493878,6949.11
BOSS DR12 z=0.51 (DM/rs),0.51,DM_over_rs,13.3659,0.203655,13.0574,2.29495,0.662033,3891.22
BOSS DR12 z=0.51 (DH/rs),0.51,DH_over_rs,22.3166,0.571716,22.1164,0.122619,1.25794,1356.75
BOSS DR12 z=0.51 (DV/rs),0.51,DV_over_rs,12.6687,0.128874,12.4356,3.27176,0.655134,8689.82
BOSS DR12 z=0.61 (DM/rs),0.61,DM_over_rs,15.6089,0.250931,15.2047,2.59443,0.786576,3489.17
BOSS DR12 z=0.61 (DH/rs),0.61,DH_over_rs,20.4986,0.518214,20.8396,0.433029,1.23234,1382.22
BOSS DR12 z=0.61 (DV/rs),0.61,DV_over_rs,14.4966,0.150063,14.3238,1.32586,0.774784,8361.34
