Model,FitStyle,Chi2_min,DoF,ReducedChi2,FitSuccess,OptimizerMessage,H0,Omega_m0,Omega_b0,M_B,alpha_salt2,beta_salt2
LambdaCDM,h2_fit_nuisance,214692,734,292.496,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,50,0.05,0.0486,-18,0.5,5
LambdaCDM,h2_fit_nuisance,214692,734,292.496,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,50,0.05,0.0486,-18,0.5,5
