Model,FitStyle,Chi2_min,DoF,ReducedChi2,FitSuccess,OptimizerMessage,H0,Omega_m0,Omega_b0
LambdaCDM,h1_fixed_nuisance,1.18902e+06,737,1613.32,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,50,0.05,0.0486
LambdaCDM,h1_fixed_nuisance,1.18902e+06,737,1613.32,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,50,0.05,0.0486
