name,redshift,observable_type,value,error,rs_fiducial_Mpc,pred_lcdm,chi2_contrib_lcdm,pred_USMFv4,chi2_contrib_USMFv4
6dFGS z=0.106,0.106,DV_over_rs,2.976,0.133,,2.81947,1.38514,5.97907,509.833
SDSS MGS z=0.15,0.15,DV_over_rs,4.48,0.168,,3.93619,10.4779,8.33258,525.879
BOSS DR12 Consensus z=0.38,0.38,DV_over_rs,9.1758,0.1453,,9.24002,0.195318,19.5325,5080.6
BOSS DR12 Consensus z=0.51,0.51,DV_over_rs,12.3631,0.1341,,11.8452,14.9156,25.1272,9059.89
BOSS DR12 Consensus z=0.61,0.61,DV_over_rs,14.3097,0.1345,,13.6667,22.8562,29.11,12108.7
WiggleZ z=0.44,0.44,DV_over_rs,11.54,0.56,,10.4767,3.60526,22.1758,360.717
WiggleZ z=0.60,0.6,DV_over_rs,14.94,0.68,,13.4914,4.53828,28.7236,410.874
WiggleZ z=0.73,0.73,DV_over_rs,16.92,0.58,,15.6574,4.73851,33.5526,822.368
eBOSS DR14 Quasar z=1.52,1.52,DV_over_rs,25.94,1.14,,24.7157,1.15335,55.6174,677.709
eBOSS DR16 Quasar z=1.48 (DM/rs),1.48,DM_over_rs,30.35,0.84,,28.1958,6.57669,61.5591,1380.4
eBOSS DR16 Quasar z=1.48 (DH/rs),1.48,DH_over_rs,13.26,0.53,,12.3236,3.12137,29.247,909.874
eBOSS DR16 Lyman-alpha Combined z=2.334 (DM/rs),2.334,DM_over_rs,37.5,1.1,,36.8145,0.3883,82.8092,1696.63
eBOSS DR16 Lyman-alpha Combined z=2.334 (DH/rs),2.334,DH_over_rs,8.88,0.19,,8.26895,10.3429,21.1736,4186.52
SDSS DR7 LRG z=0.35,0.35,DV_over_rs,8.88,0.17,,8.59916,2.72904,18.1699,2986.26
SDSS DR7 LRG z=0.2,0.2,DV_over_rs,5.249,0.168,,5.16576,0.245523,10.9208,1139.77
BOSS DR11 LOWZ z=0.32,0.32,DV_over_rs,8.473,0.167,149.28,7.94313,10.0672,16.7792,2473.83
BOSS DR11 CMASS z=0.57,0.57,DV_over_rs,13.778,0.134,149.28,12.9565,37.5877,27.5488,10561.1
BOSS DR11 Quasar-Lyα Cross z=2.36 (DM/rs),2.36,DM_over_rs,10.8,0.4,,37.0284,4299.55,83.3573,32903.5
BOSS DR11 Quasar-Lyα Cross z=2.36 (DH/rs),2.36,DH_over_rs,9,0.3,,8.17935,7.48302,20.9834,1595.59
eBOSS DR14 Quasar-Lyα Cross z=2.35 (DM/rs),2.35,DM_over_rs,36.3,1.8,,36.9464,0.128964,83.1471,677.361
eBOSS DR14 Quasar-Lyα Cross z=2.35 (DH/rs),2.35,DH_over_rs,9.2,0.36,,8.21363,7.50716,21.0563,1084.65
eBOSS DR14 Lyα Auto z=2.34 (DM/rs),2.34,DM_over_rs,37.41,1.86,,36.8641,0.086139,82.9361,599.095
eBOSS DR14 Lyα Auto z=2.34 (DH/rs),2.34,DH_over_rs,8.86,0.29,,8.24814,4.45156,21.1295,1790.02
eBOSS DR16 ELG z=0.845,0.845,DV_over_rs,18.23,0.58,,17.3817,2.13929,37.4933,1103.08
DES Y1 Angular BAO z=0.81,0.81,DM_over_rs,10.65,0.49,,18.2425,240.094,38.8664,3315.98
