ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_USMFv4_tt,residual_USMFv4_tt,Dl_USMFv4_te,residual_USMFv4_te,Dl_USMFv4_ee,residual_USMFv4_ee
824,2521.81,-49.9835,12.1229,2591.45,-69.6415,-45.9749,-4.00858,11.5735,0.549388,2104.4,417.403,-121.481,71.4973,66.271,-54.1482
833,2495.02,-27.9085,11.6282,2566.99,-71.973,-28.1441,0.23553,11.2847,0.343535,2119.4,375.617,-138.931,111.023,65.36,-53.7317
842,2505.47,-17.8662,13.3085,2525.44,-19.9699,-10.5003,-7.36589,11.508,1.80049,2145.17,360.294,-154.656,136.79,63.8888,-50.5803
851,2383.14,3.01617,13.0309,2467.68,-84.5331,6.42701,-3.41084,12.2381,0.792811,2181.04,202.107,-168.192,171.208,61.8496,-48.8187
860,2355.55,13.7369,15.4091,2394.62,-39.0767,22.1618,-8.42491,13.4596,1.94944,2225.6,129.951,-179.155,192.892,59.2615,-43.8524
869,2237.42,27.841,16.3651,2308.65,-71.2359,36.238,-8.39707,15.1315,1.23361,2276.8,-39.3823,-187.539,215.379,56.2244,-39.8593
878,2168.28,41.3423,17.5279,2211.35,-43.0642,48.2828,-6.94047,17.2075,0.320393,2331.42,-163.142,-193.311,234.654,52.8522,-35.3243
887,2073.72,49.2007,22.0617,2105.42,-31.7008,57.9673,-8.76665,19.6141,2.44756,2387.38,-313.662,-196.398,245.599,49.2315,-27.1699
896,1948.82,55.0267,24.2907,1993.06,-44.2403,65.0124,-9.98563,22.2806,2.01004,2442.06,-493.233,-196.675,251.702,45.4518,-21.1611
905,1843.37,57.821,23.2827,1876.93,-33.5649,69.3186,-11.4975,25.115,-1.83225,2493.33,-649.958,-193.861,251.683,41.5818,-18.299
914,1745.6,67.5475,29.1072,1760,-14.399,70.8058,-3.2583,28.0228,1.08441,2539.87,-794.268,-188.11,255.657,37.7002,-8.59305
923,1619.45,56.6996,31.4781,1644.88,-25.4283,69.4935,-12.7939,30.9139,0.56417,2580.42,-960.97,-179.861,236.56,33.9013,-2.42321
932,1562.39,54.4174,35.4116,1534.02,28.3712,65.515,-11.0976,33.6945,1.71712,2613.57,-1051.18,-169.455,223.873,30.2755,5.13615
941,1437.55,50.1516,37.4935,1429.81,7.73932,59.0803,-8.92871,36.2723,1.22122,2637.83,-1200.29,-157.157,207.309,26.915,10.5785
950,1342.39,41.3038,37.058,1334.2,8.19068,50.4462,-9.14244,38.5604,-1.50244,2651.31,-1308.92,-143.183,184.487,23.9174,13.1406
959,1285.75,33.7705,39.3482,1248.87,36.8847,39.9428,-6.17235,40.4844,-1.13624,2652.43,-1366.67,-127.745,161.515,21.3709,17.9773
968,1232.84,20.9026,40.3395,1175.15,57.6891,27.9715,-7.06888,41.9859,-1.64639,2641.79,-1408.95,-111.258,132.16,19.2926,21.0469
977,1129.03,9.81707,40.4442,1113.93,15.1004,14.9682,-5.15114,43.0197,-2.57549,2620.15,-1491.12,-94.17,103.987,17.6909,22.7532
986,1103.57,-0.29649,38.6279,1065.65,37.9217,1.37684,-1.67333,43.5562,-4.92834,2587.85,-1484.28,-76.9224,76.6259,16.5901,22.0378
