Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_QRSFv2,residual_QRSFv2
Vilas,0.935774,43.618621,0.119916,44.070408,-0.45178755,45.14143,-1.5228089
05D3la,0.936755,43.836807,0.108686,44.073135,-0.2363276,45.144008,-1.3072008
03D4cx,0.94689,43.32103,0.115036,44.101136,-0.78010663,45.170493,-1.849463
04D1pd,0.948455,43.625089,0.112213,44.105434,-0.48034466,45.174558,-1.5494689
04D3ml,0.950763,44.237097,0.112327,44.111759,0.12533805,45.180542,-0.94344484
04D4jw,0.958871,44.34431,0.125337,44.13386,0.21045002,45.201453,-0.85714304
05D3km,0.96074,44.315234,0.112338,44.138929,0.17630475,45.20625,-0.8910161
04D3nr,0.960751,43.581363,0.116274,44.138959,-0.55759574,45.206278,-1.624915
Patuxent,0.970782,44.732088,0.118744,44.165997,0.56609159,45.231868,-0.49977975
Ombo,0.97423,44.192459,0.118033,44.175227,0.017231896,45.240606,-1.0481468
05D2my,0.98328,43.992852,0.114718,44.199302,-0.20644977,45.2634,-1.2705474
04D1rx,0.983407,44.202384,0.114131,44.199638,0.0027457705,45.263718,-1.061334
04D3lp,0.983777,43.807878,0.14188,44.200618,-0.39274023,45.264646,-1.456768
04D1iv,0.99639,44.253642,0.112483,44.233793,0.019849266,45.296065,-1.0424231
06D4cl,0.997826,44.013808,0.115855,44.237544,-0.22373549,45.299618,-1.2858101
04D3dd,1.002795,44.235108,0.13731,44.250481,-0.015372761,45.311875,-1.0767663
Eagle,1.020807,44.380255,0.118836,44.296853,0.083401465,45.35582,-0.97556508
04D4dw,1.0288,44.23321,0.1248,44.317173,-0.083962385,45.375083,-1.1418725
06D3en,1.060801,44.114142,0.132013,44.39699,-0.28284753,45.450793,-1.3366506
Gabi,1.12085,44.518694,0.121686,44.540522,-0.021827051,45.587117,-1.0684224
Lancaster,1.230892,44.816045,0.128558,44.784724,0.031321081,45.819616,-1.0035709
Torngasek,1.265901,44.760726,0.128614,44.857857,-0.097130859,45.889389,-1.1286627
Aphrodite,1.299106,44.804213,0.128055,44.925371,-0.12115835,45.953863,-1.1496498
