name,redshift,observable_type,value,error,pred_lcdm,chi2_contrib_lcdm,pred_QRSFv2,chi2_contrib_QRSFv2
BOSS DR12 z=0.38 (DM/rs),0.38,DM_over_rs,10.2341,0.169131,9.89809,3.94618,14.5506,651.366
BOSS DR12 z=0.38 (DH/rs),0.38,DH_over_rs,24.9806,0.728504,22.7951,8.99986,30.9665,67.5156
BOSS DR12 z=0.38 (DV/rs),0.38,DV_over_rs,9.98071,0.113804,9.46765,20.3243,13.5565,987.231
BOSS DR12 z=0.51 (DM/rs),0.51,DM_over_rs,13.3659,0.203655,12.73,9.7496,18.3379,596.018
BOSS DR12 z=0.51 (DH/rs),0.51,DH_over_rs,22.3166,0.571716,20.8048,6.99213,27.4221,79.7491
BOSS DR12 z=0.51 (DV/rs),0.51,DV_over_rs,12.6687,0.128874,11.9802,28.5401,16.7542,1004.97
BOSS DR12 z=0.61 (DM/rs),0.61,DM_over_rs,15.6089,0.250931,14.7395,12.0033,20.9632,455.305
BOSS DR12 z=0.61 (DH/rs),0.61,DH_over_rs,20.4986,0.518214,19.4033,4.46754,25.1411,80.2561
BOSS DR12 z=0.61 (DV/rs),0.61,DV_over_rs,14.4966,0.150063,13.7001,28.1723,18.889,856.771
