ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_QRSFv2_tt,residual_QRSFv2_tt,Dl_QRSFv2_te,residual_QRSFv2_te,Dl_QRSFv2_ee,residual_QRSFv2_ee
320,3411.94,112.762,12.6384,3127.83,284.111,107.951,4.81097,12.2655,0.372914,13440.2,-10028.2,212.301,-99.5389,7.36659,5.27186
329,3173.93,117.149,15.1816,2863.28,310.65,102.756,14.3933,13.8743,1.30722,13039.5,-9865.57,237.259,-120.11,9.10769,6.07386
338,2842.13,105.901,16.0657,2615.22,226.917,94.7959,11.1046,15.4191,0.646562,12589.6,-9747.43,260.114,-154.214,11.0887,4.97701
347,2498.24,86.2064,16.2208,2389,109.238,84.3264,1.88004,16.8491,-0.628294,12095.2,-9596.93,280.441,-194.234,13.3121,2.90869
356,2358.31,79.8487,18.6902,2188.7,169.606,71.6618,8.18688,18.1127,0.577495,11560.2,-9201.91,297.863,-218.015,15.7768,2.91338
365,2186.33,61.0311,18.5056,2018.23,168.1,57.2446,3.78649,19.1675,-0.661879,10993.1,-8806.75,312.06,-251.029,18.4554,0.0502366
374,2038.68,46.4875,21.0827,1879.98,158.701,41.5384,4.94904,19.9719,1.11079,10403.6,-8364.9,322.681,-276.194,21.2985,-0.215827
383,1891.76,31.557,21.4257,1775.23,116.524,25.075,6.48201,20.495,0.930697,9800.47,-7908.71,329.444,-297.887,24.2672,-2.84152
392,1787.59,19.7448,22.3593,1704.17,83.4233,8.39888,11.3459,20.7144,1.64493,9191.39,-7403.8,332.078,-312.333,27.3309,-4.97165
401,1734.58,-0.544681,21.1747,1665.6,68.9809,-7.92009,7.37541,20.6234,0.551298,8582.65,-6848.07,330.34,-330.885,30.475,-9.30028
410,1738.05,-21.8916,21.0336,1657.68,80.3764,-23.3384,1.44686,20.2227,0.810937,7980.59,-6242.54,324.11,-346.001,33.6716,-12.638
419,1731.61,-35.0666,19.2941,1677.44,54.1696,-37.3494,2.28275,19.5274,-0.23333,7392.65,-5661.05,313.666,-348.732,36.8495,-17.5554
428,1770.01,-48.4463,19.1288,1721.51,48.5067,-49.5072,1.06094,18.5626,0.566224,6826.22,-5056.2,299.303,-347.749,39.9369,-20.8081
437,1770.68,-61.9365,19.3346,1785.54,-14.8579,-59.4534,-2.48307,17.3693,1.96523,6287.7,-4517.02,281.229,-343.166,42.8781,-23.5435
446,1856.79,-62.1436,17.3252,1865.05,-8.25875,-66.9084,4.76485,15.9977,1.32753,5783.38,-3926.59,259.574,-321.717,45.6261,-28.301
455,2045.9,-74.4981,15.4382,1954.9,91.0044,-71.6918,-2.80627,14.5067,0.931526,5318.75,-3272.85,234.392,-308.89,48.143,-32.7048
464,2224.7,-80.0589,14.5813,2050.08,174.62,-73.7104,-6.34849,12.961,1.62033,4897.09,-2672.39,206.136,-286.195,50.3879,-35.8066
473,2178.24,-75.3658,11.5893,2146.07,32.1735,-73.0061,-2.35973,11.4326,0.156691,4520.12,-2341.88,175.537,-250.903,52.3204,-40.7311
482,2323.36,-71.9894,11.4556,2238.14,85.2179,-69.7025,-2.28693,9.99338,1.4622,4189.31,-1865.95,143.261,-215.25,53.9,-42.4444
491,2418.7,-71.1199,10.3049,2322.31,96.3919,-64.0371,-7.08273,8.71545,1.58947,3906.86,-1488.16,109.857,-180.977,55.0861,-44.7812
500,2447.25,-59.624,8.30294,2395.06,52.1924,-56.3432,-3.28081,7.66614,0.636807,3675.44,-1228.18,75.7807,-135.405,55.8336,-47.5307
